ward,precinct,total,Latasha Thomas,Latasha Thomas Percent,precinct_id
17,1,115,115,100.0,17001
17,2,192,192,100.0,17002
17,3,122,122,100.0,17003
17,4,287,287,100.0,17004
17,5,141,141,100.0,17005
17,6,133,133,100.0,17006
17,7,228,228,100.0,17007
17,8,153,153,100.0,17008
17,9,123,123,100.0,17009
17,10,193,193,100.0,17010
17,11,200,200,100.0,17011
17,12,274,274,100.0,17012
17,13,121,121,100.0,17013
17,14,160,160,100.0,17014
17,15,173,173,100.0,17015
17,16,147,147,100.0,17016
17,17,148,148,100.0,17017
17,18,204,204,100.0,17018
17,19,74,74,100.0,17019
17,20,160,160,100.0,17020
17,21,242,242,100.0,17021
17,22,193,193,100.0,17022
17,23,117,117,100.0,17023
17,24,189,189,100.0,17024
17,25,116,116,100.0,17025
17,26,191,191,100.0,17026
17,27,232,232,100.0,17027
17,28,159,159,100.0,17028
17,29,205,205,100.0,17029
17,30,196,196,100.0,17030
17,31,150,150,100.0,17031
17,32,187,187,100.0,17032
17,33,165,165,100.0,17033
17,34,135,135,100.0,17034
17,35,132,132,100.0,17035
17,36,105,105,100.0,17036
17,37,159,159,100.0,17037
17,38,171,171,100.0,17038
17,39,142,142,100.0,17039
17,40,151,151,100.0,17040
17,41,136,136,100.0,17041
17,42,153,153,100.0,17042
17,43,147,147,100.0,17043
17,44,129,129,100.0,17044
17,45,126,126,100.0,17045
17,46,189,189,100.0,17046
17,47,110,110,100.0,17047
17,48,216,216,100.0,17048
17,49,106,106,100.0,17049
17,50,168,168,100.0,17050
17,51,207,207,100.0,17051
17,52,235,235,100.0,17052
17,53,169,169,100.0,17053
17,54,212,212,100.0,17054
17,55,172,172,100.0,17055
17,56,204,204,100.0,17056
17,57,202,202,100.0,17057
17,58,132,132,100.0,17058
17,59,107,107,100.0,17059
17,60,242,242,100.0,17060
17,61,171,171,100.0,17061
17,62,137,137,100.0,17062
17,63,139,139,100.0,17063
17,64,115,115,100.0,17064
