ward,precinct,total,Tom Tunney,Tom Tunney Percent,precinct_id
44,1,176,176,100.0,44001
44,2,157,157,100.0,44002
44,3,234,234,100.0,44003
44,4,216,216,100.0,44004
44,5,260,260,100.0,44005
44,6,238,238,100.0,44006
44,7,204,204,100.0,44007
44,8,98,98,100.0,44008
44,9,145,145,100.0,44009
44,10,154,154,100.0,44010
44,11,191,191,100.0,44011
44,12,163,163,100.0,44012
44,13,144,144,100.0,44013
44,14,191,191,100.0,44014
44,15,240,240,100.0,44015
44,16,214,214,100.0,44016
44,17,226,226,100.0,44017
44,18,151,151,100.0,44018
44,19,114,114,100.0,44019
44,20,177,177,100.0,44020
44,21,261,261,100.0,44021
44,22,235,235,100.0,44022
44,23,191,191,100.0,44023
44,24,131,131,100.0,44024
44,25,201,201,100.0,44025
44,26,178,178,100.0,44026
44,27,241,241,100.0,44027
44,28,155,155,100.0,44028
44,29,207,207,100.0,44029
44,30,183,183,100.0,44030
44,31,208,208,100.0,44031
44,32,149,149,100.0,44032
44,33,289,289,100.0,44033
44,34,142,142,100.0,44034
44,35,155,155,100.0,44035
44,36,194,194,100.0,44036
44,37,276,276,100.0,44037
44,38,189,189,100.0,44038
44,39,202,202,100.0,44039
44,40,195,195,100.0,44040
44,41,154,154,100.0,44041
44,42,262,262,100.0,44042
44,43,226,226,100.0,44043
44,44,241,241,100.0,44044
44,45,221,221,100.0,44045
44,46,148,148,100.0,44046
44,47,226,226,100.0,44047
44,48,128,128,100.0,44048
44,49,271,271,100.0,44049
44,50,175,175,100.0,44050
44,51,155,155,100.0,44051
