ward,precinct,total,Sheila M. Murphy (Clinton),Sheila M. Murphy (Clinton) Percent,Fred G. Lebed (Clinton),Fred G. Lebed (Clinton) Percent,Mary Morrissey-Kochanny (Clinton),Mary Morrissey-Kochanny (Clinton) Percent,Ghassan Abboud (Clinton),Ghassan Abboud (Clinton) Percent,Colleen Burns (Clinton),Colleen Burns (Clinton) Percent,Martin Arteaga (Clinton),Martin Arteaga (Clinton) Percent,John P. Daley (Obama),John P. Daley (Obama) Percent,Elizabeth ''Lisa'' Hernandez (Obama),Elizabeth ''Lisa'' Hernandez (Obama) Percent,Shirley Roumagoux-Madigan (Obama),Shirley Roumagoux-Madigan (Obama) Percent,"Albert D. Tyson, III (Obama)","Albert D. Tyson, III (Obama) Percent",Arthur Velasquez (Obama),Arthur Velasquez (Obama) Percent,Diane M. Viverito (Obama),Diane M. Viverito (Obama) Percent,Mike Erickson (Richardson),Mike Erickson (Richardson) Percent,Guillermo GÃ³mez (Richardson),Guillermo GÃ³mez (Richardson) Percent,precinct_id
3,19,365,26,7.12,26,7.12,23,6.3,25,6.85,23,6.3,25,6.85,36,9.86,42,11.51,33,9.04,30,8.22,32,8.77,33,9.04,5,1.37,6,1.64,03019
11,1,1129,82,7.26,69,6.11,77,6.82,72,6.38,81,7.17,74,6.55,139,12.31,109,9.65,108,9.57,99,8.77,100,8.86,99,8.77,10,0.89,10,0.89,11001
11,2,938,100,10.66,77,8.21,86,9.17,73,7.78,81,8.64,93,9.91,79,8.42,75,8.0,67,7.14,56,5.97,70,7.46,58,6.18,7,0.75,16,1.71,11002
11,4,1146,102,8.9,84,7.33,96,8.38,71,6.2,87,7.59,85,7.42,120,10.47,104,9.08,99,8.64,92,8.03,94,8.2,96,8.38,6,0.52,10,0.87,11004
11,5,802,75,9.35,54,6.73,63,7.86,54,6.73,65,8.1,63,7.86,71,8.85,74,9.23,62,7.73,60,7.48,66,8.23,65,8.1,13,1.62,17,2.12,11005
11,6,1387,127,9.16,104,7.5,108,7.79,99,7.14,125,9.01,136,9.81,128,9.23,119,8.58,93,6.71,94,6.78,109,7.86,97,6.99,16,1.15,32,2.31,11006
11,7,1026,83,8.09,63,6.14,68,6.63,64,6.24,71,6.92,63,6.14,112,10.92,100,9.75,89,8.67,90,8.77,98,9.55,99,9.65,10,0.97,16,1.56,11007
11,8,936,86,9.19,67,7.16,77,8.23,59,6.3,84,8.97,78,8.33,91,9.72,82,8.76,70,7.48,65,6.94,70,7.48,69,7.37,13,1.39,25,2.67,11008
11,9,724,60,8.29,55,7.6,54,7.46,47,6.49,57,7.87,57,7.87,84,11.6,65,8.98,58,8.01,55,7.6,60,8.29,60,8.29,3,0.41,9,1.24,11009
11,11,1495,131,8.76,107,7.16,117,7.83,101,6.76,118,7.89,114,7.63,158,10.57,133,8.9,129,8.63,117,7.83,123,8.23,123,8.23,12,0.8,12,0.8,11011
11,12,1078,95,8.81,78,7.24,88,8.16,73,6.77,92,8.53,75,6.96,131,12.15,86,7.98,89,8.26,84,7.79,90,8.35,85,7.88,5,0.46,7,0.65,11012
11,13,999,89,8.91,80,8.01,73,7.31,73,7.31,85,8.51,79,7.91,106,10.61,85,8.51,81,8.11,70,7.01,78,7.81,79,7.91,10,1.0,11,1.1,11013
11,15,966,76,7.87,49,5.07,60,6.21,44,4.55,68,7.04,56,5.8,119,12.32,98,10.14,93,9.63,93,9.63,92,9.52,99,10.25,13,1.35,6,0.62,11015
11,16,1195,94,7.87,73,6.11,71,5.94,70,5.86,91,7.62,83,6.95,148,12.38,124,10.38,106,8.87,94,7.87,111,9.29,102,8.54,10,0.84,18,1.51,11016
11,17,1422,130,9.14,107,7.52,108,7.59,103,7.24,110,7.74,117,8.23,123,8.65,127,8.93,112,7.88,105,7.38,128,9.0,108,7.59,12,0.84,32,2.25,11017
11,18,594,54,9.09,44,7.41,45,7.58,44,7.41,45,7.58,45,7.58,62,10.44,52,8.75,49,8.25,45,7.58,49,8.25,48,8.08,5,0.84,7,1.18,11018
11,19,953,73,7.66,52,5.46,60,6.3,55,5.77,64,6.72,57,5.98,123,12.91,92,9.65,94,9.86,83,8.71,88,9.23,91,9.55,10,1.05,11,1.15,11019
11,20,861,67,7.78,56,6.5,62,7.2,53,6.16,60,6.97,55,6.39,111,12.89,76,8.83,75,8.71,75,8.71,80,9.29,78,9.06,6,0.7,7,0.81,11020
11,21,1128,85,7.54,70,6.21,75,6.65,65,5.76,78,6.91,61,5.41,142,12.59,112,9.93,106,9.4,101,8.95,105,9.31,111,9.84,11,0.98,6,0.53,11021
11,22,913,59,6.46,57,6.24,54,5.91,53,5.81,64,7.01,52,5.7,129,14.13,87,9.53,81,8.87,87,9.53,91,9.97,84,9.2,6,0.66,9,0.99,11022
11,23,868,74,8.53,58,6.68,70,8.06,62,7.14,67,7.72,63,7.26,109,12.56,72,8.29,68,7.83,69,7.95,69,7.95,73,8.41,6,0.69,8,0.92,11023
11,24,1976,116,5.87,94,4.76,98,4.96,84,4.25,115,5.82,85,4.3,294,14.88,209,10.58,217,10.98,208,10.53,216,10.93,209,10.58,19,0.96,12,0.61,11024
11,25,950,62,6.53,50,5.26,52,5.47,47,4.95,58,6.11,52,5.47,124,13.05,103,10.84,96,10.11,93,9.79,98,10.32,96,10.11,9,0.95,10,1.05,11025
