ward,precinct,total,Sandi Jackson,Sandi Jackson Percent,William M. Beavers,William M. Beavers Percent,precinct_id
7,1,315,244,77.46,71,22.54,07001
7,2,308,227,73.7,81,26.3,07002
7,3,200,144,72.0,56,28.0,07003
7,4,230,157,68.26,73,31.74,07004
7,5,231,149,64.5,82,35.5,07005
7,6,240,171,71.25,69,28.75,07006
7,7,190,125,65.79,65,34.21,07007
7,8,88,65,73.86,23,26.14,07008
7,9,251,201,80.08,50,19.92,07009
7,10,186,161,86.56,25,13.44,07010
7,11,274,223,81.39,51,18.61,07011
7,12,199,145,72.86,54,27.14,07012
7,13,168,125,74.4,43,25.6,07013
7,14,289,203,70.24,86,29.76,07014
7,15,152,120,78.95,32,21.05,07015
7,16,180,137,76.11,43,23.89,07016
7,17,172,106,61.63,66,38.37,07017
7,18,164,126,76.83,38,23.17,07018
7,19,392,301,76.79,91,23.21,07019
7,20,115,97,84.35,18,15.65,07020
7,21,244,188,77.05,56,22.95,07021
7,22,203,136,67.0,67,33.0,07022
7,23,183,149,81.42,34,18.58,07023
7,24,252,190,75.4,62,24.6,07024
7,25,317,201,63.41,116,36.59,07025
7,26,316,210,66.46,106,33.54,07026
7,27,355,301,84.79,54,15.21,07027
7,28,263,196,74.52,67,25.48,07028
7,29,151,97,64.24,54,35.76,07029
7,30,292,211,72.26,81,27.74,07030
7,31,260,188,72.31,72,27.69,07031
7,32,191,144,75.39,47,24.61,07032
7,33,214,138,64.49,76,35.51,07033
7,34,241,184,76.35,57,23.65,07034
7,35,137,112,81.75,25,18.25,07035
7,36,301,210,69.77,91,30.23,07036
7,37,131,85,64.89,46,35.11,07037
7,38,195,141,72.31,54,27.69,07038
7,39,210,159,75.71,51,24.29,07039
7,40,281,226,80.43,55,19.57,07040
7,41,209,158,75.6,51,24.4,07041
7,42,376,296,78.72,80,21.28,07042
7,43,281,208,74.02,73,25.98,07043
7,44,344,276,80.23,68,19.77,07044
7,45,360,285,79.17,75,20.83,07045
7,46,103,77,74.76,26,25.24,07046
7,47,212,155,73.11,57,26.89,07047
7,48,107,88,82.24,19,17.76,07048
7,49,152,107,70.39,45,29.61,07049
7,50,164,122,74.39,42,25.61,07050
7,51,224,167,74.55,57,25.45,07051
7,52,204,125,61.27,79,38.73,07052
7,53,209,137,65.55,72,34.45,07053
7,54,107,75,70.09,32,29.91,07054
7,55,208,155,74.52,53,25.48,07055
7,56,220,174,79.09,46,20.91,07056
7,57,198,157,79.29,41,20.71,07057
7,58,317,214,67.51,103,32.49,07058
7,59,141,104,73.76,37,26.24,07059
7,60,147,112,76.19,35,23.81,07060
7,61,230,180,78.26,50,21.74,07061
7,62,225,167,74.22,58,25.78,07062
7,63,211,158,74.88,53,25.12,07063
7,64,236,169,71.61,67,28.39,07064
7,65,243,193,79.42,50,20.58,07065
