ward,precinct,total,Barbara Flynn Currie,Barbara Flynn Currie Percent,Sharon Latiker,Sharon Latiker Percent,precinct_id
4,1,433,394,90.99,39,9.01,04001
4,9,511,456,89.24,55,10.76,04009
4,17,294,263,89.46,31,10.54,04017
4,21,381,344,90.29,37,9.71,04021
4,22,387,340,87.86,47,12.14,04022
4,28,200,186,93.0,14,7.0,04028
4,29,266,241,90.6,25,9.4,04029
4,31,198,189,95.45,9,4.55,04031
4,32,327,313,95.72,14,4.28,04032
4,34,232,216,93.1,16,6.9,04034
4,38,443,405,91.42,38,8.58,04038
4,41,164,147,89.63,17,10.37,04041
4,43,203,187,92.12,16,7.88,04043
4,44,194,165,85.05,29,14.95,04044
4,45,455,416,91.43,39,8.57,04045
4,47,420,369,87.86,51,12.14,04047
4,48,349,325,93.12,24,6.88,04048
5,1,292,236,80.82,56,19.18,05001
5,3,135,115,85.19,20,14.81,05003
5,5,250,190,76.0,60,24.0,05005
5,6,331,273,82.48,58,17.52,05006
5,7,281,247,87.9,34,12.1,05007
5,8,375,367,97.87,8,2.13,05008
5,11,262,242,92.37,20,7.63,05011
5,14,358,335,93.58,23,6.42,05014
5,17,289,250,86.51,39,13.49,05017
5,21,290,221,76.21,69,23.79,05021
5,22,234,191,81.62,43,18.38,05022
5,24,227,216,95.15,11,4.85,05024
5,25,277,227,81.95,50,18.05,05025
5,26,285,233,81.75,52,18.25,05026
5,27,333,317,95.2,16,4.8,05027
5,28,293,251,85.67,42,14.33,05028
5,29,264,219,82.95,45,17.05,05029
5,30,257,252,98.05,5,1.95,05030
5,31,232,192,82.76,40,17.24,05031
5,32,374,320,85.56,54,14.44,05032
5,33,187,155,82.89,32,17.11,05033
5,34,306,244,79.74,62,20.26,05034
5,35,227,189,83.26,38,16.74,05035
5,36,161,126,78.26,35,21.74,05036
5,37,231,205,88.74,26,11.26,05037
5,38,269,255,94.8,14,5.2,05038
5,39,339,316,93.22,23,6.78,05039
5,40,246,182,73.98,64,26.02,05040
5,41,244,232,95.08,12,4.92,05041
5,42,249,211,84.74,38,15.26,05042
5,43,293,243,82.94,50,17.06,05043
5,44,298,242,81.21,56,18.79,05044
5,46,287,263,91.64,24,8.36,05046
5,47,227,182,80.18,45,19.82,05047
5,48,175,158,90.29,17,9.71,05048
5,49,59,45,76.27,14,23.73,05049
5,53,279,258,92.47,21,7.53,05053
5,54,376,309,82.18,67,17.82,05054
5,55,259,216,83.4,43,16.6,05055
7,3,189,134,70.9,55,29.1,07003
7,8,85,52,61.18,33,38.82,07008
7,9,233,176,75.54,57,24.46,07009
7,10,165,124,75.15,41,24.85,07010
7,11,261,211,80.84,50,19.16,07011
7,14,282,233,82.62,49,17.38,07014
7,15,134,101,75.37,33,24.63,07015
7,16,173,131,75.72,42,24.28,07016
7,17,150,107,71.33,43,28.67,07017
7,18,153,105,68.63,48,31.37,07018
7,20,116,82,70.69,34,29.31,07020
7,22,187,100,53.48,87,46.52,07022
7,23,182,132,72.53,50,27.47,07023
7,28,239,169,70.71,70,29.29,07028
7,32,188,141,75.0,47,25.0,07032
7,35,132,87,65.91,45,34.09,07035
7,39,201,141,70.15,60,29.85,07039
7,40,267,190,71.16,77,28.84,07040
7,44,341,236,69.21,105,30.79,07044
7,45,336,258,76.79,78,23.21,07045
7,46,89,68,76.4,21,23.6,07046
7,48,94,63,67.02,31,32.98,07048
7,54,103,73,70.87,30,29.13,07054
7,56,217,156,71.89,61,28.11,07056
7,63,202,143,70.79,59,29.21,07063
7,64,222,162,72.97,60,27.03,07064
7,65,236,180,76.27,56,23.73,07065
8,70,313,243,77.64,70,22.36,08070
10,1,187,138,73.8,49,26.2,10001
10,4,150,119,79.33,31,20.67,10004
10,7,54,34,62.96,20,37.04,10007
10,18,166,139,83.73,27,16.27,10018
10,22,126,99,78.57,27,21.43,10022
10,23,2,1,50.0,1,50.0,10023
10,25,242,193,79.75,49,20.25,10025
10,37,164,107,65.24,57,34.76,10037
10,43,90,62,68.89,28,31.11,10043
10,45,117,95,81.2,22,18.8,10045
10,47,145,120,82.76,25,17.24,10047
10,48,164,123,75.0,41,25.0,10048
20,26,206,154,74.76,52,25.24,20026
20,34,312,266,85.26,46,14.74,20034
20,38,19,14,73.68,5,26.32,20038
