ward,precinct,total,Manuel ''Manny'' Flores,Manuel ''Manny'' Flores Percent,precinct_id
1,1,194,194,100.0,01001
1,2,174,174,100.0,01002
1,3,139,139,100.0,01003
1,4,182,182,100.0,01004
1,5,170,170,100.0,01005
1,6,192,192,100.0,01006
1,7,154,154,100.0,01007
1,8,196,196,100.0,01008
1,9,167,167,100.0,01009
1,10,194,194,100.0,01010
1,11,139,139,100.0,01011
1,12,218,218,100.0,01012
1,13,216,216,100.0,01013
1,14,202,202,100.0,01014
1,15,162,162,100.0,01015
1,16,90,90,100.0,01016
1,17,155,155,100.0,01017
1,18,141,141,100.0,01018
1,19,124,124,100.0,01019
1,20,154,154,100.0,01020
1,21,149,149,100.0,01021
1,22,174,174,100.0,01022
1,23,166,166,100.0,01023
1,24,286,286,100.0,01024
1,25,147,147,100.0,01025
1,26,148,148,100.0,01026
1,27,103,103,100.0,01027
1,28,102,102,100.0,01028
1,29,159,159,100.0,01029
1,30,267,267,100.0,01030
1,31,186,186,100.0,01031
1,32,181,181,100.0,01032
1,33,193,193,100.0,01033
1,34,114,114,100.0,01034
1,35,116,116,100.0,01035
1,36,174,174,100.0,01036
1,37,137,137,100.0,01037
1,38,123,123,100.0,01038
1,39,180,180,100.0,01039
1,40,75,75,100.0,01040
1,41,157,157,100.0,01041
1,42,145,145,100.0,01042
1,43,128,128,100.0,01043
1,44,150,150,100.0,01044
1,45,203,203,100.0,01045
1,46,198,198,100.0,01046
1,47,177,177,100.0,01047
1,48,86,86,100.0,01048
1,49,90,90,100.0,01049
1,50,146,146,100.0,01050
