ward,precinct,total,Daniel W. Kotowski,Daniel W. Kotowski Percent,precinct_id
41,13,117,117,100.0,41013
41,25,75,75,100.0,41025
41,26,88,88,100.0,41026
41,28,176,176,100.0,41028
41,29,95,95,100.0,41029
41,32,130,130,100.0,41032
41,48,125,125,100.0,41048
