ward,precinct,total,Andre Thapedi,Andre Thapedi Percent,precinct_id
6,4,171,171,100.0,06004
6,5,109,109,100.0,06005
6,6,173,173,100.0,06006
6,7,219,219,100.0,06007
6,11,160,160,100.0,06011
6,12,165,165,100.0,06012
6,15,121,121,100.0,06015
6,18,133,133,100.0,06018
6,20,196,196,100.0,06020
6,30,186,186,100.0,06030
6,32,215,215,100.0,06032
6,33,252,252,100.0,06033
6,36,115,115,100.0,06036
6,40,105,105,100.0,06040
6,48,200,200,100.0,06048
6,61,137,137,100.0,06061
6,62,177,177,100.0,06062
13,19,56,56,100.0,13019
13,30,214,214,100.0,13030
13,44,38,38,100.0,13044
13,47,197,197,100.0,13047
15,1,61,61,100.0,15001
15,6,141,141,100.0,15006
15,7,123,123,100.0,15007
15,8,172,172,100.0,15008
15,9,134,134,100.0,15009
15,11,161,161,100.0,15011
15,12,85,85,100.0,15012
15,13,97,97,100.0,15013
15,14,136,136,100.0,15014
15,15,116,116,100.0,15015
15,21,122,122,100.0,15021
15,25,128,128,100.0,15025
15,27,109,109,100.0,15027
15,28,168,168,100.0,15028
15,30,4,4,100.0,15030
15,32,152,152,100.0,15032
15,34,86,86,100.0,15034
15,41,172,172,100.0,15041
15,42,80,80,100.0,15042
15,44,153,153,100.0,15044
15,45,84,84,100.0,15045
15,46,87,87,100.0,15046
15,47,131,131,100.0,15047
15,49,72,72,100.0,15049
15,51,85,85,100.0,15051
16,35,139,139,100.0,16035
16,41,68,68,100.0,16041
17,1,88,88,100.0,17001
17,6,102,102,100.0,17006
17,8,132,132,100.0,17008
17,11,26,26,100.0,17011
17,13,86,86,100.0,17013
17,14,115,115,100.0,17014
17,16,115,115,100.0,17016
17,17,99,99,100.0,17017
17,19,55,55,100.0,17019
17,34,93,93,100.0,17034
17,36,80,80,100.0,17036
17,39,116,116,100.0,17039
17,40,54,54,100.0,17040
17,41,106,106,100.0,17041
17,42,126,126,100.0,17042
17,43,102,102,100.0,17043
17,45,102,102,100.0,17045
17,46,159,159,100.0,17046
17,49,68,68,100.0,17049
17,56,116,116,100.0,17056
17,58,104,104,100.0,17058
17,59,78,78,100.0,17059
17,60,206,206,100.0,17060
17,62,102,102,100.0,17062
17,63,121,121,100.0,17063
17,64,101,101,100.0,17064
18,1,106,106,100.0,18001
18,2,207,207,100.0,18002
18,5,213,213,100.0,18005
18,11,189,189,100.0,18011
18,15,106,106,100.0,18015
18,17,180,180,100.0,18017
18,21,297,297,100.0,18021
18,23,198,198,100.0,18023
18,27,203,203,100.0,18027
18,29,215,215,100.0,18029
18,31,210,210,100.0,18031
18,33,164,164,100.0,18033
18,39,182,182,100.0,18039
18,42,150,150,100.0,18042
18,43,152,152,100.0,18043
18,44,133,133,100.0,18044
18,47,180,180,100.0,18047
18,49,178,178,100.0,18049
18,50,185,185,100.0,18050
18,56,174,174,100.0,18056
18,57,183,183,100.0,18057
18,58,209,209,100.0,18058
18,59,157,157,100.0,18059
18,62,150,150,100.0,18062
20,10,127,127,100.0,20010
20,18,10,10,100.0,20018
20,25,95,95,100.0,20025
20,28,152,152,100.0,20028
20,30,167,167,100.0,20030
20,35,68,68,100.0,20035
20,49,117,117,100.0,20049
