ward,precinct,total,Gregory Harris,Gregory Harris Percent,precinct_id
40,1,51,51,100.0,40001
40,2,109,109,100.0,40002
40,9,125,125,100.0,40009
40,10,96,96,100.0,40010
40,14,143,143,100.0,40014
40,15,162,162,100.0,40015
40,18,154,154,100.0,40018
40,19,121,121,100.0,40019
40,21,158,158,100.0,40021
40,22,96,96,100.0,40022
40,23,225,225,100.0,40023
40,24,65,65,100.0,40024
40,25,115,115,100.0,40025
40,33,180,180,100.0,40033
40,35,17,17,100.0,40035
40,36,161,161,100.0,40036
40,39,117,117,100.0,40039
40,40,115,115,100.0,40040
40,41,199,199,100.0,40041
40,42,159,159,100.0,40042
40,43,167,167,100.0,40043
40,44,113,113,100.0,40044
40,45,243,243,100.0,40045
40,46,192,192,100.0,40046
46,2,222,222,100.0,46002
46,4,180,180,100.0,46004
46,6,216,216,100.0,46006
46,7,123,123,100.0,46007
46,8,187,187,100.0,46008
46,9,217,217,100.0,46009
46,11,220,220,100.0,46011
46,12,190,190,100.0,46012
46,14,177,177,100.0,46014
46,16,145,145,100.0,46016
46,19,249,249,100.0,46019
46,20,138,138,100.0,46020
46,21,75,75,100.0,46021
46,22,124,124,100.0,46022
46,23,142,142,100.0,46023
46,25,195,195,100.0,46025
46,26,192,192,100.0,46026
46,27,225,225,100.0,46027
46,32,115,115,100.0,46032
46,34,189,189,100.0,46034
46,35,216,216,100.0,46035
46,38,143,143,100.0,46038
46,39,191,191,100.0,46039
46,40,176,176,100.0,46040
46,41,147,147,100.0,46041
46,42,181,181,100.0,46042
46,45,234,234,100.0,46045
46,46,173,173,100.0,46046
46,47,92,92,100.0,46047
47,5,210,210,100.0,47005
47,10,172,172,100.0,47010
47,11,383,383,100.0,47011
47,19,232,232,100.0,47019
47,20,231,231,100.0,47020
47,22,202,202,100.0,47022
47,23,118,118,100.0,47023
47,26,333,333,100.0,47026
47,28,297,297,100.0,47028
47,30,249,249,100.0,47030
47,31,219,219,100.0,47031
47,32,267,267,100.0,47032
47,33,212,212,100.0,47033
47,34,275,275,100.0,47034
47,36,314,314,100.0,47036
47,37,246,246,100.0,47037
47,38,238,238,100.0,47038
47,39,206,206,100.0,47039
47,41,378,378,100.0,47041
47,45,198,198,100.0,47045
48,4,206,206,100.0,48004
48,17,220,220,100.0,48017
48,21,206,206,100.0,48021
48,23,147,147,100.0,48023
48,24,141,141,100.0,48024
48,25,242,242,100.0,48025
48,34,191,191,100.0,48034
48,35,76,76,100.0,48035
48,40,154,154,100.0,48040
48,49,77,77,100.0,48049
50,34,1,1,100.0,50034
