ward,precinct,total,Gene Schulter,Gene Schulter Percent,precinct_id
47,1,232,232,100.0,47001
47,2,160,160,100.0,47002
47,3,180,180,100.0,47003
47,4,235,235,100.0,47004
47,5,227,227,100.0,47005
47,6,259,259,100.0,47006
47,7,203,203,100.0,47007
47,8,296,296,100.0,47008
47,9,184,184,100.0,47009
47,10,175,175,100.0,47010
47,11,407,407,100.0,47011
47,12,174,174,100.0,47012
47,13,326,326,100.0,47013
47,14,167,167,100.0,47014
47,15,245,245,100.0,47015
47,16,206,206,100.0,47016
47,17,213,213,100.0,47017
47,18,264,264,100.0,47018
47,19,271,271,100.0,47019
47,20,233,233,100.0,47020
47,21,243,243,100.0,47021
47,22,207,207,100.0,47022
47,23,118,118,100.0,47023
47,24,241,241,100.0,47024
47,25,259,259,100.0,47025
47,26,349,349,100.0,47026
47,27,185,185,100.0,47027
47,28,337,337,100.0,47028
47,29,243,243,100.0,47029
47,30,261,261,100.0,47030
47,31,229,229,100.0,47031
47,32,266,266,100.0,47032
47,33,209,209,100.0,47033
47,34,291,291,100.0,47034
47,35,315,315,100.0,47035
47,36,315,315,100.0,47036
47,37,284,284,100.0,47037
47,38,285,285,100.0,47038
47,39,223,223,100.0,47039
47,40,222,222,100.0,47040
47,41,376,376,100.0,47041
47,42,194,194,100.0,47042
47,43,153,153,100.0,47043
47,44,246,246,100.0,47044
47,45,203,203,100.0,47045
47,46,165,165,100.0,47046
47,47,205,205,100.0,47047
47,48,40,40,100.0,47048
47,49,129,129,100.0,47049
47,50,156,156,100.0,47050
47,51,130,130,100.0,47051
47,52,101,101,100.0,47052
