ward,precinct,total,Daniel S. Solis,Daniel S. Solis Percent,Robert Martinez,Robert Martinez Percent,precinct_id
25,1,202,129,63.86,73,36.14,25001
25,2,264,171,64.77,93,35.23,25002
25,3,175,124,70.86,51,29.14,25003
25,4,220,151,68.64,69,31.36,25004
25,5,226,140,61.95,86,38.05,25005
25,6,132,79,59.85,53,40.15,25006
25,7,171,106,61.99,65,38.01,25007
25,8,241,156,64.73,85,35.27,25008
25,9,305,173,56.72,132,43.28,25009
25,10,123,86,69.92,37,30.08,25010
25,11,237,135,56.96,102,43.04,25011
25,12,183,103,56.28,80,43.72,25012
25,13,254,166,65.35,88,34.65,25013
25,14,117,97,82.91,20,17.09,25014
25,15,224,156,69.64,68,30.36,25015
25,16,141,114,80.85,27,19.15,25016
25,17,336,222,66.07,114,33.93,25017
25,18,301,268,89.04,33,10.96,25018
25,19,239,143,59.83,96,40.17,25019
25,20,237,156,65.82,81,34.18,25020
25,21,156,122,78.21,34,21.79,25021
25,22,131,88,67.18,43,32.82,25022
25,23,232,114,49.14,118,50.86,25023
25,24,266,162,60.9,104,39.1,25024
25,25,153,122,79.74,31,20.26,25025
25,26,140,99,70.71,41,29.29,25026
25,27,154,133,86.36,21,13.64,25027
25,28,247,200,80.97,47,19.03,25028
25,29,331,247,74.62,84,25.38,25029
25,30,231,123,53.25,108,46.75,25030
25,31,117,57,48.72,60,51.28,25031
