ward,precinct,total,Sharon Denise Dixon,Sharon Denise Dixon Percent,Larry G. Nelson,Larry G. Nelson Percent,precinct_id
24,1,292,231,79.11,61,20.89,24001
24,2,150,113,75.33,37,24.67,24002
24,3,185,156,84.32,29,15.68,24003
24,4,212,168,79.25,44,20.75,24004
24,5,148,105,70.95,43,29.05,24005
24,6,233,171,73.39,62,26.61,24006
24,7,163,143,87.73,20,12.27,24007
24,8,155,100,64.52,55,35.48,24008
24,9,201,145,72.14,56,27.86,24009
24,10,144,122,84.72,22,15.28,24010
24,11,121,83,68.6,38,31.4,24011
24,12,151,118,78.15,33,21.85,24012
24,13,196,155,79.08,41,20.92,24013
24,14,292,192,65.75,100,34.25,24014
24,15,151,100,66.23,51,33.77,24015
24,16,148,126,85.14,22,14.86,24016
24,17,159,118,74.21,41,25.79,24017
24,18,126,109,86.51,17,13.49,24018
24,19,141,132,93.62,9,6.38,24019
24,20,180,124,68.89,56,31.11,24020
24,21,105,90,85.71,15,14.29,24021
24,22,183,142,77.6,41,22.4,24022
24,23,145,112,77.24,33,22.76,24023
24,24,90,75,83.33,15,16.67,24024
24,25,203,150,73.89,53,26.11,24025
24,26,245,200,81.63,45,18.37,24026
24,27,96,83,86.46,13,13.54,24027
24,28,233,193,82.83,40,17.17,24028
24,29,221,174,78.73,47,21.27,24029
24,30,181,149,82.32,32,17.68,24030
24,31,203,156,76.85,47,23.15,24031
24,32,179,130,72.63,49,27.37,24032
24,33,143,120,83.92,23,16.08,24033
24,34,193,151,78.24,42,21.76,24034
24,35,248,202,81.45,46,18.55,24035
24,36,149,109,73.15,40,26.85,24036
24,37,234,180,76.92,54,23.08,24037
24,38,197,141,71.57,56,28.43,24038
24,39,168,116,69.05,52,30.95,24039
24,40,239,173,72.38,66,27.62,24040
24,41,166,127,76.51,39,23.49,24041
24,42,141,110,78.01,31,21.99,24042
24,43,256,210,82.03,46,17.97,24043
24,44,259,204,78.76,55,21.24,24044
24,45,155,122,78.71,33,21.29,24045
24,46,236,199,84.32,37,15.68,24046
24,47,180,134,74.44,46,25.56,24047
24,48,108,82,75.93,26,24.07,24048
24,49,301,239,79.4,62,20.6,24049
24,50,347,295,85.01,52,14.99,24050
24,51,275,211,76.73,64,23.27,24051
24,52,172,119,69.19,53,30.81,24052
24,53,193,152,78.76,41,21.24,24053
24,54,228,180,78.95,48,21.05,24054
24,55,192,159,82.81,33,17.19,24055
24,56,220,152,69.09,68,30.91,24056
