ward,precinct,total,John Garrett Maher,John Garrett Maher Percent,Eileen O'Neill Burke,Eileen O'Neill Burke Percent,Joan Ellen Smuda,Joan Ellen Smuda Percent,Kenneth L. Fletcher,Kenneth L. Fletcher Percent,Thomas Francis Biesty,Thomas Francis Biesty Percent,precinct_id
1,42,9,1,11.11,2,22.22,2,22.22,2,22.22,2,22.22,01042
30,1,135,13,9.63,53,39.26,30,22.22,16,11.85,23,17.04,30001
30,3,179,23,12.85,68,37.99,46,25.7,21,11.73,21,11.73,30003
30,15,143,18,12.59,54,37.76,41,28.67,13,9.09,17,11.89,30015
32,9,118,19,16.1,45,38.14,20,16.95,17,14.41,17,14.41,32009
32,15,91,15,16.48,32,35.16,19,20.88,15,16.48,10,10.99,32015
32,19,86,13,15.12,41,47.67,14,16.28,7,8.14,11,12.79,32019
32,21,147,22,14.97,58,39.46,33,22.45,17,11.56,17,11.56,32021
32,22,202,27,13.37,86,42.57,33,16.34,21,10.4,35,17.33,32022
32,25,133,14,10.53,53,39.85,27,20.3,28,21.05,11,8.27,32025
33,5,198,21,10.61,70,35.35,66,33.33,27,13.64,14,7.07,33005
33,9,210,30,14.29,82,39.05,60,28.57,23,10.95,15,7.14,33009
33,14,186,20,10.75,70,37.63,62,33.33,18,9.68,16,8.6,33014
33,18,76,6,7.89,26,34.21,25,32.89,14,18.42,5,6.58,33018
35,22,68,7,10.29,29,42.65,15,22.06,9,13.24,8,11.76,35022
35,33,73,11,15.07,28,38.36,15,20.55,6,8.22,13,17.81,35033
38,1,183,26,14.21,68,37.16,33,18.03,28,15.3,28,15.3,38001
38,4,83,17,20.48,29,34.94,16,19.28,9,10.84,12,14.46,38004
38,5,259,40,15.44,93,35.91,60,23.17,27,10.42,39,15.06,38005
38,7,176,28,15.91,73,41.48,32,18.18,26,14.77,17,9.66,38007
38,10,51,3,5.88,18,35.29,13,25.49,9,17.65,8,15.69,38010
38,41,224,29,12.95,90,40.18,36,16.07,40,17.86,29,12.95,38041
38,42,191,36,18.85,66,34.55,36,18.85,22,11.52,31,16.23,38042
39,1,173,25,14.45,54,31.21,27,15.61,4,2.31,63,36.42,39001
39,2,213,36,16.9,69,32.39,50,23.47,34,15.96,24,11.27,39002
39,3,182,18,9.89,47,25.82,17,9.34,17,9.34,83,45.6,39003
39,4,129,9,6.98,31,24.03,28,21.71,6,4.65,55,42.64,39004
39,5,130,22,16.92,50,38.46,21,16.15,13,10.0,24,18.46,39005
39,6,145,20,13.79,59,40.69,28,19.31,18,12.41,20,13.79,39006
39,7,129,27,20.93,31,24.03,13,10.08,40,31.01,18,13.95,39007
39,8,192,29,15.1,55,28.65,33,17.19,44,22.92,31,16.15,39008
39,9,201,35,17.41,42,20.9,45,22.39,59,29.35,20,9.95,39009
39,10,151,18,11.92,65,43.05,25,16.56,34,22.52,9,5.96,39010
39,11,205,25,12.2,54,26.34,28,13.66,72,35.12,26,12.68,39011
39,12,155,23,14.84,48,30.97,31,20.0,33,21.29,20,12.9,39012
39,13,108,12,11.11,41,37.96,22,20.37,25,23.15,8,7.41,39013
39,14,149,23,15.44,49,32.89,27,18.12,35,23.49,15,10.07,39014
39,15,143,26,18.18,38,26.57,22,15.38,15,10.49,42,29.37,39015
39,16,115,26,22.61,33,28.7,23,20.0,20,17.39,13,11.3,39016
39,17,139,26,18.71,45,32.37,24,17.27,31,22.3,13,9.35,39017
39,18,158,27,17.09,50,31.65,29,18.35,28,17.72,24,15.19,39018
39,19,133,22,16.54,55,41.35,21,15.79,21,15.79,14,10.53,39019
39,20,144,27,18.75,21,14.58,20,13.89,12,8.33,64,44.44,39020
39,21,129,17,13.18,48,37.21,27,20.93,27,20.93,10,7.75,39021
39,22,151,20,13.25,45,29.8,17,11.26,52,34.44,17,11.26,39022
39,23,114,9,7.89,51,44.74,27,23.68,14,12.28,13,11.4,39023
39,24,178,21,11.8,62,34.83,31,17.42,50,28.09,14,7.87,39024
39,25,154,20,12.99,55,35.71,38,24.68,20,12.99,21,13.64,39025
39,26,173,13,7.51,35,20.23,53,30.64,18,10.4,54,31.21,39026
