ward,precinct,total,Lona Lane,Lona Lane Percent,"Joseph C. Ziegler, Jr.","Joseph C. Ziegler, Jr. Percent",precinct_id
18,1,135,111,82.22,24,17.78,18001
18,2,252,195,77.38,57,22.62,18002
18,3,167,108,64.67,59,35.33,18003
18,4,303,255,84.16,48,15.84,18004
18,5,268,239,89.18,29,10.82,18005
18,6,192,127,66.15,65,33.85,18006
18,7,229,174,75.98,55,24.02,18007
18,8,118,97,82.2,21,17.8,18008
18,9,277,223,80.51,54,19.49,18009
18,10,420,359,85.48,61,14.52,18010
18,11,244,199,81.56,45,18.44,18011
18,12,349,287,82.23,62,17.77,18012
18,13,325,259,79.69,66,20.31,18013
18,14,342,261,76.32,81,23.68,18014
18,15,134,95,70.9,39,29.1,18015
18,16,310,255,82.26,55,17.74,18016
18,17,223,176,78.92,47,21.08,18017
18,18,242,198,81.82,44,18.18,18018
18,19,376,316,84.04,60,15.96,18019
18,20,259,202,77.99,57,22.01,18020
18,21,407,337,82.8,70,17.2,18021
18,22,335,286,85.37,49,14.63,18022
18,23,250,190,76.0,60,24.0,18023
18,24,320,222,69.38,98,30.63,18024
18,25,279,208,74.55,71,25.45,18025
18,26,221,193,87.33,28,12.67,18026
18,27,245,203,82.86,42,17.14,18027
18,28,215,125,58.14,90,41.86,18028
18,29,260,210,80.77,50,19.23,18029
18,30,215,172,80.0,43,20.0,18030
18,31,261,205,78.54,56,21.46,18031
18,32,353,251,71.1,102,28.9,18032
18,33,224,199,88.84,25,11.16,18033
18,34,380,310,81.58,70,18.42,18034
18,35,359,302,84.12,57,15.88,18035
18,36,204,189,92.65,15,7.35,18036
18,37,243,194,79.84,49,20.16,18037
18,38,304,258,84.87,46,15.13,18038
18,39,245,204,83.27,41,16.73,18039
18,40,355,316,89.01,39,10.99,18040
18,41,222,163,73.42,59,26.58,18041
18,42,189,160,84.66,29,15.34,18042
18,43,178,134,75.28,44,24.72,18043
18,44,168,141,83.93,27,16.07,18044
18,45,308,185,60.06,123,39.94,18045
18,46,263,210,79.85,53,20.15,18046
18,47,208,168,80.77,40,19.23,18047
18,48,140,106,75.71,34,24.29,18048
18,49,226,191,84.51,35,15.49,18049
18,50,255,224,87.84,31,12.16,18050
18,51,350,275,78.57,75,21.43,18051
18,52,290,229,78.97,61,21.03,18052
18,53,221,184,83.26,37,16.74,18053
18,54,289,240,83.04,49,16.96,18054
18,55,216,174,80.56,42,19.44,18055
18,56,215,169,78.6,46,21.4,18056
18,57,216,181,83.8,35,16.2,18057
18,58,270,235,87.04,35,12.96,18058
18,59,195,162,83.08,33,16.92,18059
18,60,313,260,83.07,53,16.93,18060
18,61,284,234,82.39,50,17.61,18061
18,62,190,150,78.95,40,21.05,18062
