ward,precinct,total,Matthew J. O'Shea,Matthew J. O'Shea Percent,precinct_id
19,1,280,280,100.0,19001
19,2,251,251,100.0,19002
19,3,169,169,100.0,19003
19,4,221,221,100.0,19004
19,5,277,277,100.0,19005
19,6,176,176,100.0,19006
19,7,267,267,100.0,19007
19,8,164,164,100.0,19008
19,9,163,163,100.0,19009
19,10,332,332,100.0,19010
19,11,277,277,100.0,19011
19,12,228,228,100.0,19012
19,13,231,231,100.0,19013
19,14,139,139,100.0,19014
19,15,206,206,100.0,19015
19,16,285,285,100.0,19016
19,17,285,285,100.0,19017
19,18,310,310,100.0,19018
19,19,266,266,100.0,19019
19,20,239,239,100.0,19020
19,21,153,153,100.0,19021
19,22,286,286,100.0,19022
19,23,295,295,100.0,19023
19,24,208,208,100.0,19024
19,25,285,285,100.0,19025
19,26,269,269,100.0,19026
19,27,167,167,100.0,19027
19,28,286,286,100.0,19028
19,29,173,173,100.0,19029
19,30,219,219,100.0,19030
19,31,223,223,100.0,19031
19,32,258,258,100.0,19032
19,33,236,236,100.0,19033
19,34,272,272,100.0,19034
19,35,257,257,100.0,19035
19,36,332,332,100.0,19036
19,37,289,289,100.0,19037
19,38,250,250,100.0,19038
19,39,144,144,100.0,19039
19,40,303,303,100.0,19040
19,41,163,163,100.0,19041
19,42,288,288,100.0,19042
19,43,276,276,100.0,19043
19,44,206,206,100.0,19044
19,45,272,272,100.0,19045
19,46,329,329,100.0,19046
19,47,196,196,100.0,19047
19,48,217,217,100.0,19048
19,49,302,302,100.0,19049
19,50,252,252,100.0,19050
19,51,206,206,100.0,19051
19,52,161,161,100.0,19052
19,53,237,237,100.0,19053
19,54,182,182,100.0,19054
19,55,221,221,100.0,19055
19,56,333,333,100.0,19056
19,57,299,299,100.0,19057
19,58,227,227,100.0,19058
19,59,226,226,100.0,19059
19,60,251,251,100.0,19060
19,61,350,350,100.0,19061
19,62,273,273,100.0,19062
19,63,212,212,100.0,19063
19,64,263,263,100.0,19064
19,65,194,194,100.0,19065
19,66,289,289,100.0,19066
