ward,precinct,total,Joseph Berrios,Joseph Berrios Percent,Jay Paul Deratany,Jay Paul Deratany Percent,precinct_id
1,1,195,127,65.13,68,34.87,01001
1,2,163,100,61.35,63,38.65,01002
1,3,134,71,52.99,63,47.01,01003
1,4,164,87,53.05,77,46.95,01004
1,5,161,105,65.22,56,34.78,01005
1,6,187,123,65.78,64,34.22,01006
1,7,162,109,67.28,53,32.72,01007
1,8,180,107,59.44,73,40.56,01008
1,9,170,110,64.71,60,35.29,01009
1,10,182,85,46.7,97,53.3,01010
1,11,139,86,61.87,53,38.13,01011
1,12,202,100,49.5,102,50.5,01012
1,13,221,158,71.49,63,28.51,01013
1,14,176,107,60.8,69,39.2,01014
1,15,168,123,73.21,45,26.79,01015
1,16,85,62,72.94,23,27.06,01016
1,17,138,85,61.59,53,38.41,01017
1,18,144,90,62.5,54,37.5,01018
1,19,147,98,66.67,49,33.33,01019
1,20,166,118,71.08,48,28.92,01020
1,21,143,72,50.35,71,49.65,01021
1,22,183,143,78.14,40,21.86,01022
1,23,146,93,63.7,53,36.3,01023
1,24,283,175,61.84,108,38.16,01024
1,25,147,93,63.27,54,36.73,01025
1,26,138,79,57.25,59,42.75,01026
1,27,98,61,62.24,37,37.76,01027
1,28,106,76,71.7,30,28.3,01028
1,29,162,107,66.05,55,33.95,01029
1,30,278,182,65.47,96,34.53,01030
1,31,172,78,45.35,94,54.65,01031
1,32,177,132,74.58,45,25.42,01032
1,33,179,113,63.13,66,36.87,01033
1,34,113,64,56.64,49,43.36,01034
1,35,107,58,54.21,49,45.79,01035
1,36,155,82,52.9,73,47.1,01036
1,37,130,83,63.85,47,36.15,01037
1,38,129,92,71.32,37,28.68,01038
1,39,197,136,69.04,61,30.96,01039
1,40,86,55,63.95,31,36.05,01040
1,41,180,120,66.67,60,33.33,01041
1,42,148,97,65.54,51,34.46,01042
1,43,129,87,67.44,42,32.56,01043
1,44,142,89,62.68,53,37.32,01044
1,45,206,141,68.45,65,31.55,01045
1,46,191,102,53.4,89,46.6,01046
1,47,167,93,55.69,74,44.31,01047
1,48,104,63,60.58,41,39.42,01048
1,49,76,36,47.37,40,52.63,01049
1,50,133,83,62.41,50,37.59,01050
2,1,282,139,49.29,143,50.71,02001
2,2,26,18,69.23,8,30.77,02002
2,8,279,150,53.76,129,46.24,02008
2,11,336,137,40.77,199,59.23,02011
2,22,328,163,49.7,165,50.3,02022
2,24,138,90,65.22,48,34.78,02024
2,28,116,56,48.28,60,51.72,02028
2,32,106,65,61.32,41,38.68,02032
2,35,61,39,63.93,22,36.07,02035
2,36,274,154,56.2,120,43.8,02036
2,37,201,83,41.29,118,58.71,02037
2,38,10,5,50.0,5,50.0,02038
2,40,133,90,67.67,43,32.33,02040
2,43,286,162,56.64,124,43.36,02043
2,49,144,68,47.22,76,52.78,02049
2,50,151,102,67.55,49,32.45,02050
2,53,196,108,55.1,88,44.9,02053
2,54,242,115,47.52,127,52.48,02054
2,55,67,39,58.21,28,41.79,02055
3,3,217,151,69.59,66,30.41,03003
3,13,154,122,79.22,32,20.78,03013
3,19,6,5,83.33,1,16.67,03019
3,28,364,216,59.34,148,40.66,03028
3,29,163,131,80.37,32,19.63,03029
11,1,223,149,66.82,74,33.18,11001
11,2,187,135,72.19,52,27.81,11002
11,3,164,133,81.1,31,18.9,11003
11,4,227,156,68.72,71,31.28,11004
11,5,127,89,70.08,38,29.92,11005
11,6,277,201,72.56,76,27.44,11006
11,7,186,123,66.13,63,33.87,11007
11,8,186,129,69.35,57,30.65,11008
11,9,145,104,71.72,41,28.28,11009
11,10,138,103,74.64,35,25.36,11010
11,11,274,187,68.25,87,31.75,11011
11,12,221,157,71.04,64,28.96,11012
11,13,187,145,77.54,42,22.46,11013
11,14,172,118,68.6,54,31.4,11014
11,15,184,137,74.46,47,25.54,11015
11,16,230,164,71.3,66,28.7,11016
11,17,266,184,69.17,82,30.83,11017
11,18,127,90,70.87,37,29.13,11018
11,19,159,116,72.96,43,27.04,11019
11,20,170,135,79.41,35,20.59,11020
11,21,206,158,76.7,48,23.3,11021
11,22,163,123,75.46,40,24.54,11022
11,23,172,125,72.67,47,27.33,11023
11,24,382,310,81.15,72,18.85,11024
11,25,191,124,64.92,67,35.08,11025
11,26,306,219,71.57,87,28.43,11026
11,27,160,120,75.0,40,25.0,11027
11,28,157,118,75.16,39,24.84,11028
11,29,216,156,72.22,60,27.78,11029
11,30,185,135,72.97,50,27.03,11030
11,31,143,108,75.52,35,24.48,11031
11,32,168,113,67.26,55,32.74,11032
11,33,134,112,83.58,22,16.42,11033
11,34,124,87,70.16,37,29.84,11034
11,35,292,216,73.97,76,26.03,11035
11,36,58,43,74.14,15,25.86,11036
11,37,245,202,82.45,43,17.55,11037
11,38,316,230,72.78,86,27.22,11038
11,39,286,220,76.92,66,23.08,11039
11,40,133,93,69.92,40,30.08,11040
11,41,122,94,77.05,28,22.95,11041
11,42,167,124,74.25,43,25.75,11042
11,43,211,148,70.14,63,29.86,11043
11,44,210,131,62.38,79,37.62,11044
11,45,84,52,61.9,32,38.1,11045
11,46,129,119,92.25,10,7.75,11046
11,47,182,125,68.68,57,31.32,11047
11,48,79,53,67.09,26,32.91,11048
11,49,185,126,68.11,59,31.89,11049
11,50,111,85,76.58,26,23.42,11050
12,1,90,76,84.44,14,15.56,12001
12,2,132,100,75.76,32,24.24,12002
12,3,120,96,80.0,24,20.0,12003
12,4,113,93,82.3,20,17.7,12004
12,5,131,114,87.02,17,12.98,12005
12,6,120,98,81.67,22,18.33,12006
12,7,170,145,85.29,25,14.71,12007
12,8,202,146,72.28,56,27.72,12008
12,9,10,9,90.0,1,10.0,12009
12,10,156,122,78.21,34,21.79,12010
12,11,204,173,84.8,31,15.2,12011
12,12,126,106,84.13,20,15.87,12012
12,13,184,133,72.28,51,27.72,12013
12,14,140,104,74.29,36,25.71,12014
12,15,126,107,84.92,19,15.08,12015
12,16,134,106,79.1,28,20.9,12016
12,17,162,126,77.78,36,22.22,12017
12,18,176,132,75.0,44,25.0,12018
12,19,176,133,75.57,43,24.43,12019
12,20,135,109,80.74,26,19.26,12020
12,21,167,127,76.05,40,23.95,12021
12,22,123,90,73.17,33,26.83,12022
12,23,154,115,74.68,39,25.32,12023
12,24,179,130,72.63,49,27.37,12024
13,1,244,188,77.05,56,22.95,13001
13,3,267,206,77.15,61,22.85,13003
13,7,218,179,82.11,39,17.89,13007
13,8,265,204,76.98,61,23.02,13008
13,12,206,149,72.33,57,27.67,13012
13,14,228,165,72.37,63,27.63,13014
13,15,361,287,79.5,74,20.5,13015
13,16,302,242,80.13,60,19.87,13016
13,17,221,161,72.85,60,27.15,13017
13,18,182,144,79.12,38,20.88,13018
13,20,244,192,78.69,52,21.31,13020
13,23,217,170,78.34,47,21.66,13023
13,24,227,178,78.41,49,21.59,13024
13,25,191,137,71.73,54,28.27,13025
13,26,94,80,85.11,14,14.89,13026
13,31,234,201,85.9,33,14.1,13031
13,33,235,175,74.47,60,25.53,13033
13,40,278,219,78.78,59,21.22,13040
14,1,103,84,81.55,19,18.45,14001
14,3,221,171,77.38,50,22.62,14003
14,4,142,110,77.46,32,22.54,14004
14,5,230,199,86.52,31,13.48,14005
14,6,155,114,73.55,41,26.45,14006
14,7,161,116,72.05,45,27.95,14007
14,8,124,92,74.19,32,25.81,14008
14,9,187,157,83.96,30,16.04,14009
14,10,194,149,76.8,45,23.2,14010
14,11,145,121,83.45,24,16.55,14011
14,12,150,130,86.67,20,13.33,14012
14,13,192,158,82.29,34,17.71,14013
14,14,158,139,87.97,19,12.03,14014
14,15,214,186,86.92,28,13.08,14015
14,16,183,139,75.96,44,24.04,14016
14,17,193,169,87.56,24,12.44,14017
14,18,202,154,76.24,48,23.76,14018
14,19,234,187,79.91,47,20.09,14019
14,20,137,106,77.37,31,22.63,14020
14,21,183,154,84.15,29,15.85,14021
14,22,198,153,77.27,45,22.73,14022
14,23,228,175,76.75,53,23.25,14023
14,24,110,97,88.18,13,11.82,14024
14,26,200,156,78.0,44,22.0,14026
14,27,215,149,69.3,66,30.7,14027
14,28,154,110,71.43,44,28.57,14028
14,29,200,168,84.0,32,16.0,14029
14,30,153,118,77.12,35,22.88,14030
14,31,161,140,86.96,21,13.04,14031
14,32,129,104,80.62,25,19.38,14032
14,33,143,121,84.62,22,15.38,14033
14,34,157,140,89.17,17,10.83,14034
14,35,165,131,79.39,34,20.61,14035
15,1,128,97,75.78,31,24.22,15001
15,10,132,106,80.3,26,19.7,15010
15,13,131,93,70.99,38,29.01,15013
15,14,182,138,75.82,44,24.18,15014
15,15,143,112,78.32,31,21.68,15015
15,16,118,86,72.88,32,27.12,15016
15,22,232,171,73.71,61,26.29,15022
15,24,164,110,67.07,54,32.93,15024
15,25,166,133,80.12,33,19.88,15025
15,28,211,150,71.09,61,28.91,15028
15,29,78,60,76.92,18,23.08,15029
15,30,178,122,68.54,56,31.46,15030
15,32,185,135,72.97,50,27.03,15032
15,38,166,114,68.67,52,31.33,15038
15,45,102,82,80.39,20,19.61,15045
15,48,118,79,66.95,39,33.05,15048
15,49,129,99,76.74,30,23.26,15049
15,50,157,117,74.52,40,25.48,15050
16,17,143,112,78.32,31,21.68,16017
16,32,150,113,75.33,37,24.67,16032
16,35,174,134,77.01,40,22.99,16035
16,39,155,132,85.16,23,14.84,16039
16,42,1,1,100.0,0,0.0,16042
16,44,160,116,72.5,44,27.5,16044
20,8,60,49,81.67,11,18.33,20008
20,21,102,87,85.29,15,14.71,20021
22,1,133,104,78.2,29,21.8,22001
22,8,144,114,79.17,30,20.83,22008
22,9,190,138,72.63,52,27.37,22009
22,10,159,128,80.5,31,19.5,22010
22,11,156,128,82.05,28,17.95,22011
22,15,120,94,78.33,26,21.67,22015
22,18,158,120,75.95,38,24.05,22018
22,19,37,31,83.78,6,16.22,22019
22,22,129,100,77.52,29,22.48,22022
22,25,133,106,79.7,27,20.3,22025
22,26,134,99,73.88,35,26.12,22026
22,28,93,79,84.95,14,15.05,22028
