ward,precinct,total,Daniel J. Burke,Daniel J. Burke Percent,precinct_id
13,3,205,205,100.0,13003
13,18,143,143,100.0,13018
13,20,205,205,100.0,13020
13,31,167,167,100.0,13031
14,1,93,93,100.0,14001
14,2,141,141,100.0,14002
14,3,199,199,100.0,14003
14,4,125,125,100.0,14004
14,5,207,207,100.0,14005
14,6,133,133,100.0,14006
14,9,177,177,100.0,14009
14,11,141,141,100.0,14011
14,13,179,179,100.0,14013
14,15,185,185,100.0,14015
14,24,102,102,100.0,14024
14,25,169,169,100.0,14025
14,27,196,196,100.0,14027
14,28,150,150,100.0,14028
14,32,114,114,100.0,14032
14,34,114,114,100.0,14034
15,1,48,48,100.0,15001
15,10,110,110,100.0,15010
15,16,102,102,100.0,15016
16,17,114,114,100.0,16017
16,32,54,54,100.0,16032
16,39,125,125,100.0,16039
22,2,69,69,100.0,22002
22,3,137,137,100.0,22003
22,4,105,105,100.0,22004
22,5,108,108,100.0,22005
22,6,102,102,100.0,22006
22,10,111,111,100.0,22010
22,12,80,80,100.0,22012
22,13,116,116,100.0,22013
22,14,79,79,100.0,22014
22,16,129,129,100.0,22016
22,17,112,112,100.0,22017
22,18,108,108,100.0,22018
22,20,128,128,100.0,22020
22,23,122,122,100.0,22023
22,24,81,81,100.0,22024
22,25,92,92,100.0,22025
22,26,91,91,100.0,22026
22,27,135,135,100.0,22027
22,28,46,46,100.0,22028
23,5,171,171,100.0,23005
23,6,182,182,100.0,23006
23,7,20,20,100.0,23007
23,9,183,183,100.0,23009
23,10,200,200,100.0,23010
23,14,60,60,100.0,23014
23,24,161,161,100.0,23024
23,25,151,151,100.0,23025
23,29,164,164,100.0,23029
23,31,199,199,100.0,23031
23,32,239,239,100.0,23032
23,33,198,198,100.0,23033
23,37,21,21,100.0,23037
23,41,184,184,100.0,23041
23,50,116,116,100.0,23050
23,51,194,194,100.0,23051
23,53,124,124,100.0,23053
