ward,precinct,total,Edward M. Burke,Edward M. Burke Percent,precinct_id
14,1,102,102,100.0,14001
14,2,146,146,100.0,14002
14,3,216,216,100.0,14003
14,4,134,134,100.0,14004
14,5,216,216,100.0,14005
14,6,133,133,100.0,14006
14,7,146,146,100.0,14007
14,8,118,118,100.0,14008
14,9,174,174,100.0,14009
14,10,170,170,100.0,14010
14,11,143,143,100.0,14011
14,12,136,136,100.0,14012
14,13,174,174,100.0,14013
14,14,146,146,100.0,14014
14,15,199,199,100.0,14015
14,16,164,164,100.0,14016
14,17,195,195,100.0,14017
14,18,188,188,100.0,14018
14,19,225,225,100.0,14019
14,20,126,126,100.0,14020
14,21,183,183,100.0,14021
14,22,171,171,100.0,14022
14,23,208,208,100.0,14023
14,24,100,100,100.0,14024
14,25,167,167,100.0,14025
14,26,174,174,100.0,14026
14,27,203,203,100.0,14027
14,28,155,155,100.0,14028
14,29,197,197,100.0,14029
14,30,147,147,100.0,14030
14,31,151,151,100.0,14031
14,32,123,123,100.0,14032
14,33,136,136,100.0,14033
14,34,149,149,100.0,14034
14,35,148,148,100.0,14035
