ward,precinct,total,Pat Dowell,Pat Dowell Percent,Kenneth ''Ken'' Dunkin,Kenneth ''Ken'' Dunkin Percent,precinct_id
3,1,245,144,58.78,101,41.22,03001
3,2,337,263,78.04,74,21.96,03002
3,3,242,145,59.92,97,40.08,03003
3,4,206,136,66.02,70,33.98,03004
3,5,206,152,73.79,54,26.21,03005
3,6,193,143,74.09,50,25.91,03006
3,7,260,182,70.0,78,30.0,03007
3,8,259,166,64.09,93,35.91,03008
3,9,231,171,74.03,60,25.97,03009
3,10,105,76,72.38,29,27.62,03010
3,11,279,193,69.18,86,30.82,03011
3,12,256,211,82.42,45,17.58,03012
3,13,159,140,88.05,19,11.95,03013
3,14,146,70,47.95,76,52.05,03014
3,15,253,169,66.8,84,33.2,03015
3,16,235,151,64.26,84,35.74,03016
3,17,142,111,78.17,31,21.83,03017
3,18,120,81,67.5,39,32.5,03018
3,19,65,48,73.85,17,26.15,03019
3,20,185,141,76.22,44,23.78,03020
3,21,139,112,80.58,27,19.42,03021
3,22,140,105,75.0,35,25.0,03022
3,23,250,151,60.4,99,39.6,03023
3,24,273,153,56.04,120,43.96,03024
3,25,170,135,79.41,35,20.59,03025
3,26,97,81,83.51,16,16.49,03026
3,27,215,154,71.63,61,28.37,03027
3,28,423,313,74.0,110,26.0,03028
3,29,192,117,60.94,75,39.06,03029
3,30,200,145,72.5,55,27.5,03030
3,31,336,198,58.93,138,41.07,03031
3,32,195,131,67.18,64,32.82,03032
3,33,331,202,61.03,129,38.97,03033
3,34,221,150,67.87,71,32.13,03034
3,35,242,157,64.88,85,35.12,03035
3,36,116,72,62.07,44,37.93,03036
3,37,101,80,79.21,21,20.79,03037
3,38,301,230,76.41,71,23.59,03038
3,39,241,183,75.93,58,24.07,03039
3,40,186,114,61.29,72,38.71,03040
3,41,176,124,70.45,52,29.55,03041
3,42,158,98,62.03,60,37.97,03042
3,43,66,40,60.61,26,39.39,03043
3,44,83,60,72.29,23,27.71,03044
3,45,284,208,73.24,76,26.76,03045
3,46,50,24,48.0,26,52.0,03046
3,47,145,103,71.03,42,28.97,03047
3,48,158,118,74.68,40,25.32,03048
3,49,93,40,43.01,53,56.99,03049
3,50,204,173,84.8,31,15.2,03050
