ward,precinct,total,Roberto Maldonado,Roberto Maldonado Percent,precinct_id
26,1,94,94,100.0,26001
26,2,140,140,100.0,26002
26,3,116,116,100.0,26003
26,4,93,93,100.0,26004
26,5,145,145,100.0,26005
26,6,67,67,100.0,26006
26,7,68,68,100.0,26007
26,8,78,78,100.0,26008
26,9,78,78,100.0,26009
26,10,84,84,100.0,26010
26,11,111,111,100.0,26011
26,12,71,71,100.0,26012
26,13,103,103,100.0,26013
26,14,106,106,100.0,26014
26,15,95,95,100.0,26015
26,16,90,90,100.0,26016
26,17,58,58,100.0,26017
26,18,79,79,100.0,26018
26,19,183,183,100.0,26019
26,20,139,139,100.0,26020
26,21,112,112,100.0,26021
26,22,81,81,100.0,26022
26,23,89,89,100.0,26023
26,24,78,78,100.0,26024
26,25,35,35,100.0,26025
26,26,77,77,100.0,26026
26,27,100,100,100.0,26027
26,28,97,97,100.0,26028
26,29,116,116,100.0,26029
26,30,101,101,100.0,26030
26,31,94,94,100.0,26031
26,32,120,120,100.0,26032
26,33,44,44,100.0,26033
26,34,115,115,100.0,26034
26,35,114,114,100.0,26035
26,36,98,98,100.0,26036
26,37,70,70,100.0,26037
26,38,62,62,100.0,26038
26,39,99,99,100.0,26039
26,40,49,49,100.0,26040
26,41,107,107,100.0,26041
26,42,76,76,100.0,26042
26,43,100,100,100.0,26043
26,44,52,52,100.0,26044
26,45,130,130,100.0,26045
26,46,119,119,100.0,26046
26,47,63,63,100.0,26047
26,48,108,108,100.0,26048
26,49,83,83,100.0,26049
26,50,75,75,100.0,26050
26,51,99,99,100.0,26051
26,52,46,46,100.0,26052
26,53,66,66,100.0,26053
26,54,97,97,100.0,26054
26,55,78,78,100.0,26055
26,56,81,81,100.0,26056
26,57,104,104,100.0,26057
26,58,89,89,100.0,26058
26,59,112,112,100.0,26059
26,60,105,105,100.0,26060
26,61,69,69,100.0,26061
26,62,126,126,100.0,26062
26,63,46,46,100.0,26063
