ward,precinct,total,Reinaldo ''Ray'' Hernandez,Reinaldo ''Ray'' Hernandez Percent,Joseph Berrios,Joseph Berrios Percent,precinct_id
31,1,72,21,29.17,51,70.83,31001
31,2,100,40,40.0,60,60.0,31002
31,3,129,25,19.38,104,80.62,31003
31,4,122,45,36.89,77,63.11,31004
31,5,142,52,36.62,90,63.38,31005
31,6,136,59,43.38,77,56.62,31006
31,7,131,54,41.22,77,58.78,31007
31,8,113,49,43.36,64,56.64,31008
31,9,111,38,34.23,73,65.77,31009
31,10,57,17,29.82,40,70.18,31010
31,11,87,23,26.44,64,73.56,31011
31,12,116,29,25.0,87,75.0,31012
31,13,103,39,37.86,64,62.14,31013
31,14,111,33,29.73,78,70.27,31014
31,15,72,33,45.83,39,54.17,31015
31,16,81,36,44.44,45,55.56,31016
31,17,124,36,29.03,88,70.97,31017
31,18,119,36,30.25,83,69.75,31018
31,19,113,41,36.28,72,63.72,31019
31,20,104,56,53.85,48,46.15,31020
31,21,144,67,46.53,77,53.47,31021
31,22,99,30,30.3,69,69.7,31022
31,23,73,32,43.84,41,56.16,31023
31,24,100,40,40.0,60,60.0,31024
31,25,141,45,31.91,96,68.09,31025
31,26,79,29,36.71,50,63.29,31026
31,27,135,55,40.74,80,59.26,31027
31,28,121,42,34.71,79,65.29,31028
31,29,114,42,36.84,72,63.16,31029
31,30,169,40,23.67,129,76.33,31030
31,31,183,61,33.33,122,66.67,31031
31,32,146,43,29.45,103,70.55,31032
31,33,122,45,36.89,77,63.11,31033
31,34,97,30,30.93,67,69.07,31034
31,35,98,32,32.65,66,67.35,31035
31,36,156,53,33.97,103,66.03,31036
31,37,113,46,40.71,67,59.29,31037
31,38,73,24,32.88,49,67.12,31038
31,39,62,22,35.48,40,64.52,31039
31,40,68,23,33.82,45,66.18,31040
31,41,126,66,52.38,60,47.62,31041
31,42,168,73,43.45,95,56.55,31042
31,43,124,46,37.1,78,62.9,31043
31,44,104,43,41.35,61,58.65,31044
31,45,107,39,36.45,68,63.55,31045
31,46,110,25,22.73,85,77.27,31046
31,47,146,67,45.89,79,54.11,31047
31,48,105,45,42.86,60,57.14,31048
31,49,50,26,52.0,24,48.0,31049
31,50,137,50,36.5,87,63.5,31050
31,51,96,40,41.67,56,58.33,31051
