ward,precinct,total,Richard F. Mell,Richard F. Mell Percent,precinct_id
33,1,245,245,100.0,33001
33,2,267,267,100.0,33002
33,3,222,222,100.0,33003
33,4,249,249,100.0,33004
33,5,203,203,100.0,33005
33,6,259,259,100.0,33006
33,7,301,301,100.0,33007
33,8,193,193,100.0,33008
33,9,207,207,100.0,33009
33,10,250,250,100.0,33010
33,11,227,227,100.0,33011
33,12,257,257,100.0,33012
33,13,261,261,100.0,33013
33,14,179,179,100.0,33014
33,15,204,204,100.0,33015
33,16,227,227,100.0,33016
33,17,274,274,100.0,33017
33,18,80,80,100.0,33018
33,19,236,236,100.0,33019
33,20,244,244,100.0,33020
33,21,218,218,100.0,33021
33,22,323,323,100.0,33022
33,23,231,231,100.0,33023
33,24,268,268,100.0,33024
33,25,297,297,100.0,33025
33,26,220,220,100.0,33026
33,27,180,180,100.0,33027
