ward,precinct,total,Ira I. Silverstein,Ira I. Silverstein Percent,Bernard L. Stone,Bernard L. Stone Percent,precinct_id
50,1,311,230,73.95,81,26.05,50001
50,2,277,170,61.37,107,38.63,50002
50,3,226,171,75.66,55,24.34,50003
50,4,212,146,68.87,66,31.13,50004
50,5,248,179,72.18,69,27.82,50005
50,6,163,116,71.17,47,28.83,50006
50,7,294,230,78.23,64,21.77,50007
50,8,177,109,61.58,68,38.42,50008
50,9,191,129,67.54,62,32.46,50009
50,10,151,104,68.87,47,31.13,50010
50,11,236,180,76.27,56,23.73,50011
50,12,143,55,38.46,88,61.54,50012
50,13,205,113,55.12,92,44.88,50013
50,14,135,60,44.44,75,55.56,50014
50,15,288,233,80.9,55,19.1,50015
50,16,116,59,50.86,57,49.14,50016
50,17,153,96,62.75,57,37.25,50017
50,18,161,121,75.16,40,24.84,50018
50,19,179,102,56.98,77,43.02,50019
50,20,185,133,71.89,52,28.11,50020
50,21,231,187,80.95,44,19.05,50021
50,22,214,133,62.15,81,37.85,50022
50,23,172,87,50.58,85,49.42,50023
50,24,194,93,47.94,101,52.06,50024
50,25,197,140,71.07,57,28.93,50025
50,26,146,75,51.37,71,48.63,50026
50,27,93,52,55.91,41,44.09,50027
50,28,208,125,60.1,83,39.9,50028
50,29,210,148,70.48,62,29.52,50029
50,30,202,132,65.35,70,34.65,50030
50,31,82,68,82.93,14,17.07,50031
50,32,210,137,65.24,73,34.76,50032
50,33,165,105,63.64,60,36.36,50033
50,34,161,83,51.55,78,48.45,50034
50,35,264,207,78.41,57,21.59,50035
50,36,215,175,81.4,40,18.6,50036
50,37,218,167,76.61,51,23.39,50037
50,38,153,66,43.14,87,56.86,50038
50,39,188,103,54.79,85,45.21,50039
50,40,256,193,75.39,63,24.61,50040
50,41,297,228,76.77,69,23.23,50041
50,42,220,168,76.36,52,23.64,50042
50,43,170,109,64.12,61,35.88,50043
50,44,183,148,80.87,35,19.13,50044
50,45,116,88,75.86,28,24.14,50045
