ward,precinct,total,Elga L. Jefferies,Elga L. Jefferies Percent,Paul Chadha,Paul Chadha Percent,Phillip Jackson,Phillip Jackson Percent,William D. ''Will'' Burns,William D. ''Will'' Burns Percent,Kenny Johnson,Kenny Johnson Percent,precinct_id
2,7,307,47,15.31,12,3.91,55,17.92,43,14.01,150,48.86,02007
2,8,302,32,10.6,65,21.52,25,8.28,89,29.47,91,30.13,02008
2,14,46,6,13.04,1,2.17,15,32.61,5,10.87,19,41.3,02014
2,18,247,12,4.86,48,19.43,24,9.72,81,32.79,82,33.2,02018
2,19,280,14,5.0,76,27.14,20,7.14,86,30.71,84,30.0,02019
2,20,250,24,9.6,14,5.6,61,24.4,46,18.4,105,42.0,02020
2,21,250,25,10.0,40,16.0,33,13.2,47,18.8,105,42.0,02021
2,24,22,3,13.64,4,18.18,4,18.18,6,27.27,5,22.73,02024
2,26,230,21,9.13,22,9.57,26,11.3,56,24.35,105,45.65,02026
2,30,272,26,9.56,61,22.43,15,5.51,84,30.88,86,31.62,02030
2,31,180,18,10.0,8,4.44,64,35.56,22,12.22,68,37.78,02031
2,36,309,26,8.41,56,18.12,31,10.03,93,30.1,103,33.33,02036
2,37,222,20,9.01,78,35.14,15,6.76,58,26.13,51,22.97,02037
2,38,326,22,6.75,73,22.39,25,7.67,103,31.6,103,31.6,02038
2,40,358,47,13.13,67,18.72,42,11.73,71,19.83,131,36.59,02040
2,44,191,20,10.47,1,0.52,37,19.37,45,23.56,88,46.07,02044
2,46,387,33,8.53,7,1.81,139,35.92,89,23.0,119,30.75,02046
3,2,325,35,10.77,9,2.77,62,19.08,87,26.77,132,40.62,03002
3,4,188,16,8.51,1,0.53,32,17.02,47,25.0,92,48.94,03004
3,5,211,23,10.9,0,0.0,63,29.86,45,21.33,80,37.91,03005
3,7,270,20,7.41,2,0.74,167,61.85,25,9.26,56,20.74,03007
3,9,116,12,10.34,0,0.0,13,11.21,26,22.41,65,56.03,03009
3,11,54,4,7.41,1,1.85,4,7.41,21,38.89,24,44.44,03011
3,16,220,36,16.36,8,3.64,25,11.36,58,26.36,93,42.27,03016
3,20,169,37,21.89,5,2.96,24,14.2,29,17.16,74,43.79,03020
3,30,186,16,8.6,4,2.15,50,26.88,64,34.41,52,27.96,03030
3,31,335,37,11.04,2,0.6,71,21.19,104,31.04,121,36.12,03031
3,34,216,29,13.43,3,1.39,42,19.44,72,33.33,70,32.41,03034
3,38,252,70,27.78,7,2.78,39,15.48,52,20.63,84,33.33,03038
3,39,220,30,13.64,1,0.45,34,15.45,37,16.82,118,53.64,03039
3,45,12,2,16.67,1,8.33,2,16.67,3,25.0,4,33.33,03045
3,49,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,03049
4,2,457,33,7.22,14,3.06,123,26.91,154,33.7,133,29.1,04002
4,3,383,33,8.62,6,1.57,74,19.32,159,41.51,111,28.98,04003
4,4,316,27,8.54,3,0.95,69,21.84,109,34.49,108,34.18,04004
4,5,349,32,9.17,3,0.86,60,17.19,157,44.99,97,27.79,04005
4,7,345,64,18.55,10,2.9,57,16.52,130,37.68,84,24.35,04007
4,8,334,38,11.38,3,0.9,56,16.77,126,37.72,111,33.23,04008
4,10,334,18,5.39,16,4.79,67,20.06,133,39.82,100,29.94,04010
4,11,392,83,21.17,10,2.55,79,20.15,108,27.55,112,28.57,04011
4,12,190,23,12.11,1,0.53,52,27.37,59,31.05,55,28.95,04012
4,13,233,29,12.45,2,0.86,31,13.3,107,45.92,64,27.47,04013
4,14,230,21,9.13,3,1.3,70,30.43,77,33.48,59,25.65,04014
4,15,230,16,6.96,11,4.78,54,23.48,71,30.87,78,33.91,04015
4,16,385,25,6.49,13,3.38,59,15.32,187,48.57,101,26.23,04016
4,18,322,36,11.18,1,0.31,63,19.57,125,38.82,97,30.12,04018
4,19,347,105,30.26,2,0.58,59,17.0,78,22.48,103,29.68,04019
4,20,153,23,15.03,4,2.61,43,28.1,28,18.3,55,35.95,04020
4,23,205,14,6.83,1,0.49,34,16.59,100,48.78,56,27.32,04023
4,24,329,17,5.17,7,2.13,85,25.84,143,43.47,77,23.4,04024
4,25,224,28,12.5,9,4.02,39,17.41,83,37.05,65,29.02,04025
4,26,326,32,9.82,3,0.92,79,24.23,128,39.26,84,25.77,04026
4,27,288,31,10.76,7,2.43,59,20.49,100,34.72,91,31.6,04027
4,30,263,26,9.89,4,1.52,71,27.0,93,35.36,69,26.24,04030
4,33,232,25,10.78,8,3.45,44,18.97,71,30.6,84,36.21,04033
4,35,210,33,15.71,2,0.95,46,21.9,64,30.48,65,30.95,04035
4,36,203,12,5.91,6,2.96,36,17.73,68,33.5,81,39.9,04036
4,37,88,19,21.59,1,1.14,25,28.41,26,29.55,17,19.32,04037
4,39,204,25,12.25,5,2.45,41,20.1,72,35.29,61,29.9,04039
4,40,267,19,7.12,7,2.62,63,23.6,102,38.2,76,28.46,04040
4,42,354,52,14.69,19,5.37,63,17.8,107,30.23,113,31.92,04042
4,46,225,30,13.33,2,0.89,30,13.33,106,47.11,57,25.33,04046
4,49,200,16,8.0,5,2.5,46,23.0,74,37.0,59,29.5,04049
4,50,264,29,10.98,2,0.76,61,23.11,97,36.74,75,28.41,04050
4,51,310,23,7.42,4,1.29,104,33.55,85,27.42,94,30.32,04051
4,52,382,187,48.95,8,2.09,67,17.54,56,14.66,64,16.75,04052
5,2,227,26,11.45,2,0.88,47,20.7,89,39.21,63,27.75,05002
5,9,270,25,9.26,4,1.48,67,24.81,88,32.59,86,31.85,05009
5,10,259,27,10.42,9,3.47,65,25.1,63,24.32,95,36.68,05010
5,13,247,24,9.72,7,2.83,74,29.96,63,25.51,79,31.98,05013
5,15,197,23,11.68,3,1.52,35,17.77,77,39.09,59,29.95,05015
5,16,213,18,8.45,6,2.82,59,27.7,63,29.58,67,31.46,05016
5,18,290,28,9.66,6,2.07,41,14.14,131,45.17,84,28.97,05018
5,19,150,18,12.0,3,2.0,48,32.0,37,24.67,44,29.33,05019
5,23,191,30,15.71,5,2.62,38,19.9,72,37.7,46,24.08,05023
5,45,166,21,12.65,6,3.61,31,18.67,70,42.17,38,22.89,05045
5,51,196,29,14.8,7,3.57,46,23.47,55,28.06,59,30.1,05051
5,52,36,4,11.11,3,8.33,5,13.89,12,33.33,12,33.33,05052
6,39,37,5,13.51,2,5.41,12,32.43,15,40.54,3,8.11,06039
20,2,189,25,13.23,9,4.76,35,18.52,59,31.22,61,32.28,20002
20,5,146,15,10.27,4,2.74,40,27.4,47,32.19,40,27.4,20005
20,9,259,37,14.29,6,2.32,60,23.17,80,30.89,76,29.34,20009
20,14,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,20014
20,16,306,24,7.84,9,2.94,57,18.63,103,33.66,113,36.93,20016
20,18,152,12,7.89,2,1.32,40,26.32,40,26.32,58,38.16,20018
20,22,287,39,13.59,12,4.18,45,15.68,92,32.06,99,34.49,20022
20,24,238,26,10.92,5,2.1,48,20.17,80,33.61,79,33.19,20024
20,29,244,38,15.57,6,2.46,57,23.36,61,25.0,82,33.61,20029
20,32,192,19,9.9,2,1.04,38,19.79,54,28.13,79,41.15,20032
20,36,178,14,7.87,10,5.62,47,26.4,57,32.02,50,28.09,20036
20,47,180,22,12.22,4,2.22,41,22.78,51,28.33,62,34.44,20047
42,1,218,49,22.48,41,18.81,13,5.96,89,40.83,26,11.93,42001
42,2,145,18,12.41,52,35.86,14,9.66,42,28.97,19,13.1,42002
42,5,167,21,12.57,49,29.34,12,7.19,64,38.32,21,12.57,42005
42,6,367,25,6.81,102,27.79,39,10.63,158,43.05,43,11.72,42006
42,7,169,8,4.73,52,30.77,15,8.88,80,47.34,14,8.28,42007
42,9,102,14,13.73,21,20.59,6,5.88,52,50.98,9,8.82,42009
42,11,183,22,12.02,28,15.3,20,10.93,80,43.72,33,18.03,42011
42,13,300,27,9.0,81,27.0,24,8.0,133,44.33,35,11.67,42013
42,23,218,24,11.01,48,22.02,16,7.34,99,45.41,31,14.22,42023
42,24,156,22,14.1,38,24.36,12,7.69,61,39.1,23,14.74,42024
42,25,162,25,15.43,54,33.33,8,4.94,55,33.95,20,12.35,42025
42,29,195,37,18.97,30,15.38,9,4.62,94,48.21,25,12.82,42029
42,31,135,12,8.89,37,27.41,6,4.44,65,48.15,15,11.11,42031
42,35,151,17,11.26,28,18.54,6,3.97,76,50.33,24,15.89,42035
42,37,127,14,11.02,28,22.05,10,7.87,61,48.03,14,11.02,42037
42,38,110,12,10.91,28,25.45,12,10.91,44,40.0,14,12.73,42038
42,40,185,20,10.81,52,28.11,18,9.73,77,41.62,18,9.73,42040
42,41,222,21,9.46,82,36.94,30,13.51,64,28.83,25,11.26,42041
42,42,98,15,15.31,16,16.33,10,10.2,37,37.76,20,20.41,42042
42,43,185,28,15.14,26,14.05,18,9.73,80,43.24,33,17.84,42043
42,44,266,31,11.65,77,28.95,35,13.16,86,32.33,37,13.91,42044
42,47,121,10,8.26,23,19.01,20,16.53,48,39.67,20,16.53,42047
42,48,138,24,17.39,18,13.04,17,12.32,63,45.65,16,11.59,42048
42,50,151,20,13.25,39,25.83,10,6.62,66,43.71,16,10.6,42050
42,51,214,20,9.35,52,24.3,16,7.48,100,46.73,26,12.15,42051
42,52,102,9,8.82,36,35.29,8,7.84,30,29.41,19,18.63,42052
42,53,179,31,17.32,45,25.14,9,5.03,69,38.55,25,13.97,42053
42,54,155,14,9.03,41,26.45,15,9.68,46,29.68,39,25.16,42054
42,61,88,13,14.77,16,18.18,8,9.09,33,37.5,18,20.45,42061
42,62,115,13,11.3,31,26.96,17,14.78,44,38.26,10,8.7,42062
42,63,177,19,10.73,34,19.21,25,14.12,77,43.5,22,12.43,42063
42,64,73,5,6.85,14,19.18,20,27.4,20,27.4,14,19.18,42064
42,65,174,20,11.49,54,31.03,15,8.62,72,41.38,13,7.47,42065
42,66,183,32,17.49,39,21.31,35,19.13,49,26.78,28,15.3,42066
43,35,196,25,12.76,47,23.98,14,7.14,83,42.35,27,13.78,43035
43,40,83,17,20.48,19,22.89,6,7.23,30,36.14,11,13.25,43040
