ward,precinct,total,Iris Y. Martinez,Iris Y. Martinez Percent,Richard T. Bradley,Richard T. Bradley Percent,Carlos Juan Guevara,Carlos Juan Guevara Percent,precinct_id
35,29,299,184,61.54,100,33.44,15,5.02,35029
35,30,322,228,70.81,77,23.91,17,5.28,35030
35,31,124,83,66.94,37,29.84,4,3.23,35031
35,33,224,105,46.88,87,38.84,32,14.29,35033
35,34,242,131,54.13,92,38.02,19,7.85,35034
35,36,176,111,63.07,52,29.55,13,7.39,35036
38,10,31,9,29.03,20,64.52,2,6.45,38010
38,24,141,66,46.81,66,46.81,9,6.38,38024
38,34,134,71,52.99,56,41.79,7,5.22,38034
38,53,31,14,45.16,9,29.03,8,25.81,38053
39,12,21,15,71.43,5,23.81,1,4.76,39012
39,13,148,49,33.11,97,65.54,2,1.35,39013
39,22,234,93,39.74,131,55.98,10,4.27,39022
39,23,140,29,20.71,107,76.43,4,2.86,39023
39,24,226,92,40.71,127,56.19,7,3.1,39024
39,27,238,78,32.77,149,62.61,11,4.62,39027
39,28,241,101,41.91,126,52.28,14,5.81,39028
39,29,215,64,29.77,140,65.12,11,5.12,39029
39,30,129,59,45.74,62,48.06,8,6.2,39030
39,31,161,61,37.89,92,57.14,8,4.97,39031
39,44,281,143,50.89,115,40.93,23,8.19,39044
39,46,200,75,37.5,120,60.0,5,2.5,39046
