ward,precinct,total,Patrick J. Levar,Patrick J. Levar Percent,precinct_id
45,1,155,155,100.0,45001
45,2,200,200,100.0,45002
45,3,254,254,100.0,45003
45,4,217,217,100.0,45004
45,5,200,200,100.0,45005
45,6,175,175,100.0,45006
45,7,142,142,100.0,45007
45,8,154,154,100.0,45008
45,9,171,171,100.0,45009
45,10,197,197,100.0,45010
45,11,162,162,100.0,45011
45,12,195,195,100.0,45012
45,13,223,223,100.0,45013
45,14,214,214,100.0,45014
45,15,214,214,100.0,45015
45,16,184,184,100.0,45016
45,17,152,152,100.0,45017
45,18,172,172,100.0,45018
45,19,190,190,100.0,45019
45,20,147,147,100.0,45020
45,21,169,169,100.0,45021
45,22,155,155,100.0,45022
45,23,202,202,100.0,45023
45,24,221,221,100.0,45024
45,25,208,208,100.0,45025
45,26,219,219,100.0,45026
45,27,175,175,100.0,45027
45,28,188,188,100.0,45028
45,29,173,173,100.0,45029
45,30,174,174,100.0,45030
45,31,179,179,100.0,45031
45,32,105,105,100.0,45032
45,33,158,158,100.0,45033
45,34,136,136,100.0,45034
45,35,162,162,100.0,45035
45,36,140,140,100.0,45036
45,37,189,189,100.0,45037
45,38,205,205,100.0,45038
45,39,201,201,100.0,45039
45,40,221,221,100.0,45040
45,41,132,132,100.0,45041
45,42,191,191,100.0,45042
45,43,150,150,100.0,45043
45,44,225,225,100.0,45044
45,45,120,120,100.0,45045
45,46,196,196,100.0,45046
45,47,204,204,100.0,45047
45,48,158,158,100.0,45048
45,49,193,193,100.0,45049
45,50,140,140,100.0,45050
45,51,172,172,100.0,45051
45,52,183,183,100.0,45052
45,53,138,138,100.0,45053
