ward,precinct,total,Annazette R. Collins,Annazette R. Collins Percent,Eddie Winters,Eddie Winters Percent,precinct_id
1,6,191,126,65.97,65,34.03,01006
1,8,166,105,63.25,61,36.75,01008
1,12,195,118,60.51,77,39.49,01012
1,31,115,58,50.43,57,49.57,01031
1,32,5,5,100.0,0,0.0,01032
1,35,91,54,59.34,37,40.66,01035
1,44,32,18,56.25,14,43.75,01044
2,5,286,162,56.64,124,43.36,02005
2,15,126,74,58.73,52,41.27,02015
2,23,153,59,38.56,94,61.44,02023
2,27,205,134,65.37,71,34.63,02027
2,42,119,67,56.3,52,43.7,02042
2,45,234,121,51.71,113,48.29,02045
2,47,154,98,63.64,56,36.36,02047
2,48,186,103,55.38,83,44.62,02048
2,52,284,143,50.35,141,49.65,02052
2,56,245,134,54.69,111,45.31,02056
24,18,149,119,79.87,30,20.13,24018
24,29,213,138,64.79,75,35.21,24029
24,33,152,116,76.32,36,23.68,24033
24,55,219,170,77.63,49,22.37,24055
26,7,2,0,0.0,2,100.0,26007
26,17,62,43,69.35,19,30.65,26017
26,28,3,3,100.0,0,0.0,26028
26,32,15,10,66.67,5,33.33,26032
26,33,52,38,73.08,14,26.92,26033
26,46,146,94,64.38,52,35.62,26046
27,2,151,84,55.63,67,44.37,27002
27,3,192,151,78.65,41,21.35,27003
27,8,191,130,68.06,61,31.94,27008
27,10,143,96,67.13,47,32.87,27010
27,14,228,152,66.67,76,33.33,27014
27,15,118,76,64.41,42,35.59,27015
27,18,137,89,64.96,48,35.04,27018
27,19,185,135,72.97,50,27.03,27019
27,22,176,120,68.18,56,31.82,27022
27,23,39,26,66.67,13,33.33,27023
27,24,177,129,72.88,48,27.12,27024
27,25,111,72,64.86,39,35.14,27025
27,26,173,117,67.63,56,32.37,27026
27,27,160,110,68.75,50,31.25,27027
27,29,146,93,63.7,53,36.3,27029
27,30,113,75,66.37,38,33.63,27030
27,31,130,91,70.0,39,30.0,27031
27,33,166,125,75.3,41,24.7,27033
27,34,170,121,71.18,49,28.82,27034
27,36,167,110,65.87,57,34.13,27036
27,40,163,132,80.98,31,19.02,27040
27,41,1,0,0.0,1,100.0,27041
27,44,146,83,56.85,63,43.15,27044
27,45,145,116,80.0,29,20.0,27045
27,46,203,153,75.37,50,24.63,27046
27,47,153,102,66.67,51,33.33,27047
27,48,198,120,60.61,78,39.39,27048
27,49,240,125,52.08,115,47.92,27049
27,50,184,118,64.13,66,35.87,27050
27,52,175,119,68.0,56,32.0,27052
27,53,137,92,67.15,45,32.85,27053
27,54,65,46,70.77,19,29.23,27054
27,55,171,120,70.18,51,29.82,27055
27,56,31,17,54.84,14,45.16,27056
27,57,0,0,0.0,0,0.0,27057
28,2,228,154,67.54,74,32.46,28002
28,3,153,102,66.67,51,33.33,28003
28,5,179,123,68.72,56,31.28,28005
28,6,166,131,78.92,35,21.08,28006
28,7,178,131,73.6,47,26.4,28007
28,9,155,113,72.9,42,27.1,28009
28,10,62,43,69.35,19,30.65,28010
28,11,147,98,66.67,49,33.33,28011
28,13,103,82,79.61,21,20.39,28013
28,18,251,192,76.49,59,23.51,28018
28,20,213,163,76.53,50,23.47,28020
28,22,181,138,76.24,43,23.76,28022
28,23,174,133,76.44,41,23.56,28023
28,24,144,100,69.44,44,30.56,28024
28,25,137,93,67.88,44,32.12,28025
28,26,189,136,71.96,53,28.04,28026
28,28,136,104,76.47,32,23.53,28028
28,30,110,77,70.0,33,30.0,28030
28,31,185,123,66.49,62,33.51,28031
28,32,190,123,64.74,67,35.26,28032
28,33,197,121,61.42,76,38.58,28033
28,36,167,102,61.08,65,38.92,28036
28,37,270,204,75.56,66,24.44,28037
28,43,270,222,82.22,48,17.78,28043
28,44,195,134,68.72,61,31.28,28044
28,50,130,92,70.77,38,29.23,28050
28,59,139,103,74.1,36,25.9,28059
32,2,194,99,51.03,95,48.97,32002
32,4,222,128,57.66,94,42.34,32004
32,5,135,74,54.81,61,45.19,32005
32,6,196,123,62.76,73,37.24,32006
32,26,140,80,57.14,60,42.86,32026
32,29,122,70,57.38,52,42.62,32029
32,31,225,128,56.89,97,43.11,32031
32,33,121,62,51.24,59,48.76,32033
32,34,191,126,65.97,65,34.03,32034
32,35,210,108,51.43,102,48.57,32035
32,36,192,129,67.19,63,32.81,32036
32,37,1,0,0.0,1,100.0,32037
32,46,46,26,56.52,20,43.48,32046
32,50,11,9,81.82,2,18.18,32050
32,51,221,141,63.8,80,36.2,32051
32,52,116,68,58.62,48,41.38,32052
37,3,117,77,65.81,40,34.19,37003
37,4,303,196,64.69,107,35.31,37004
37,8,221,130,58.82,91,41.18,37008
37,12,160,109,68.13,51,31.88,37012
37,13,226,150,66.37,76,33.63,37013
37,28,238,149,62.61,89,37.39,37028
43,1,255,152,59.61,103,40.39,43001
43,3,206,122,59.22,84,40.78,43003
43,5,181,106,58.56,75,41.44,43005
43,9,166,98,59.04,68,40.96,43009
43,10,179,113,63.13,66,36.87,43010
43,11,144,84,58.33,60,41.67,43011
43,15,150,87,58.0,63,42.0,43015
43,47,166,99,59.64,67,40.36,43047
43,55,104,68,65.38,36,34.62,43055
