ward,precinct,total,Joseph M. Lyons,Joseph M. Lyons Percent,precinct_id
36,6,119,119,100.0,36006
36,13,24,24,100.0,36013
36,26,136,136,100.0,36026
36,41,44,44,100.0,36041
36,43,126,126,100.0,36043
38,1,202,202,100.0,38001
38,2,129,129,100.0,38002
38,4,81,81,100.0,38004
38,5,73,73,100.0,38005
38,6,150,150,100.0,38006
38,8,99,99,100.0,38008
38,9,154,154,100.0,38009
38,11,117,117,100.0,38011
38,12,156,156,100.0,38012
38,13,125,125,100.0,38013
38,14,129,129,100.0,38014
38,15,115,115,100.0,38015
38,17,138,138,100.0,38017
38,18,168,168,100.0,38018
38,19,174,174,100.0,38019
38,21,138,138,100.0,38021
38,22,158,158,100.0,38022
38,23,126,126,100.0,38023
38,25,169,169,100.0,38025
38,26,122,122,100.0,38026
38,27,95,95,100.0,38027
38,28,120,120,100.0,38028
38,29,141,141,100.0,38029
38,30,165,165,100.0,38030
38,31,191,191,100.0,38031
38,32,168,168,100.0,38032
38,33,126,126,100.0,38033
38,35,192,192,100.0,38035
38,36,175,175,100.0,38036
38,37,158,158,100.0,38037
38,39,150,150,100.0,38039
38,40,120,120,100.0,38040
38,41,239,239,100.0,38041
38,42,212,212,100.0,38042
38,43,165,165,100.0,38043
38,44,167,167,100.0,38044
38,45,173,173,100.0,38045
38,46,134,134,100.0,38046
38,47,151,151,100.0,38047
38,48,141,141,100.0,38048
38,49,128,128,100.0,38049
38,50,154,154,100.0,38050
38,51,115,115,100.0,38051
38,52,165,165,100.0,38052
41,53,200,200,100.0,41053
45,1,166,166,100.0,45001
45,2,212,212,100.0,45002
45,3,289,289,100.0,45003
45,6,201,201,100.0,45006
45,7,179,179,100.0,45007
45,8,147,147,100.0,45008
45,9,200,200,100.0,45009
45,11,171,171,100.0,45011
45,13,230,230,100.0,45013
45,15,212,212,100.0,45015
45,16,210,210,100.0,45016
45,17,171,171,100.0,45017
45,18,215,215,100.0,45018
45,19,205,205,100.0,45019
45,20,176,176,100.0,45020
45,21,187,187,100.0,45021
45,22,156,156,100.0,45022
45,23,210,210,100.0,45023
45,25,211,211,100.0,45025
45,26,244,244,100.0,45026
45,27,188,188,100.0,45027
45,28,175,175,100.0,45028
45,29,187,187,100.0,45029
45,30,184,184,100.0,45030
45,31,198,198,100.0,45031
45,32,119,119,100.0,45032
45,33,180,180,100.0,45033
45,34,155,155,100.0,45034
45,35,187,187,100.0,45035
45,37,207,207,100.0,45037
45,38,232,232,100.0,45038
45,39,213,213,100.0,45039
45,40,247,247,100.0,45040
45,41,132,132,100.0,45041
45,42,204,204,100.0,45042
45,43,175,175,100.0,45043
45,44,227,227,100.0,45044
45,45,134,134,100.0,45045
45,46,221,221,100.0,45046
45,47,223,223,100.0,45047
45,48,194,194,100.0,45048
45,49,212,212,100.0,45049
45,50,150,150,100.0,45050
45,51,171,171,100.0,45051
45,52,194,194,100.0,45052
45,53,153,153,100.0,45053
