ward,precinct,total,Maria Vazquez (Obama),Maria Vazquez (Obama) Percent,Mary E. Kennelly (Clinton),Mary E. Kennelly (Clinton) Percent,precinct_id
3,19,68,46,67.65,22,32.35,03019
11,1,213,117,54.93,96,45.07,11001
11,2,193,95,49.22,98,50.78,11002
11,4,215,114,53.02,101,46.98,11004
11,5,134,66,49.25,68,50.75,11005
11,6,281,144,51.25,137,48.75,11006
11,7,184,108,58.7,76,41.3,11007
11,8,197,96,48.73,101,51.27,11008
11,9,150,79,52.67,71,47.33,11009
11,11,290,147,50.69,143,49.31,11011
11,12,212,101,47.64,111,52.36,11012
11,13,182,93,51.1,89,48.9,11013
11,15,181,98,54.14,83,45.86,11015
11,16,235,120,51.06,115,48.94,11016
11,17,266,141,53.01,125,46.99,11017
11,18,110,55,50.0,55,50.0,11018
11,19,185,104,56.22,81,43.78,11019
11,20,153,82,53.59,71,46.41,11020
11,21,201,117,58.21,84,41.79,11021
11,22,173,96,55.49,77,44.51,11022
11,23,175,94,53.71,81,46.29,11023
11,24,360,239,66.39,121,33.61,11024
11,25,187,119,63.64,68,36.36,11025
11,26,309,166,53.72,143,46.28,11026
11,29,226,118,52.21,108,47.79,11029
11,30,188,84,44.68,104,55.32,11030
11,31,142,71,50.0,71,50.0,11031
11,32,167,91,54.49,76,45.51,11032
11,33,138,65,47.1,73,52.9,11033
11,34,53,22,41.51,31,58.49,11034
11,35,290,165,56.9,125,43.1,11035
11,37,244,135,55.33,109,44.67,11037
11,38,326,185,56.75,141,43.25,11038
11,39,284,130,45.77,154,54.23,11039
11,40,134,78,58.21,56,41.79,11040
11,41,119,63,52.94,56,47.06,11041
11,42,169,91,53.85,78,46.15,11042
11,43,213,79,37.09,134,62.91,11043
11,44,208,126,60.58,82,39.42,11044
11,45,96,37,38.54,59,61.46,11045
11,47,182,90,49.45,92,50.55,11047
11,48,76,38,50.0,38,50.0,11048
11,49,182,92,50.55,90,49.45,11049
11,50,109,51,46.79,58,53.21,11050
13,1,239,142,59.41,97,40.59,13001
13,2,195,123,63.08,72,36.92,13002
13,4,306,126,41.18,180,58.82,13004
13,5,284,152,53.52,132,46.48,13005
13,6,226,124,54.87,102,45.13,13006
13,7,202,108,53.47,94,46.53,13007
13,8,247,95,38.46,152,61.54,13008
13,9,268,126,47.01,142,52.99,13009
13,10,207,130,62.8,77,37.2,13010
13,11,250,153,61.2,97,38.8,13011
13,12,202,101,50.0,101,50.0,13012
13,13,250,166,66.4,84,33.6,13013
13,14,223,128,57.4,95,42.6,13014
13,15,360,185,51.39,175,48.61,13015
13,16,306,154,50.33,152,49.67,13016
13,17,217,112,51.61,105,48.39,13017
13,18,179,90,50.28,89,49.72,13018
13,19,323,204,63.16,119,36.84,13019
13,20,240,129,53.75,111,46.25,13020
13,21,278,181,65.11,97,34.89,13021
13,22,167,79,47.31,88,52.69,13022
13,23,213,126,59.15,87,40.85,13023
13,24,216,124,57.41,92,42.59,13024
13,25,197,77,39.09,120,60.91,13025
13,26,224,133,59.38,91,40.63,13026
13,27,224,125,55.8,99,44.2,13027
13,28,197,104,52.79,93,47.21,13028
13,29,213,119,55.87,94,44.13,13029
13,30,363,178,49.04,185,50.96,13030
13,31,295,216,73.22,79,26.78,13031
13,32,266,222,83.46,44,16.54,13032
13,33,226,126,55.75,100,44.25,13033
13,34,328,204,62.2,124,37.8,13034
13,35,258,165,63.95,93,36.05,13035
13,36,134,74,55.22,60,44.78,13036
13,37,210,120,57.14,90,42.86,13037
13,38,238,114,47.9,124,52.1,13038
13,39,216,101,46.76,115,53.24,13039
13,40,276,132,47.83,144,52.17,13040
13,41,198,81,40.91,117,59.09,13041
13,42,226,151,66.81,75,33.19,13042
13,43,241,137,56.85,104,43.15,13043
13,44,332,241,72.59,91,27.41,13044
13,45,280,165,58.93,115,41.07,13045
13,46,257,139,54.09,118,45.91,13046
13,47,256,128,50.0,128,50.0,13047
14,2,158,79,50.0,79,50.0,14002
14,25,186,94,50.54,92,49.46,14025
14,28,169,87,51.48,82,48.52,14028
15,1,144,104,72.22,40,27.78,15001
15,10,140,77,55.0,63,45.0,15010
15,13,135,102,75.56,33,24.44,15013
15,14,193,96,49.74,97,50.26,15014
15,15,164,109,66.46,55,33.54,15015
15,16,117,61,52.14,56,47.86,15016
15,25,187,134,71.66,53,28.34,15025
15,28,223,124,55.61,99,44.39,15028
15,32,207,166,80.19,41,19.81,15032
15,44,199,151,75.88,48,24.12,15044
15,49,97,63,64.95,34,35.05,15049
16,1,135,108,80.0,27,20.0,16001
16,4,133,87,65.41,46,34.59,16004
16,6,86,82,95.35,4,4.65,16006
16,7,182,162,89.01,20,10.99,16007
16,11,230,188,81.74,42,18.26,16011
16,13,136,76,55.88,60,44.12,16013
16,17,151,84,55.63,67,44.37,16017
16,23,159,95,59.75,64,40.25,16023
16,32,140,64,45.71,76,54.29,16032
16,35,191,107,56.02,84,43.98,16035
16,39,165,70,42.42,95,57.58,16039
