ward,precinct,total,Maria Antonia ''Toni'' Berrios,Maria Antonia ''Toni'' Berrios Percent,precinct_id
1,7,134,134,100.0,01007
1,9,154,154,100.0,01009
1,13,225,225,100.0,01013
1,20,154,154,100.0,01020
1,24,265,265,100.0,01024
1,29,150,150,100.0,01029
1,30,263,263,100.0,01030
1,31,56,56,100.0,01031
1,34,120,120,100.0,01034
1,38,125,125,100.0,01038
1,39,180,180,100.0,01039
1,41,4,4,100.0,01041
26,8,87,87,100.0,26008
26,19,203,203,100.0,26019
26,34,122,122,100.0,26034
26,51,102,102,100.0,26051
30,9,94,94,100.0,30009
30,18,89,89,100.0,30018
30,19,92,92,100.0,30019
30,25,68,68,100.0,30025
30,36,124,124,100.0,30036
31,1,68,68,100.0,31001
31,2,93,93,100.0,31002
31,4,111,111,100.0,31004
31,5,140,140,100.0,31005
31,6,121,121,100.0,31006
31,7,120,120,100.0,31007
31,9,103,103,100.0,31009
31,11,82,82,100.0,31011
31,13,98,98,100.0,31013
31,14,104,104,100.0,31014
31,16,73,73,100.0,31016
31,18,100,100,100.0,31018
31,19,110,110,100.0,31019
31,22,90,90,100.0,31022
31,28,126,126,100.0,31028
31,30,151,151,100.0,31030
31,31,157,157,100.0,31031
31,32,136,136,100.0,31032
31,33,115,115,100.0,31033
31,38,77,77,100.0,31038
31,41,120,120,100.0,31041
31,46,111,111,100.0,31046
31,47,133,133,100.0,31047
31,48,106,106,100.0,31048
31,49,58,58,100.0,31049
31,50,132,132,100.0,31050
32,14,161,161,100.0,32014
32,16,127,127,100.0,32016
35,1,220,220,100.0,35001
35,3,137,137,100.0,35003
35,5,188,188,100.0,35005
35,6,204,204,100.0,35006
35,7,228,228,100.0,35007
35,8,175,175,100.0,35008
35,9,187,187,100.0,35009
35,10,197,197,100.0,35010
35,11,206,206,100.0,35011
35,12,239,239,100.0,35012
35,13,62,62,100.0,35013
35,14,197,197,100.0,35014
35,15,191,191,100.0,35015
35,16,183,183,100.0,35016
35,17,205,205,100.0,35017
35,18,205,205,100.0,35018
35,19,199,199,100.0,35019
35,20,175,175,100.0,35020
35,21,196,196,100.0,35021
35,24,81,81,100.0,35024
35,25,176,176,100.0,35025
35,27,231,231,100.0,35027
35,28,180,180,100.0,35028
35,29,234,234,100.0,35029
35,30,251,251,100.0,35030
35,31,102,102,100.0,35031
35,33,54,54,100.0,35033
35,34,187,187,100.0,35034
35,36,142,142,100.0,35036
38,53,22,22,100.0,38053
