ward,precinct,total,Anthony A. Beale,Anthony A. Beale Percent,precinct_id
9,1,268,268,100.0,09001
9,2,258,258,100.0,09002
9,3,101,101,100.0,09003
9,4,227,227,100.0,09004
9,5,270,270,100.0,09005
9,6,263,263,100.0,09006
9,7,213,213,100.0,09007
9,8,247,247,100.0,09008
9,9,270,270,100.0,09009
9,10,229,229,100.0,09010
9,11,179,179,100.0,09011
9,12,212,212,100.0,09012
9,13,259,259,100.0,09013
9,14,320,320,100.0,09014
9,15,239,239,100.0,09015
9,16,184,184,100.0,09016
9,17,243,243,100.0,09017
9,18,265,265,100.0,09018
9,19,301,301,100.0,09019
9,20,267,267,100.0,09020
9,21,241,241,100.0,09021
9,22,281,281,100.0,09022
9,23,182,182,100.0,09023
9,24,130,130,100.0,09024
9,25,169,169,100.0,09025
9,26,146,146,100.0,09026
9,27,210,210,100.0,09027
9,28,100,100,100.0,09028
9,29,178,178,100.0,09029
9,30,230,230,100.0,09030
9,31,210,210,100.0,09031
9,32,254,254,100.0,09032
9,33,152,152,100.0,09033
9,34,184,184,100.0,09034
9,35,317,317,100.0,09035
9,36,273,273,100.0,09036
9,37,170,170,100.0,09037
9,38,260,260,100.0,09038
9,39,297,297,100.0,09039
9,40,274,274,100.0,09040
9,41,297,297,100.0,09041
9,42,74,74,100.0,09042
9,43,138,138,100.0,09043
9,44,200,200,100.0,09044
9,45,215,215,100.0,09045
9,46,208,208,100.0,09046
9,47,267,267,100.0,09047
9,48,262,262,100.0,09048
9,49,168,168,100.0,09049
9,50,243,243,100.0,09050
9,51,140,140,100.0,09051
9,52,277,277,100.0,09052
9,53,125,125,100.0,09053
