ward,precinct,total,Carrie M. Austin,Carrie M. Austin Percent,precinct_id
34,1,401,401,100.0,34001
34,2,274,274,100.0,34002
34,3,289,289,100.0,34003
34,4,327,327,100.0,34004
34,5,267,267,100.0,34005
34,6,167,167,100.0,34006
34,7,338,338,100.0,34007
34,8,283,283,100.0,34008
34,9,198,198,100.0,34009
34,10,294,294,100.0,34010
34,11,202,202,100.0,34011
34,12,327,327,100.0,34012
34,13,313,313,100.0,34013
34,14,225,225,100.0,34014
34,15,223,223,100.0,34015
34,16,196,196,100.0,34016
34,17,218,218,100.0,34017
34,18,174,174,100.0,34018
34,19,50,50,100.0,34019
34,20,400,400,100.0,34020
34,21,271,271,100.0,34021
34,22,305,305,100.0,34022
34,23,244,244,100.0,34023
34,24,281,281,100.0,34024
34,25,309,309,100.0,34025
34,26,157,157,100.0,34026
34,27,212,212,100.0,34027
34,28,147,147,100.0,34028
34,29,288,288,100.0,34029
34,30,299,299,100.0,34030
34,31,150,150,100.0,34031
34,32,184,184,100.0,34032
34,33,133,133,100.0,34033
34,34,323,323,100.0,34034
34,35,332,332,100.0,34035
34,36,281,281,100.0,34036
34,37,271,271,100.0,34037
34,38,211,211,100.0,34038
34,39,233,233,100.0,34039
34,40,307,307,100.0,34040
34,41,168,168,100.0,34041
34,42,325,325,100.0,34042
34,43,384,384,100.0,34043
34,44,338,338,100.0,34044
34,45,267,267,100.0,34045
34,46,262,262,100.0,34046
34,47,158,158,100.0,34047
34,48,352,352,100.0,34048
34,49,418,418,100.0,34049
34,50,260,260,100.0,34050
34,51,425,425,100.0,34051
34,52,207,207,100.0,34052
34,53,192,192,100.0,34053
34,54,213,213,100.0,34054
34,55,259,259,100.0,34055
34,56,137,137,100.0,34056
34,57,266,266,100.0,34057
34,58,284,284,100.0,34058
34,59,302,302,100.0,34059
34,60,276,276,100.0,34060
34,61,241,241,100.0,34061
