ward,precinct,total,John C. D'Amico,John C. D'Amico Percent,precinct_id
33,18,4,4,100.0,33018
38,5,206,206,100.0,38005
38,7,194,194,100.0,38007
38,10,155,155,100.0,38010
38,20,199,199,100.0,38020
39,1,172,172,100.0,39001
39,2,195,195,100.0,39002
39,3,181,181,100.0,39003
39,4,125,125,100.0,39004
39,5,144,144,100.0,39005
39,6,157,157,100.0,39006
39,7,135,135,100.0,39007
39,8,202,202,100.0,39008
39,9,237,237,100.0,39009
39,10,160,160,100.0,39010
39,11,223,223,100.0,39011
39,12,130,130,100.0,39012
39,14,155,155,100.0,39014
39,15,154,154,100.0,39015
39,16,116,116,100.0,39016
39,17,140,140,100.0,39017
39,18,168,168,100.0,39018
39,19,129,129,100.0,39019
39,20,139,139,100.0,39020
39,21,138,138,100.0,39021
39,25,154,154,100.0,39025
39,26,167,167,100.0,39026
39,32,100,100,100.0,39032
39,33,212,212,100.0,39033
39,34,199,199,100.0,39034
39,35,194,194,100.0,39035
39,36,169,169,100.0,39036
39,37,256,256,100.0,39037
39,38,193,193,100.0,39038
39,39,87,87,100.0,39039
39,40,114,114,100.0,39040
39,41,67,67,100.0,39041
39,42,161,161,100.0,39042
39,43,182,182,100.0,39043
39,45,94,94,100.0,39045
39,47,97,97,100.0,39047
40,1,55,55,100.0,40001
40,2,1,1,100.0,40002
40,10,66,66,100.0,40010
40,17,75,75,100.0,40017
40,20,20,20,100.0,40020
40,24,26,26,100.0,40024
40,29,180,180,100.0,40029
40,30,186,186,100.0,40030
40,31,131,131,100.0,40031
40,32,72,72,100.0,40032
40,34,120,120,100.0,40034
40,38,92,92,100.0,40038
40,48,110,110,100.0,40048
40,49,105,105,100.0,40049
41,6,213,213,100.0,41006
41,10,186,186,100.0,41010
41,14,217,217,100.0,41014
41,19,260,260,100.0,41019
41,23,189,189,100.0,41023
41,39,141,141,100.0,41039
41,44,181,181,100.0,41044
41,47,192,192,100.0,41047
41,54,174,174,100.0,41054
41,57,162,162,100.0,41057
45,4,243,243,100.0,45004
45,5,208,208,100.0,45005
45,10,225,225,100.0,45010
45,12,216,216,100.0,45012
45,14,222,222,100.0,45014
45,24,240,240,100.0,45024
45,36,162,162,100.0,45036
50,25,10,10,100.0,50025
50,44,109,109,100.0,50044
50,45,64,64,100.0,50045
