ward,precinct,total,Billy Ocasio (Obama),Billy Ocasio (Obama) Percent,Andrew P. Fox (Clinton),Andrew P. Fox (Clinton) Percent,precinct_id
1,1,102,61,59.8,41,40.2,01001
1,2,208,155,74.52,53,25.48,01002
1,3,196,154,78.57,42,21.43,01003
1,4,230,183,79.57,47,20.43,01004
1,5,214,171,79.91,43,20.09,01005
1,7,179,117,65.36,62,34.64,01007
1,8,220,177,80.45,43,19.55,01008
1,9,184,125,67.93,59,32.07,01009
1,10,229,189,82.53,40,17.47,01010
1,11,165,120,72.73,45,27.27,01011
1,12,244,190,77.87,54,22.13,01012
1,13,252,183,72.62,69,27.38,01013
1,14,217,162,74.65,55,25.35,01014
1,15,183,145,79.23,38,20.77,01015
1,16,89,74,83.15,15,16.85,01016
1,17,173,141,81.5,32,18.5,01017
1,18,173,135,78.03,38,21.97,01018
1,19,157,84,53.5,73,46.5,01019
1,20,194,120,61.86,74,38.14,01020
1,21,175,137,78.29,38,21.71,01021
1,22,194,139,71.65,55,28.35,01022
1,23,181,126,69.61,55,30.39,01023
1,24,320,226,70.63,94,29.38,01024
1,25,191,145,75.92,46,24.08,01025
1,26,178,139,78.09,39,21.91,01026
1,27,117,83,70.94,34,29.06,01027
1,28,62,52,83.87,10,16.13,01028
1,29,190,142,74.74,48,25.26,01029
1,30,309,203,65.7,106,34.3,01030
1,31,213,168,78.87,45,21.13,01031
1,32,217,171,78.8,46,21.2,01032
1,33,222,146,65.77,76,34.23,01033
1,34,134,111,82.84,23,17.16,01034
1,35,140,112,80.0,28,20.0,01035
1,36,205,165,80.49,40,19.51,01036
1,37,168,127,75.6,41,24.4,01037
1,38,140,106,75.71,34,24.29,01038
1,39,206,142,68.93,64,31.07,01039
1,40,107,72,67.29,35,32.71,01040
1,41,201,127,63.18,74,36.82,01041
1,42,95,67,70.53,28,29.47,01042
1,43,151,111,73.51,40,26.49,01043
1,44,31,15,48.39,16,51.61,01044
1,45,229,158,69.0,71,31.0,01045
1,46,216,166,76.85,50,23.15,01046
1,47,222,179,80.63,43,19.37,01047
1,48,116,80,68.97,36,31.03,01048
1,49,106,88,83.02,18,16.98,01049
1,50,160,128,80.0,32,20.0,01050
3,13,152,79,51.97,73,48.03,03013
11,3,149,75,50.34,74,49.66,11003
11,10,141,67,47.52,74,52.48,11010
11,18,17,11,64.71,6,35.29,11018
11,26,0,0,0.0,0,0.0,11026
11,30,0,0,0.0,0,0.0,11030
12,1,70,34,48.57,36,51.43,12001
12,2,140,63,45.0,77,55.0,12002
12,3,129,64,49.61,65,50.39,12003
12,4,110,32,29.09,78,70.91,12004
12,5,132,54,40.91,78,59.09,12005
12,6,94,44,46.81,50,53.19,12006
12,7,178,92,51.69,86,48.31,12007
12,8,183,84,45.9,99,54.1,12008
12,9,118,59,50.0,59,50.0,12009
12,10,153,58,37.91,95,62.09,12010
12,11,211,87,41.23,124,58.77,12011
12,12,126,47,37.3,79,62.7,12012
12,13,184,87,47.28,97,52.72,12013
12,14,138,66,47.83,72,52.17,12014
12,15,126,64,50.79,62,49.21,12015
12,16,136,68,50.0,68,50.0,12016
12,17,158,92,58.23,66,41.77,12017
12,18,84,36,42.86,48,57.14,12018
12,19,185,93,50.27,92,49.73,12019
12,20,143,55,38.46,88,61.54,12020
12,21,155,73,47.1,82,52.9,12021
12,22,119,55,46.22,64,53.78,12022
12,23,155,82,52.9,73,47.1,12023
12,24,181,74,40.88,107,59.12,12024
