ward,precinct,total,Danny K. Davis,Danny K. Davis Percent,Robert Dallas,Robert Dallas Percent,precinct_id
1,1,107,77,71.96,30,28.04,01001
1,6,185,144,77.84,41,22.16,01006
1,11,3,2,66.67,1,33.33,01011
1,44,111,90,81.08,21,18.92,01044
2,1,307,251,81.76,56,18.24,02001
2,2,59,54,91.53,5,8.47,02002
2,3,277,236,85.2,41,14.8,02003
2,4,206,201,97.57,5,2.43,02004
2,5,310,296,95.48,14,4.52,02005
2,6,270,215,79.63,55,20.37,02006
2,7,314,298,94.9,16,5.1,02007
2,8,317,271,85.49,46,14.51,02008
2,9,239,225,94.14,14,5.86,02009
2,10,221,209,94.57,12,5.43,02010
2,11,374,323,86.36,51,13.64,02011
2,12,266,220,82.71,46,17.29,02012
2,13,267,234,87.64,33,12.36,02013
2,14,47,45,95.74,2,4.26,02014
2,15,140,134,95.71,6,4.29,02015
2,16,248,210,84.68,38,15.32,02016
2,17,216,206,95.37,10,4.63,02017
2,18,243,207,85.19,36,14.81,02018
2,19,277,226,81.59,51,18.41,02019
2,20,40,34,85.0,6,15.0,02020
2,21,277,265,95.67,12,4.33,02021
2,22,375,332,88.53,43,11.47,02022
2,23,188,172,91.49,16,8.51,02023
2,24,165,138,83.64,27,16.36,02024
2,25,334,311,93.11,23,6.89,02025
2,26,221,192,86.88,29,13.12,02026
2,27,217,211,97.24,6,2.76,02027
2,28,131,101,77.1,30,22.9,02028
2,29,159,151,94.97,8,5.03,02029
2,30,253,207,81.82,46,18.18,02030
2,32,132,119,90.15,13,9.85,02032
2,33,165,162,98.18,3,1.82,02033
2,34,272,259,95.22,13,4.78,02034
2,35,67,51,76.12,16,23.88,02035
2,36,320,281,87.81,39,12.19,02036
2,37,222,192,86.49,30,13.51,02037
2,38,313,260,83.07,53,16.93,02038
2,39,247,220,89.07,27,10.93,02039
2,40,385,337,87.53,48,12.47,02040
2,41,141,136,96.45,5,3.55,02041
2,42,139,132,94.96,7,5.04,02042
2,43,328,299,91.16,29,8.84,02043
2,45,247,236,95.55,11,4.45,02045
2,47,164,159,96.95,5,3.05,02047
2,48,192,188,97.92,4,2.08,02048
2,49,168,138,82.14,30,17.86,02049
2,50,160,134,83.75,26,16.25,02050
2,51,220,209,95.0,11,5.0,02051
2,52,293,274,93.52,19,6.48,02052
2,53,220,186,84.55,34,15.45,02053
2,54,281,240,85.41,41,14.59,02054
2,55,70,65,92.86,5,7.14,02055
2,56,261,245,93.87,16,6.13,02056
3,1,257,242,94.16,15,5.84,03001
3,2,345,332,96.23,13,3.77,03002
3,3,248,226,91.13,22,8.87,03003
3,4,207,196,94.69,11,5.31,03004
3,6,166,160,96.39,6,3.61,03006
3,8,242,227,93.8,15,6.2,03008
3,9,234,215,91.88,19,8.12,03009
