ward,precinct,total,Katie L. Remer (Clinton),Katie L. Remer (Clinton) Percent,Naisy Dolar (Obama),Naisy Dolar (Obama) Percent,precinct_id
40,3,230,50,21.74,180,78.26,40003
40,4,219,71,32.42,148,67.58,40004
40,7,229,70,30.57,159,69.43,40007
40,8,46,19,41.3,27,58.7,40008
40,9,155,80,51.61,75,48.39,40009
40,11,209,60,28.71,149,71.29,40011
40,12,169,37,21.89,132,78.11,40012
40,13,248,52,20.97,196,79.03,40013
40,16,176,75,42.61,101,57.39,40016
40,18,189,76,40.21,113,59.79,40018
40,22,125,40,32.0,85,68.0,40022
40,26,231,63,27.27,168,72.73,40026
40,27,154,51,33.12,103,66.88,40027
40,28,231,52,22.51,179,77.49,40028
40,33,229,95,41.48,134,58.52,40033
40,35,191,90,47.12,101,52.88,40035
40,37,161,61,37.89,100,62.11,40037
40,39,153,75,49.02,78,50.98,40039
40,41,223,84,37.67,139,62.33,40041
40,42,243,87,35.8,156,64.2,40042
40,43,239,80,33.47,159,66.53,40043
40,46,261,115,44.06,146,55.94,40046
40,47,216,59,27.31,157,72.69,40047
41,1,235,132,56.17,103,43.83,41001
41,2,259,172,66.41,87,33.59,41002
41,4,238,121,50.84,117,49.16,41004
41,5,267,128,47.94,139,52.06,41005
41,7,279,153,54.84,126,45.16,41007
41,8,230,128,55.65,102,44.35,41008
41,11,229,127,55.46,102,44.54,41011
41,13,124,83,66.94,41,33.06,41013
41,15,227,127,55.95,100,44.05,41015
41,17,243,117,48.15,126,51.85,41017
41,18,189,100,52.91,89,47.09,41018
41,20,262,151,57.63,111,42.37,41020
41,25,97,54,55.67,43,44.33,41025
41,26,103,73,70.87,30,29.13,41026
41,27,68,35,51.47,33,48.53,41027
41,28,202,87,43.07,115,56.93,41028
41,29,124,69,55.65,55,44.35,41029
41,31,251,156,62.15,95,37.85,41031
41,32,151,103,68.21,48,31.79,41032
41,33,172,106,61.63,66,38.37,41033
41,34,156,89,57.05,67,42.95,41034
41,36,237,116,48.95,121,51.05,41036
41,37,234,138,58.97,96,41.03,41037
41,40,249,138,55.42,111,44.58,41040
41,41,216,120,55.56,96,44.44,41041
41,42,260,140,53.85,120,46.15,41042
41,43,230,120,52.17,110,47.83,41043
41,45,202,106,52.48,96,47.52,41045
41,48,156,82,52.56,74,47.44,41048
41,49,265,152,57.36,113,42.64,41049
41,52,296,145,48.99,151,51.01,41052
41,55,194,112,57.73,82,42.27,41055
41,56,284,153,53.87,131,46.13,41056
44,3,257,114,44.36,143,55.64,44003
44,4,244,119,48.77,125,51.23,44004
44,7,250,105,42.0,145,58.0,44007
44,18,12,2,16.67,10,83.33,44018
44,35,188,84,44.68,104,55.32,44035
44,48,148,65,43.92,83,56.08,44048
44,49,373,134,35.92,239,64.08,44049
46,1,393,184,46.82,209,53.18,46001
46,2,285,61,21.4,224,78.6,46002
46,4,243,92,37.86,151,62.14,46004
46,6,289,80,27.68,209,72.32,46006
46,7,170,54,31.76,116,68.24,46007
46,8,235,90,38.3,145,61.7,46008
46,9,276,84,30.43,192,69.57,46009
46,10,208,51,24.52,157,75.48,46010
46,11,276,92,33.33,184,66.67,46011
46,12,271,60,22.14,211,77.86,46012
46,14,219,60,27.4,159,72.6,46014
46,15,282,106,37.59,176,62.41,46015
46,16,199,61,30.65,138,69.35,46016
46,19,284,84,29.58,200,70.42,46019
46,20,191,39,20.42,152,79.58,46020
46,21,90,26,28.89,64,71.11,46021
46,22,189,43,22.75,146,77.25,46022
46,23,187,52,27.81,135,72.19,46023
46,25,260,105,40.38,155,59.62,46025
46,26,256,61,23.83,195,76.17,46026
46,27,296,94,31.76,202,68.24,46027
46,28,304,101,33.22,203,66.78,46028
46,30,288,128,44.44,160,55.56,46030
46,32,163,49,30.06,114,69.94,46032
46,33,303,119,39.27,184,60.73,46033
46,34,252,79,31.35,173,68.65,46034
