ward,precinct,total,James D. Brosnahan,James D. Brosnahan Percent,precinct_id
18,19,267,267,100.0,18019
18,24,220,220,100.0,18024
18,25,190,190,100.0,18025
18,26,154,154,100.0,18026
18,30,155,155,100.0,18030
18,32,252,252,100.0,18032
18,34,279,279,100.0,18034
18,45,209,209,100.0,18045
18,46,183,183,100.0,18046
18,51,259,259,100.0,18051
18,52,202,202,100.0,18052
18,53,155,155,100.0,18053
19,9,185,185,100.0,19009
19,56,331,331,100.0,19056
21,15,143,143,100.0,21015
21,29,97,97,100.0,21029
21,35,96,96,100.0,21035
21,36,155,155,100.0,21036
21,57,161,161,100.0,21057
21,70,182,182,100.0,21070
21,71,145,145,100.0,21071
21,73,232,232,100.0,21073
