ward,precinct,total,Anita Rivkin-Carothers,Anita Rivkin-Carothers Percent,Melanie Rose Nuby,Melanie Rose Nuby Percent,Kevin Kenneth Pechous,Kevin Kenneth Pechous Percent,T. Lee Boyd Jr.,T. Lee Boyd Jr. Percent,precinct_id
24,52,156,72,46.15,50,32.05,5,3.21,22,14.1,24052
24,54,207,113,54.59,34,16.43,13,6.28,34,16.43,24054
24,55,181,88,48.62,38,20.99,10,5.52,29,16.02,24055
24,56,207,110,53.14,47,22.71,4,1.93,30,14.49,24056
25,3,96,39,40.63,38,39.58,2,2.08,13,13.54,25003
25,4,188,82,43.62,51,27.13,16,8.51,21,11.17,25004
25,10,111,54,48.65,27,24.32,7,6.31,12,10.81,25010
25,21,140,74,52.86,34,24.29,5,3.57,14,10.0,25021
25,25,93,43,46.24,24,25.81,10,10.75,8,8.6,25025
25,26,116,50,43.1,34,29.31,12,10.34,7,6.03,25026
25,28,203,94,46.31,36,17.73,27,13.3,8,3.94,25028
25,29,150,60,40.0,41,27.33,19,12.67,20,13.33,25029
26,2,148,56,37.84,35,23.65,16,10.81,27,18.24,26002
26,17,59,22,37.29,19,32.2,5,8.47,1,1.69,26017
26,28,68,26,38.24,15,22.06,7,10.29,12,17.65,26028
26,33,42,22,52.38,11,26.19,3,7.14,1,2.38,26033
26,46,47,18,38.3,13,27.66,5,10.64,1,2.13,26046
27,1,154,70,45.45,39,25.32,12,7.79,11,7.14,27001
27,2,143,71,49.65,27,18.88,8,5.59,20,13.99,27002
27,3,162,68,41.98,35,21.6,4,2.47,36,22.22,27003
27,7,133,48,36.09,39,29.32,9,6.77,9,6.77,27007
27,8,164,83,50.61,23,14.02,5,3.05,43,26.22,27008
27,14,195,105,53.85,45,23.08,9,4.62,21,10.77,27014
27,15,108,46,42.59,25,23.15,5,4.63,25,23.15,27015
27,17,128,56,43.75,31,24.22,8,6.25,6,4.69,27017
27,19,158,93,58.86,33,20.89,4,2.53,17,10.76,27019
27,22,158,82,51.9,29,18.35,6,3.8,30,18.99,27022
27,23,38,14,36.84,7,18.42,1,2.63,12,31.58,27023
27,24,150,70,46.67,35,23.33,11,7.33,19,12.67,27024
27,25,97,56,57.73,13,13.4,8,8.25,13,13.4,27025
27,26,151,89,58.94,25,16.56,4,2.65,23,15.23,27026
27,27,137,71,51.82,29,21.17,7,5.11,18,13.14,27027
27,29,143,56,39.16,27,18.88,8,5.59,40,27.97,27029
27,31,121,58,47.93,29,23.97,5,4.13,17,14.05,27031
27,33,156,72,46.15,30,19.23,7,4.49,30,19.23,27033
27,34,131,71,54.2,13,9.92,5,3.82,36,27.48,27034
27,36,147,80,54.42,23,15.65,8,5.44,26,17.69,27036
27,40,121,61,50.41,22,18.18,12,9.92,19,15.7,27040
27,44,129,68,52.71,23,17.83,7,5.43,22,17.05,27044
27,45,127,67,52.76,20,15.75,4,3.15,33,25.98,27045
27,46,170,90,52.94,41,24.12,9,5.29,18,10.59,27046
27,47,132,64,48.48,24,18.18,14,10.61,24,18.18,27047
27,48,164,89,54.27,22,13.41,10,6.1,32,19.51,27048
27,49,209,104,49.76,33,15.79,10,4.78,40,19.14,27049
27,52,152,77,50.66,32,21.05,8,5.26,26,17.11,27052
27,55,157,87,55.41,22,14.01,8,5.1,30,19.11,27055
27,57,98,35,35.71,29,29.59,8,8.16,12,12.24,27057
27,58,54,19,35.19,13,24.07,3,5.56,11,20.37,27058
28,1,188,97,51.6,42,22.34,8,4.26,27,14.36,28001
28,2,200,92,46.0,54,27.0,13,6.5,27,13.5,28002
28,3,123,48,39.02,35,28.46,8,6.5,18,14.63,28003
28,4,225,137,60.89,33,14.67,4,1.78,33,14.67,28004
28,5,148,70,47.3,38,25.68,5,3.38,24,16.22,28005
28,6,137,73,53.28,43,31.39,3,2.19,10,7.3,28006
28,7,160,93,58.13,27,16.88,6,3.75,18,11.25,28007
28,8,98,58,59.18,15,15.31,7,7.14,13,13.27,28008
28,9,139,73,52.52,29,20.86,6,4.32,24,17.27,28009
28,10,57,30,52.63,17,29.82,2,3.51,4,7.02,28010
28,11,136,63,46.32,35,25.74,3,2.21,25,18.38,28011
28,12,135,66,48.89,34,25.19,13,9.63,18,13.33,28012
28,13,87,51,58.62,19,21.84,5,5.75,5,5.75,28013
28,14,103,55,53.4,16,15.53,8,7.77,13,12.62,28014
28,15,173,98,56.65,30,17.34,4,2.31,29,16.76,28015
28,16,150,93,62.0,21,14.0,4,2.67,21,14.0,28016
28,17,154,104,67.53,20,12.99,5,3.25,17,11.04,28017
28,18,232,112,48.28,73,31.47,9,3.88,19,8.19,28018
28,19,163,78,47.85,32,19.63,14,8.59,26,15.95,28019
28,20,181,108,59.67,30,16.57,8,4.42,20,11.05,28020
28,21,219,123,56.16,33,15.07,4,1.83,42,19.18,28021
28,22,167,101,60.48,37,22.16,5,2.99,17,10.18,28022
28,23,151,91,60.26,21,13.91,4,2.65,24,15.89,28023
28,24,128,56,43.75,23,17.97,6,4.69,26,20.31,28024
28,25,87,41,47.13,15,17.24,4,4.6,18,20.69,28025
28,26,164,101,61.59,23,14.02,10,6.1,18,10.98,28026
28,27,221,116,52.49,28,12.67,10,4.52,43,19.46,28027
