ward,precinct,total,Jeffrey M. Schoenberg,Jeffrey M. Schoenberg Percent,precinct_id
49,1,189,189,100.0,49001
49,5,205,205,100.0,49005
49,6,222,222,100.0,49006
49,14,173,173,100.0,49014
49,16,124,124,100.0,49016
49,20,189,189,100.0,49020
49,30,177,177,100.0,49030
49,34,182,182,100.0,49034
49,35,237,237,100.0,49035
