ward,precinct,total,Margaret Laurino (Obama),Margaret Laurino (Obama) Percent,Sylvia Martinez (Obama),Sylvia Martinez (Obama) Percent,Renae Ogletree (Obama),Renae Ogletree (Obama) Percent,Mike Quigley (Obama),Mike Quigley (Obama) Percent,Henry Tamarin (Obama),Henry Tamarin (Obama) Percent,Stella Black (Clinton),Stella Black (Clinton) Percent,Darryl L. DePriest (Clinton),Darryl L. DePriest (Clinton) Percent,Aimee A. Pine (Clinton),Aimee A. Pine (Clinton) Percent,Matthew W. Beaudet (Clinton),Matthew W. Beaudet (Clinton) Percent,Linda Murphy (Clinton),Linda Murphy (Clinton) Percent,Aaron G. Harkin (Clinton),Aaron G. Harkin (Clinton) Percent,Michael Fourcher (Richardson),Michael Fourcher (Richardson) Percent,William L. ''Bill'' Phillips (Richards,William L. ''Bill'' Phillips (Richards Percent,Angel Del Rivero (Richardson),Angel Del Rivero (Richardson) Percent,Betsy Schonitzer (Richardson),Betsy Schonitzer (Richardson) Percent,precinct_id
1,7,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,01007
1,28,320,48,15.0,47,14.69,44,13.75,44,13.75,42,13.13,10,3.13,9,2.81,10,3.13,7,2.19,11,3.44,7,2.19,1,0.31,0,0.0,0,0.0,0,0.0,01028
1,42,404,46,11.39,53,13.12,44,10.89,47,11.63,42,10.4,23,5.69,21,5.2,19,4.7,21,5.2,20,4.95,21,5.2,1,0.25,2,0.5,2,0.5,1,0.25,01042
29,2,899,61,6.79,75,8.34,49,5.45,60,6.67,49,5.45,86,9.57,85,9.45,95,10.57,82,9.12,95,10.57,82,9.12,4,0.44,6,0.67,10,1.11,3,0.33,29002
29,9,820,64,7.8,68,8.29,55,6.71,60,7.32,51,6.22,73,8.9,74,9.02,70,8.54,72,8.78,84,10.24,64,7.8,6,0.73,8,0.98,12,1.46,3,0.37,29009
29,24,426,44,10.33,52,12.21,38,8.92,39,9.15,34,7.98,29,6.81,26,6.1,29,6.81,26,6.1,30,7.04,21,4.93,3,0.7,4,0.94,10,2.35,2,0.47,29024
29,30,715,59,8.25,65,9.09,49,6.85,55,7.69,49,6.85,65,9.09,60,8.39,62,8.67,55,7.69,68,9.51,52,7.27,3,0.42,7,0.98,9,1.26,5,0.7,29030
29,32,845,66,7.81,82,9.7,61,7.22,63,7.46,61,7.22,77,9.11,70,8.28,69,8.17,61,7.22,81,9.59,59,6.98,8,0.95,8,0.95,11,1.3,5,0.59,29032
30,1,938,105,11.19,93,9.91,91,9.7,99,10.55,84,8.96,67,7.14,55,5.86,61,6.5,53,5.65,71,7.57,52,5.54,4,0.43,7,0.75,5,0.53,6,0.64,30001
30,2,699,67,9.59,78,11.16,61,8.73,66,9.44,62,8.87,48,6.87,45,6.44,45,6.44,43,6.15,51,7.3,43,6.15,3,0.43,6,0.86,11,1.57,3,0.43,30002
