ward,precinct,total,Tim Egan,Tim Egan Percent,Charles E. Eastwood,Charles E. Eastwood Percent,Michele Smith,Michele Smith Percent,precinct_id
43,1,262,84,32.06,61,23.28,117,44.66,43001
43,2,214,75,35.05,55,25.7,84,39.25,43002
43,3,236,73,30.93,64,27.12,99,41.95,43003
43,4,253,93,36.76,78,30.83,82,32.41,43004
43,5,203,77,37.93,46,22.66,80,39.41,43005
43,6,149,30,20.13,80,53.69,39,26.17,43006
43,7,210,66,31.43,62,29.52,82,39.05,43007
43,8,255,70,27.45,80,31.37,105,41.18,43008
43,9,187,65,34.76,49,26.2,73,39.04,43009
43,10,186,57,30.65,44,23.66,85,45.7,43010
43,11,154,54,35.06,42,27.27,58,37.66,43011
43,12,230,75,32.61,54,23.48,101,43.91,43012
43,13,90,26,28.89,18,20.0,46,51.11,43013
43,14,159,47,29.56,39,24.53,73,45.91,43014
43,15,173,36,20.81,58,33.53,79,45.66,43015
43,16,207,70,33.82,62,29.95,75,36.23,43016
43,17,224,48,21.43,69,30.8,107,47.77,43017
43,18,214,68,31.78,65,30.37,81,37.85,43018
43,19,140,74,52.86,28,20.0,38,27.14,43019
43,20,246,64,26.02,70,28.46,112,45.53,43020
43,21,229,55,24.02,58,25.33,116,50.66,43021
43,22,151,38,25.17,45,29.8,68,45.03,43022
43,23,200,51,25.5,95,47.5,54,27.0,43023
43,24,208,72,34.62,66,31.73,70,33.65,43024
43,25,234,75,32.05,52,22.22,107,45.73,43025
43,26,139,56,40.29,24,17.27,59,42.45,43026
43,27,175,53,30.29,45,25.71,77,44.0,43027
43,28,223,101,45.29,38,17.04,84,37.67,43028
43,29,174,42,24.14,62,35.63,70,40.23,43029
43,30,139,57,41.01,23,16.55,59,42.45,43030
43,31,252,57,22.62,89,35.32,106,42.06,43031
43,32,180,39,21.67,38,21.11,103,57.22,43032
43,33,114,32,28.07,42,36.84,40,35.09,43033
43,34,112,61,54.46,21,18.75,30,26.79,43034
43,35,196,93,47.45,34,17.35,69,35.2,43035
43,36,157,66,42.04,24,15.29,67,42.68,43036
43,37,153,66,43.14,27,17.65,60,39.22,43037
43,38,164,51,31.1,37,22.56,76,46.34,43038
43,39,130,54,41.54,20,15.38,56,43.08,43039
43,40,93,58,62.37,12,12.9,23,24.73,43040
43,41,121,32,26.45,50,41.32,39,32.23,43041
43,42,151,65,43.05,34,22.52,52,34.44,43042
43,43,143,57,39.86,28,19.58,58,40.56,43043
43,44,179,67,37.43,33,18.44,79,44.13,43044
43,45,56,18,32.14,23,41.07,15,26.79,43045
43,46,194,77,39.69,45,23.2,72,37.11,43046
43,47,189,72,38.1,40,21.16,77,40.74,43047
43,48,193,80,41.45,36,18.65,77,39.9,43048
43,49,183,61,33.33,69,37.7,53,28.96,43049
43,50,156,37,23.72,74,47.44,45,28.85,43050
43,51,212,75,35.38,46,21.7,91,42.92,43051
43,52,143,57,39.86,38,26.57,48,33.57,43052
43,53,205,78,38.05,49,23.9,78,38.05,43053
43,54,144,67,46.53,24,16.67,53,36.81,43054
43,55,191,60,31.41,32,16.75,99,51.83,43055
43,56,111,49,44.14,22,19.82,40,36.04,43056
43,57,159,36,22.64,73,45.91,50,31.45,43057
43,58,180,47,26.11,61,33.89,72,40.0,43058
43,59,194,50,25.77,48,24.74,96,49.48,43059
