ward,precinct,total,William J.P. Banks,William J.P. Banks Percent,precinct_id
36,1,172,172,100.0,36001
36,2,134,134,100.0,36002
36,3,310,310,100.0,36003
36,4,139,139,100.0,36004
36,5,121,121,100.0,36005
36,6,166,166,100.0,36006
36,7,134,134,100.0,36007
36,8,158,158,100.0,36008
36,9,154,154,100.0,36009
36,10,105,105,100.0,36010
36,11,198,198,100.0,36011
36,12,133,133,100.0,36012
36,13,289,289,100.0,36013
36,14,214,214,100.0,36014
36,15,200,200,100.0,36015
36,16,294,294,100.0,36016
36,17,135,135,100.0,36017
36,18,203,203,100.0,36018
36,19,204,204,100.0,36019
36,20,201,201,100.0,36020
36,21,254,254,100.0,36021
36,22,211,211,100.0,36022
36,23,116,116,100.0,36023
36,24,225,225,100.0,36024
36,25,115,115,100.0,36025
36,26,135,135,100.0,36026
36,27,104,104,100.0,36027
36,28,145,145,100.0,36028
36,29,151,151,100.0,36029
36,30,166,166,100.0,36030
36,31,179,179,100.0,36031
36,32,145,145,100.0,36032
36,33,158,158,100.0,36033
36,34,116,116,100.0,36034
36,35,196,196,100.0,36035
36,36,163,163,100.0,36036
36,37,120,120,100.0,36037
36,38,104,104,100.0,36038
36,39,164,164,100.0,36039
36,40,179,179,100.0,36040
36,41,137,137,100.0,36041
36,42,134,134,100.0,36042
36,43,131,131,100.0,36043
36,44,205,205,100.0,36044
36,45,170,170,100.0,36045
36,46,131,131,100.0,36046
36,47,108,108,100.0,36047
36,48,114,114,100.0,36048
36,49,174,174,100.0,36049
36,50,154,154,100.0,36050
36,51,190,190,100.0,36051
36,52,167,167,100.0,36052
36,53,126,126,100.0,36053
36,54,266,266,100.0,36054
36,55,284,284,100.0,36055
