ward,precinct,total,Michael R. Zalewski,Michael R. Zalewski Percent,precinct_id
23,1,210,210,100.0,23001
23,2,251,251,100.0,23002
23,3,178,178,100.0,23003
23,4,224,224,100.0,23004
23,5,172,172,100.0,23005
23,6,179,179,100.0,23006
23,7,56,56,100.0,23007
23,8,225,225,100.0,23008
23,9,203,203,100.0,23009
23,10,210,210,100.0,23010
23,11,225,225,100.0,23011
23,12,213,213,100.0,23012
23,13,264,264,100.0,23013
23,14,74,74,100.0,23014
23,15,187,187,100.0,23015
23,16,239,239,100.0,23016
23,17,238,238,100.0,23017
23,18,160,160,100.0,23018
23,19,170,170,100.0,23019
23,20,198,198,100.0,23020
23,21,159,159,100.0,23021
23,22,212,212,100.0,23022
23,23,187,187,100.0,23023
23,24,157,157,100.0,23024
23,25,150,150,100.0,23025
23,26,211,211,100.0,23026
23,27,166,166,100.0,23027
23,28,210,210,100.0,23028
23,29,178,178,100.0,23029
23,30,184,184,100.0,23030
23,31,216,216,100.0,23031
23,32,232,232,100.0,23032
23,33,211,211,100.0,23033
23,34,163,163,100.0,23034
23,35,150,150,100.0,23035
23,36,283,283,100.0,23036
23,37,153,153,100.0,23037
23,38,201,201,100.0,23038
23,39,186,186,100.0,23039
23,40,189,189,100.0,23040
23,41,183,183,100.0,23041
23,42,148,148,100.0,23042
23,43,217,217,100.0,23043
23,44,235,235,100.0,23044
23,45,234,234,100.0,23045
23,46,217,217,100.0,23046
23,47,221,221,100.0,23047
23,48,171,171,100.0,23048
23,49,214,214,100.0,23049
23,50,113,113,100.0,23050
23,51,189,189,100.0,23051
23,52,225,225,100.0,23052
23,53,126,126,100.0,23053
23,54,248,248,100.0,23054
23,55,207,207,100.0,23055
23,56,162,162,100.0,23056
