ward,precinct,total,Jan Rowland (Clinton),Jan Rowland (Clinton) Percent,Greta Ivers (Obama),Greta Ivers (Obama) Percent,precinct_id
2,14,308,20,6.49,288,93.51,02014
2,20,251,38,15.14,213,84.86,02020
2,31,278,25,8.99,253,91.01,02031
2,44,194,22,11.34,172,88.66,02044
2,46,355,34,9.58,321,90.42,02046
3,5,205,16,7.8,189,92.2,03005
3,7,245,33,13.47,212,86.53,03007
3,20,8,1,12.5,7,87.5,03020
3,23,130,8,6.15,122,93.85,03023
3,30,194,13,6.7,181,93.3,03030
3,34,213,15,7.04,198,92.96,03034
3,36,11,3,27.27,8,72.73,03036
3,38,287,34,11.85,253,88.15,03038
3,41,170,32,18.82,138,81.18,03041
3,44,85,8,9.41,77,90.59,03044
3,49,0,0,0.0,0,0.0,03049
4,1,453,57,12.58,396,87.42,04001
4,2,454,42,9.25,412,90.75,04002
4,3,375,49,13.07,326,86.93,04003
4,8,328,24,7.32,304,92.68,04008
4,9,525,49,9.33,476,90.67,04009
4,12,177,10,5.65,167,94.35,04012
4,13,233,27,11.59,206,88.41,04013
4,16,366,38,10.38,328,89.62,04016
4,17,311,48,15.43,263,84.57,04017
4,18,301,17,5.65,284,94.35,04018
4,19,335,24,7.16,311,92.84,04019
4,20,156,8,5.13,148,94.87,04020
4,21,393,39,9.92,354,90.08,04021
4,22,396,44,11.11,352,88.89,04022
4,23,217,28,12.9,189,87.1,04023
4,24,332,35,10.54,297,89.46,04024
4,26,332,29,8.73,303,91.27,04026
4,28,212,14,6.6,198,93.4,04028
4,29,269,41,15.24,228,84.76,04029
4,31,193,32,16.58,161,83.42,04031
4,32,326,52,15.95,274,84.05,04032
4,33,226,15,6.64,211,93.36,04033
4,34,223,44,19.73,179,80.27,04034
4,37,82,9,10.98,73,89.02,04037
4,38,443,43,9.71,400,90.29,04038
4,39,197,19,9.64,178,90.36,04039
4,40,255,16,6.27,239,93.73,04040
4,41,173,29,16.76,144,83.24,04041
4,42,151,14,9.27,137,90.73,04042
4,43,196,25,12.76,171,87.24,04043
4,44,202,27,13.37,175,86.63,04044
4,45,446,45,10.09,401,89.91,04045
4,46,228,14,6.14,214,93.86,04046
4,47,440,51,11.59,389,88.41,04047
4,48,352,44,12.5,308,87.5,04048
4,49,189,19,10.05,170,89.95,04049
4,50,263,20,7.6,243,92.4,04050
4,51,311,27,8.68,284,91.32,04051
4,52,354,32,9.04,322,90.96,04052
5,2,231,23,9.96,208,90.04,05002
5,3,135,23,17.04,112,82.96,05003
5,5,263,21,7.98,242,92.02,05005
5,8,370,55,14.86,315,85.14,05008
5,9,275,23,8.36,252,91.64,05009
5,10,275,12,4.36,263,95.64,05010
5,12,174,9,5.17,165,94.83,05012
5,13,250,8,3.2,242,96.8,05013
5,15,228,20,8.77,208,91.23,05015
5,16,218,13,5.96,205,94.04,05016
5,17,311,23,7.4,288,92.6,05017
5,18,291,20,6.87,271,93.13,05018
5,19,149,11,7.38,138,92.62,05019
5,20,135,12,8.89,123,91.11,05020
5,22,246,24,9.76,222,90.24,05022
5,23,183,13,7.1,170,92.9,05023
5,25,296,18,6.08,278,93.92,05025
5,27,365,63,17.26,302,82.74,05027
5,30,243,45,18.52,198,81.48,05030
5,33,173,26,15.03,147,84.97,05033
5,35,231,32,13.85,199,86.15,05035
5,39,328,62,18.9,266,81.1,05039
5,41,236,51,21.61,185,78.39,05041
5,45,166,11,6.63,155,93.37,05045
5,48,168,32,19.05,136,80.95,05048
5,50,228,22,9.65,206,90.35,05050
5,51,198,18,9.09,180,90.91,05051
5,52,49,11,22.45,38,77.55,05052
5,53,286,42,14.69,244,85.31,05053
5,55,274,17,6.2,257,93.8,05055
6,1,335,18,5.37,317,94.63,06001
6,2,347,22,6.34,325,93.66,06002
6,3,306,20,6.54,286,93.46,06003
