ward,precinct,total,WILLIE B. COCHRAN,WILLIE B. COCHRAN Percent,KEVIN BAILEY,KEVIN BAILEY Percent,precinct_id
20,1,212,115,54.25,97,45.75,20001
20,2,110,56,50.91,54,49.09,20002
20,3,211,120,56.87,91,43.13,20003
20,4,109,52,47.71,57,52.29,20004
20,5,249,142,57.03,107,42.97,20005
20,6,117,55,47.01,62,52.99,20006
20,7,203,107,52.71,96,47.29,20007
20,8,275,187,68.0,88,32.0,20008
20,9,308,179,58.12,129,41.88,20009
20,10,195,123,63.08,72,36.92,20010
20,11,298,132,44.3,166,55.7,20011
20,12,131,64,48.85,67,51.15,20012
20,13,271,153,56.46,118,43.54,20013
20,14,158,80,50.63,78,49.37,20014
20,15,206,85,41.26,121,58.74,20015
20,16,286,166,58.04,120,41.96,20016
20,17,150,78,52.0,72,48.0,20017
20,18,206,120,58.25,86,41.75,20018
20,19,251,149,59.36,102,40.64,20019
20,20,165,76,46.06,89,53.94,20020
20,21,181,110,60.77,71,39.23,20021
20,22,330,181,54.85,149,45.15,20022
20,23,286,178,62.24,108,37.76,20023
20,24,242,143,59.09,99,40.91,20024
20,25,229,121,52.84,108,47.16,20025
20,26,267,149,55.81,118,44.19,20026
20,27,158,94,59.49,64,40.51,20027
20,28,186,102,54.84,84,45.16,20028
20,29,321,192,59.81,129,40.19,20029
20,30,147,89,60.54,58,39.46,20030
20,31,238,117,49.16,121,50.84,20031
20,32,253,141,55.73,112,44.27,20032
20,33,144,92,63.89,52,36.11,20033
20,34,273,149,54.58,124,45.42,20034
20,35,138,81,58.7,57,41.3,20035
20,36,84,48,57.14,36,42.86,20036
20,37,90,52,57.78,38,42.22,20037
20,38,107,49,45.79,58,54.21,20038
20,39,42,11,26.19,31,73.81,20039
