ward,precinct,total,OMAR AQUINO,OMAR AQUINO Percent,GILBERT VILLEGAS,GILBERT VILLEGAS Percent,precinct_id
36,1,271,126,46.49,145,53.51,36001
36,2,278,108,38.85,170,61.15,36002
36,3,288,137,47.57,151,52.43,36003
36,4,281,126,44.84,155,55.16,36004
36,5,285,113,39.65,172,60.35,36005
36,6,234,151,64.53,83,35.47,36006
36,7,380,140,36.84,240,63.16,36007
36,8,242,140,57.85,102,42.15,36008
36,9,242,113,46.69,129,53.31,36009
36,10,295,113,38.31,182,61.69,36010
36,11,211,110,52.13,101,47.87,36011
36,12,163,93,57.06,70,42.94,36012
36,13,185,104,56.22,81,43.78,36013
36,14,294,128,43.54,166,56.46,36014
36,15,330,173,52.42,157,47.58,36015
36,16,314,118,37.58,196,62.42,36016
36,17,336,139,41.37,197,58.63,36017
36,18,300,117,39.0,183,61.0,36018
36,19,312,124,39.74,188,60.26,36019
36,20,280,146,52.14,134,47.86,36020
36,21,228,66,28.95,162,71.05,36021
36,22,218,97,44.5,121,55.5,36022
36,23,243,123,50.62,120,49.38,36023
36,24,338,125,36.98,213,63.02,36024
36,25,230,145,63.04,85,36.96,36025
36,26,266,127,47.74,139,52.26,36026
36,27,271,108,39.85,163,60.15,36027
36,28,264,84,31.82,180,68.18,36028
36,29,358,121,33.8,237,66.2,36029
36,30,313,141,45.05,172,54.95,36030
