ward,precinct,total,LONA LANE,LONA LANE Percent,DERRICK G. CURTIS,DERRICK G. CURTIS Percent,precinct_id
18,1,228,68,29.82,160,70.18,18001
18,2,269,68,25.28,201,74.72,18002
18,3,318,85,26.73,233,73.27,18003
18,4,313,124,39.62,189,60.38,18004
18,5,200,46,23.0,154,77.0,18005
18,6,271,78,28.78,193,71.22,18006
18,7,291,86,29.55,205,70.45,18007
18,8,307,94,30.62,213,69.38,18008
18,9,308,108,35.06,200,64.94,18009
18,10,391,127,32.48,264,67.52,18010
18,11,255,82,32.16,173,67.84,18011
18,12,270,78,28.89,192,71.11,18012
18,13,314,90,28.66,224,71.34,18013
18,14,300,123,41.0,177,59.0,18014
18,15,314,107,34.08,207,65.92,18015
18,16,294,105,35.71,189,64.29,18016
18,17,309,92,29.77,217,70.23,18017
18,18,273,115,42.12,158,57.88,18018
18,19,303,133,43.89,170,56.11,18019
18,20,247,100,40.49,147,59.51,18020
18,21,380,82,21.58,298,78.42,18021
18,22,353,127,35.98,226,64.02,18022
18,23,269,56,20.82,213,79.18,18023
18,24,282,106,37.59,176,62.41,18024
18,25,302,79,26.16,223,73.84,18025
18,26,361,169,46.81,192,53.19,18026
18,27,220,45,20.45,175,79.55,18027
18,28,293,93,31.74,200,68.26,18028
18,29,307,113,36.81,194,63.19,18029
18,30,323,87,26.93,236,73.07,18030
18,31,297,56,18.86,241,81.14,18031
18,32,312,109,34.94,203,65.06,18032
18,33,237,47,19.83,190,80.17,18033
18,34,405,167,41.23,238,58.77,18034
18,35,367,146,39.78,221,60.22,18035
18,36,292,79,27.05,213,72.95,18036
18,37,359,147,40.95,212,59.05,18037
18,38,291,138,47.42,153,52.58,18038
18,39,208,66,31.73,142,68.27,18039
18,40,339,101,29.79,238,70.21,18040
18,41,354,145,40.96,209,59.04,18041
18,42,246,69,28.05,177,71.95,18042
18,43,239,69,28.87,170,71.13,18043
18,44,285,92,32.28,193,67.72,18044
18,45,283,94,33.22,189,66.78,18045
18,46,333,80,24.02,253,75.98,18046
18,47,194,51,26.29,143,73.71,18047
18,48,214,59,27.57,155,72.43,18048
18,49,192,51,26.56,141,73.44,18049
18,50,219,56,25.57,163,74.43,18050
