ward,precinct,total,CAROLINE VICKREY,CAROLINE VICKREY Percent,MICHELE SMITH,MICHELE SMITH Percent,precinct_id
43,1,211,85,40.28,126,59.72,43001
43,2,328,180,54.88,148,45.12,43002
43,3,406,213,52.46,193,47.54,43003
43,4,327,145,44.34,182,55.66,43004
43,5,263,135,51.33,128,48.67,43005
43,6,244,139,56.97,105,43.03,43006
43,7,253,117,46.25,136,53.75,43007
43,8,293,145,49.49,148,50.51,43008
43,9,433,186,42.96,247,57.04,43009
43,10,385,212,55.06,173,44.94,43010
43,11,278,171,61.51,107,38.49,43011
43,12,218,91,41.74,127,58.26,43012
43,13,314,176,56.05,138,43.95,43013
43,14,401,190,47.38,211,52.62,43014
43,15,321,146,45.48,175,54.52,43015
43,16,312,164,52.56,148,47.44,43016
43,17,284,140,49.3,144,50.7,43017
43,18,371,205,55.26,166,44.74,43018
43,19,374,228,60.96,146,39.04,43019
43,20,388,267,68.81,121,31.19,43020
43,21,374,273,72.99,101,27.01,43021
43,22,203,116,57.14,87,42.86,43022
43,23,184,96,52.17,88,47.83,43023
43,24,240,101,42.08,139,57.92,43024
43,25,300,129,43.0,171,57.0,43025
43,26,276,132,47.83,144,52.17,43026
43,27,329,180,54.71,149,45.29,43027
43,28,397,174,43.83,223,56.17,43028
43,29,315,202,64.13,113,35.87,43029
43,30,339,174,51.33,165,48.67,43030
43,31,383,134,34.99,249,65.01,43031
43,32,343,144,41.98,199,58.02,43032
43,33,419,153,36.52,266,63.48,43033
43,34,265,140,52.83,125,47.17,43034
43,35,429,161,37.53,268,62.47,43035
43,36,115,58,50.43,57,49.57,43036
43,37,273,129,47.25,144,52.75,43037
43,38,386,134,34.72,252,65.28,43038
43,39,267,139,52.06,128,47.94,43039
43,40,192,84,43.75,108,56.25,43040
43,41,448,257,57.37,191,42.63,43041
43,42,301,153,50.83,148,49.17,43042
43,43,438,185,42.24,253,57.76,43043
43,44,338,206,60.95,132,39.05,43044
43,45,250,76,30.4,174,69.6,43045
43,46,177,88,49.72,89,50.28,43046
