ward,precinct,total,RAYMOND A. LOPEZ,RAYMOND A. LOPEZ Percent,RAFAEL YANEZ,RAFAEL YANEZ Percent,precinct_id
15,1,334,136,40.72,198,59.28,15001
15,2,166,132,79.52,34,20.48,15002
15,3,177,146,82.49,31,17.51,15003
15,4,337,179,53.12,158,46.88,15004
15,5,268,81,30.22,187,69.78,15005
15,6,304,174,57.24,130,42.76,15006
15,7,220,183,83.18,37,16.82,15007
15,8,332,238,71.69,94,28.31,15008
15,9,382,240,62.83,142,37.17,15009
15,10,361,165,45.71,196,54.29,15010
15,11,333,169,50.75,164,49.25,15011
15,12,386,197,51.04,189,48.96,15012
15,13,250,69,27.6,181,72.4,15013
15,14,224,58,25.89,166,74.11,15014
15,15,223,73,32.74,150,67.26,15015
15,16,304,198,65.13,106,34.87,15016
15,17,223,143,64.13,80,35.87,15017
15,18,191,165,86.39,26,13.61,15018
15,19,255,120,47.06,135,52.94,15019
15,20,173,134,77.46,39,22.54,15020
15,21,182,149,81.87,33,18.13,15021
15,22,195,156,80.0,39,20.0,15022
15,23,204,155,75.98,49,24.02,15023
15,24,178,136,76.4,42,23.6,15024
