ward,precinct,total,JOHN S. ARENA,JOHN S. ARENA Percent,precinct_id
45,1,260,190,73.08,45001
45,2,276,188,68.12,45002
45,3,282,189,67.02,45003
45,4,406,262,64.53,45004
45,5,372,233,62.63,45005
45,6,446,264,59.19,45006
45,7,484,292,60.33,45007
45,8,327,213,65.14,45008
45,9,331,239,72.21,45009
45,10,391,279,71.36,45010
45,11,255,202,79.22,45011
45,12,322,209,64.91,45012
45,13,352,240,68.18,45013
45,14,425,254,59.76,45014
45,15,471,260,55.2,45015
45,16,320,179,55.94,45016
45,17,380,243,63.95,45017
45,18,356,190,53.37,45018
45,19,170,102,60.0,45019
45,20,221,117,52.94,45020
45,21,332,160,48.19,45021
45,22,325,158,48.62,45022
45,23,361,196,54.29,45023
45,24,323,143,44.27,45024
45,25,284,136,47.89,45025
45,26,190,97,51.05,45026
45,27,318,152,47.8,45027
45,28,272,136,50.0,45028
45,29,225,104,46.22,45029
45,30,304,189,62.17,45030
45,31,289,152,52.6,45031
45,32,320,180,56.25,45032
45,33,236,136,57.63,45033
45,34,367,175,47.68,45034
45,35,420,230,54.76,45035
45,36,403,211,52.36,45036
45,37,327,194,59.33,45037
45,38,288,130,45.14,45038
45,39,321,131,40.81,45039
45,40,362,125,34.53,45040
45,41,341,102,29.91,45041
45,42,399,103,25.81,45042
45,43,429,165,38.46,45043
45,44,380,121,31.84,45044
45,45,243,131,53.91,45045
45,46,263,121,46.01,45046
45,47,289,118,40.83,45047
45,48,293,147,50.17,45048
