ward,precinct,total,RAHM EMANUEL,RAHM EMANUEL Percent,JESUS ''CHUY'' GARCIA,JESUS ''CHUY'' GARCIA Percent,precinct_id
1,1,259,93,35.91,166,64.09,01001
1,2,254,75,29.53,179,70.47,01002
1,3,269,149,55.39,120,44.61,01003
1,4,277,145,52.35,132,47.65,01004
1,5,217,144,66.36,73,33.64,01005
1,6,290,144,49.66,146,50.34,01006
1,7,186,79,42.47,107,57.53,01007
1,8,269,158,58.74,111,41.26,01008
1,9,264,106,40.15,158,59.85,01009
1,10,226,138,61.06,88,38.94,01010
1,11,253,149,58.89,104,41.11,01011
1,12,300,139,46.33,161,53.67,01012
1,13,121,40,33.06,81,66.94,01013
1,14,270,147,54.44,123,45.56,01014
1,15,256,85,33.2,171,66.8,01015
1,16,228,64,28.07,164,71.93,01016
1,17,251,83,33.07,168,66.93,01017
1,18,289,104,35.99,185,64.01,01018
1,19,388,126,32.47,262,67.53,01019
1,20,238,72,30.25,166,69.75,01020
1,21,232,154,66.38,78,33.62,01021
1,22,167,68,40.72,99,59.28,01022
1,23,395,155,39.24,240,60.76,01023
1,24,200,55,27.5,145,72.5,01024
1,25,201,77,38.31,124,61.69,01025
1,26,198,39,19.7,159,80.3,01026
1,27,247,118,47.77,129,52.23,01027
1,28,133,51,38.35,82,61.65,01028
1,29,257,139,54.09,118,45.91,01029
1,30,310,83,26.77,227,73.23,01030
1,31,279,123,44.09,156,55.91,01031
1,32,264,138,52.27,126,47.73,01032
1,33,282,140,49.65,142,50.35,01033
1,34,235,86,36.6,149,63.4,01034
1,35,299,145,48.49,154,51.51,01035
1,36,232,150,64.66,82,35.34,01036
1,37,241,132,54.77,109,45.23,01037
1,38,271,109,40.22,162,59.78,01038
1,39,236,107,45.34,129,54.66,01039
1,40,281,165,58.72,116,41.28,01040
1,41,192,72,37.5,120,62.5,01041
1,42,91,29,31.87,62,68.13,01042
1,43,183,86,46.99,97,53.01,01043
1,44,196,87,44.39,109,55.61,01044
2,1,251,137,54.58,114,45.42,02001
2,2,344,299,86.92,45,13.08,02002
2,3,276,176,63.77,100,36.23,02003
2,4,268,141,52.61,127,47.39,02004
2,5,313,168,53.67,145,46.33,02005
2,6,269,132,49.07,137,50.93,02006
2,7,282,170,60.28,112,39.72,02007
2,8,287,148,51.57,139,48.43,02008
2,9,271,229,84.5,42,15.5,02009
2,10,369,334,90.51,35,9.49,02010
2,11,377,344,91.25,33,8.75,02011
2,12,336,258,76.79,78,23.21,02012
2,13,398,336,84.42,62,15.58,02013
2,14,343,172,50.15,171,49.85,02014
2,15,276,174,63.04,102,36.96,02015
2,16,219,148,67.58,71,32.42,02016
2,17,351,218,62.11,133,37.89,02017
2,18,289,246,85.12,43,14.88,02018
2,19,305,274,89.84,31,10.16,02019
2,20,271,234,86.35,37,13.65,02020
2,21,315,186,59.05,129,40.95,02021
2,22,379,319,84.17,60,15.83,02022
2,23,337,310,91.99,27,8.01,02023
2,24,296,252,85.14,44,14.86,02024
2,25,268,186,69.4,82,30.6,02025
2,26,246,190,77.24,56,22.76,02026
2,27,299,256,85.62,43,14.38,02027
2,28,344,273,79.36,71,20.64,02028
2,29,292,248,84.93,44,15.07,02029
2,30,293,238,81.23,55,18.77,02030
2,31,484,425,87.81,59,12.19,02031
2,32,235,193,82.13,42,17.87,02032
2,33,532,446,83.83,86,16.17,02033
2,34,343,309,90.09,34,9.91,02034
2,35,281,237,84.34,44,15.66,02035
2,36,278,228,82.01,50,17.99,02036
2,37,363,282,77.69,81,22.31,02037
2,38,376,322,85.64,54,14.36,02038
2,39,251,207,82.47,44,17.53,02039
2,40,252,211,83.73,41,16.27,02040
2,41,210,181,86.19,29,13.81,02041
2,42,279,210,75.27,69,24.73,02042
2,43,355,301,84.79,54,15.21,02043
2,44,232,190,81.9,42,18.1,02044
2,45,342,238,69.59,104,30.41,02045
2,46,187,155,82.89,32,17.11,02046
3,1,345,198,57.39,147,42.61,03001
3,2,448,307,68.53,141,31.47,03002
3,3,343,241,70.26,102,29.74,03003
3,4,351,177,50.43,174,49.57,03004
3,5,223,147,65.92,76,34.08,03005
3,6,346,261,75.43,85,24.57,03006
3,7,279,155,55.56,124,44.44,03007
3,8,229,134,58.52,95,41.48,03008
3,9,304,175,57.57,129,42.43,03009
3,10,158,94,59.49,64,40.51,03010
3,11,304,171,56.25,133,43.75,03011
3,12,365,211,57.81,154,42.19,03012
3,13,369,277,75.07,92,24.93,03013
3,14,260,183,70.38,77,29.62,03014
3,15,283,156,55.12,127,44.88,03015
3,16,291,179,61.51,112,38.49,03016
3,17,309,204,66.02,105,33.98,03017
3,18,432,264,61.11,168,38.89,03018
3,19,337,253,75.07,84,24.93,03019
3,20,318,182,57.23,136,42.77,03020
3,21,402,293,72.89,109,27.11,03021
3,22,296,204,68.92,92,31.08,03022
3,23,291,177,60.82,114,39.18,03023
3,24,291,188,64.6,103,35.4,03024
3,25,458,372,81.22,86,18.78,03025
3,26,450,358,79.56,92,20.44,03026
3,27,313,222,70.93,91,29.07,03027
3,28,267,194,72.66,73,27.34,03028
3,29,312,200,64.1,112,35.9,03029
3,30,324,193,59.57,131,40.43,03030
3,31,361,237,65.65,124,34.35,03031
3,32,344,265,77.03,79,22.97,03032
3,33,256,190,74.22,66,25.78,03033
3,34,360,256,71.11,104,28.89,03034
3,35,163,85,52.15,78,47.85,03035
3,36,174,100,57.47,74,42.53,03036
3,37,254,148,58.27,106,41.73,03037
3,38,350,249,71.14,101,28.86,03038
3,39,302,250,82.78,52,17.22,03039
3,40,367,225,61.31,142,38.69,03040
3,41,290,182,62.76,108,37.24,03041
4,1,399,138,34.59,261,65.41,04001
4,2,376,295,78.46,81,21.54,04002
4,3,305,172,56.39,133,43.61,04003
4,4,412,227,55.1,185,44.9,04004
4,5,342,178,52.05,164,47.95,04005
4,6,488,307,62.91,181,37.09,04006
4,7,410,234,57.07,176,42.93,04007
4,8,416,221,53.13,195,46.88,04008
4,9,485,251,51.75,234,48.25,04009
4,10,398,225,56.53,173,43.47,04010
4,11,340,221,65.0,119,35.0,04011
4,12,351,193,54.99,158,45.01,04012
4,13,192,130,67.71,62,32.29,04013
4,14,353,199,56.37,154,43.63,04014
4,15,400,240,60.0,160,40.0,04015
4,16,347,254,73.2,93,26.8,04016
4,17,341,235,68.91,106,31.09,04017
4,18,362,221,61.05,141,38.95,04018
4,19,312,180,57.69,132,42.31,04019
4,20,346,242,69.94,104,30.06,04020
4,21,304,195,64.14,109,35.86,04021
4,22,403,237,58.81,166,41.19,04022
4,23,461,238,51.63,223,48.37,04023
4,24,337,205,60.83,132,39.17,04024
4,25,340,253,74.41,87,25.59,04025
4,26,377,227,60.21,150,39.79,04026
4,27,355,137,38.59,218,61.41,04027
4,28,356,214,60.11,142,39.89,04028
4,29,269,141,52.42,128,47.58,04029
4,30,386,230,59.59,156,40.41,04030
4,31,457,287,62.8,170,37.2,04031
4,32,331,185,55.89,146,44.11,04032
4,33,393,207,52.67,186,47.33,04033
4,34,280,154,55.0,126,45.0,04034
4,35,457,273,59.74,184,40.26,04035
4,36,395,223,56.46,172,43.54,04036
4,37,324,233,71.91,91,28.09,04037
4,38,397,242,60.96,155,39.04,04038
5,1,271,166,61.25,105,38.75,05001
5,2,259,133,51.35,126,48.65,05002
5,3,343,130,37.9,213,62.1,05003
5,4,316,163,51.58,153,48.42,05004
5,5,328,173,52.74,155,47.26,05005
5,6,268,139,51.87,129,48.13,05006
5,7,309,194,62.78,115,37.22,05007
5,8,369,202,54.74,167,45.26,05008
5,9,398,233,58.54,165,41.46,05009
5,10,261,143,54.79,118,45.21,05010
5,11,379,181,47.76,198,52.24,05011
5,12,227,134,59.03,93,40.97,05012
5,13,270,153,56.67,117,43.33,05013
5,14,316,186,58.86,130,41.14,05014
5,15,323,171,52.94,152,47.06,05015
5,16,314,191,60.83,123,39.17,05016
5,17,256,163,63.67,93,36.33,05017
5,18,299,154,51.51,145,48.49,05018
5,19,374,157,41.98,217,58.02,05019
5,20,387,209,54.01,178,45.99,05020
5,21,307,138,44.95,169,55.05,05021
5,22,439,311,70.84,128,29.16,05022
5,23,493,275,55.78,218,44.22,05023
5,24,322,143,44.41,179,55.59,05024
5,25,339,184,54.28,155,45.72,05025
5,26,311,178,57.23,133,42.77,05026
5,27,292,153,52.4,139,47.6,05027
5,28,386,226,58.55,160,41.45,05028
5,29,376,179,47.61,197,52.39,05029
5,30,230,117,50.87,113,49.13,05030
5,31,229,121,52.84,108,47.16,05031
5,32,410,234,57.07,176,42.93,05032
5,33,355,214,60.28,141,39.72,05033
5,34,404,245,60.64,159,39.36,05034
5,35,365,196,53.7,169,46.3,05035
5,36,246,145,58.94,101,41.06,05036
5,37,387,233,60.21,154,39.79,05037
5,38,281,162,57.65,119,42.35,05038
5,39,307,173,56.35,134,43.65,05039
5,40,303,171,56.44,132,43.56,05040
5,41,227,149,65.64,78,34.36,05041
6,1,350,202,57.71,148,42.29,06001
6,2,321,192,59.81,129,40.19,06002
6,3,333,235,70.57,98,29.43,06003
6,4,220,133,60.45,87,39.55,06004
6,5,217,120,55.3,97,44.7,06005
6,6,285,164,57.54,121,42.46,06006
6,7,264,160,60.61,104,39.39,06007
6,8,321,176,54.83,145,45.17,06008
6,9,254,141,55.51,113,44.49,06009
6,10,186,108,58.06,78,41.94,06010
6,11,243,135,55.56,108,44.44,06011
6,12,176,101,57.39,75,42.61,06012
6,13,227,121,53.3,106,46.7,06013
6,14,282,156,55.32,126,44.68,06014
6,15,247,138,55.87,109,44.13,06015
6,16,337,185,54.9,152,45.1,06016
6,17,213,141,66.2,72,33.8,06017
6,18,200,118,59.0,82,41.0,06018
6,19,280,183,65.36,97,34.64,06019
6,20,159,88,55.35,71,44.65,06020
6,21,173,107,61.85,66,38.15,06021
6,22,203,111,54.68,92,45.32,06022
6,23,174,97,55.75,77,44.25,06023
6,24,165,104,63.03,61,36.97,06024
6,25,174,95,54.6,79,45.4,06025
6,26,170,90,52.94,80,47.06,06026
6,27,160,74,46.25,86,53.75,06027
6,28,147,79,53.74,68,46.26,06028
6,29,351,198,56.41,153,43.59,06029
6,30,239,121,50.63,118,49.37,06030
6,31,321,191,59.5,130,40.5,06031
6,32,272,155,56.99,117,43.01,06032
6,33,302,167,55.3,135,44.7,06033
6,34,303,170,56.11,133,43.89,06034
6,35,296,166,56.08,130,43.92,06035
6,36,341,203,59.53,138,40.47,06036
6,37,373,187,50.13,186,49.87,06037
6,38,340,172,50.59,168,49.41,06038
6,39,249,128,51.41,121,48.59,06039
6,40,258,139,53.88,119,46.12,06040
6,41,295,182,61.69,113,38.31,06041
6,42,268,153,57.09,115,42.91,06042
6,43,270,137,50.74,133,49.26,06043
6,44,323,198,61.3,125,38.7,06044
6,45,301,157,52.16,144,47.84,06045
6,46,219,119,54.34,100,45.66,06046
6,47,229,132,57.64,97,42.36,06047
6,48,284,171,60.21,113,39.79,06048
7,1,229,119,51.97,110,48.03,07001
7,2,240,128,53.33,112,46.67,07002
7,3,289,156,53.98,133,46.02,07003
7,4,289,148,51.21,141,48.79,07004
7,5,225,111,49.33,114,50.67,07005
7,6,388,221,56.96,167,43.04,07006
7,7,225,125,55.56,100,44.44,07007
7,8,286,200,69.93,86,30.07,07008
7,9,506,262,51.78,244,48.22,07009
7,10,298,176,59.06,122,40.94,07010
7,11,264,147,55.68,117,44.32,07011
