ward,precinct,total,BRIAN HOPKINS,BRIAN HOPKINS Percent,ALYX S. PATTISON,ALYX S. PATTISON Percent,precinct_id
2,1,236,106,44.92,130,55.08,02001
2,2,336,228,67.86,108,32.14,02002
2,3,263,101,38.4,162,61.6,02003
2,4,259,104,40.15,155,59.85,02004
2,5,295,142,48.14,153,51.86,02005
2,6,260,162,62.31,98,37.69,02006
2,7,266,122,45.86,144,54.14,02007
2,8,266,148,55.64,118,44.36,02008
2,9,258,159,61.63,99,38.37,02009
2,10,350,254,72.57,96,27.43,02010
2,11,363,253,69.7,110,30.3,02011
2,12,324,192,59.26,132,40.74,02012
2,13,389,228,58.61,161,41.39,02013
2,14,336,147,43.75,189,56.25,02014
2,15,257,104,40.47,153,59.53,02015
2,16,203,73,35.96,130,64.04,02016
2,17,336,153,45.54,183,54.46,02017
2,18,284,175,61.62,109,38.38,02018
2,19,293,196,66.89,97,33.11,02019
2,20,264,139,52.65,125,47.35,02020
2,21,302,109,36.09,193,63.91,02021
2,22,367,214,58.31,153,41.69,02022
2,23,316,182,57.59,134,42.41,02023
2,24,278,140,50.36,138,49.64,02024
2,25,257,93,36.19,164,63.81,02025
2,26,230,115,50.0,115,50.0,02026
2,27,278,165,59.35,113,40.65,02027
2,28,320,169,52.81,151,47.19,02028
2,29,278,184,66.19,94,33.81,02029
2,30,279,172,61.65,107,38.35,02030
2,31,455,250,54.95,205,45.05,02031
2,32,219,138,63.01,81,36.99,02032
2,33,501,313,62.48,188,37.52,02033
2,34,327,200,61.16,127,38.84,02034
2,35,253,151,59.68,102,40.32,02035
2,36,266,175,65.79,91,34.21,02036
2,37,351,219,62.39,132,37.61,02037
2,38,359,209,58.22,150,41.78,02038
2,39,233,185,79.4,48,20.6,02039
2,40,224,158,70.54,66,29.46,02040
2,41,185,111,60.0,74,40.0,02041
2,42,254,160,62.99,94,37.01,02042
2,43,338,213,63.02,125,36.98,02043
2,44,214,120,56.07,94,43.93,02044
2,45,318,174,54.72,144,45.28,02045
2,46,176,92,52.27,84,47.73,02046
