ward,precinct,total,JOHN A. POPE,JOHN A. POPE Percent,SUSAN SADLOWSKI GARZA,SUSAN SADLOWSKI GARZA Percent,precinct_id
10,1,249,124,49.8,125,50.2,10001
10,2,380,201,52.89,179,47.11,10002
10,3,368,238,64.67,130,35.33,10003
10,4,254,102,40.16,152,59.84,10004
10,5,306,187,61.11,119,38.89,10005
10,6,301,186,61.79,115,38.21,10006
10,7,232,101,43.53,131,56.47,10007
10,8,163,65,39.88,98,60.12,10008
10,9,399,246,61.65,153,38.35,10009
10,10,381,178,46.72,203,53.28,10010
10,11,473,196,41.44,277,58.56,10011
10,12,248,115,46.37,133,53.63,10012
10,13,366,185,50.55,181,49.45,10013
10,14,496,213,42.94,283,57.06,10014
10,15,545,325,59.63,220,40.37,10015
10,16,281,174,61.92,107,38.08,10016
10,17,496,330,66.53,166,33.47,10017
10,18,194,92,47.42,102,52.58,10018
10,19,417,198,47.48,219,52.52,10019
10,20,411,174,42.34,237,57.66,10020
10,21,386,193,50.0,193,50.0,10021
10,22,191,91,47.64,100,52.36,10022
10,23,338,140,41.42,198,58.58,10023
10,24,413,269,65.13,144,34.87,10024
10,25,94,52,55.32,42,44.68,10025
10,26,262,132,50.38,130,49.62,10026
10,27,279,143,51.25,136,48.75,10027
10,28,425,137,32.24,288,67.76,10028
10,29,340,142,41.76,198,58.24,10029
10,30,323,121,37.46,202,62.54,10030
10,31,256,99,38.67,157,61.33,10031
10,32,364,149,40.93,215,59.07,10032
10,33,251,106,42.23,145,57.77,10033
10,34,207,109,52.66,98,47.34,10034
10,35,455,253,55.6,202,44.4,10035
10,36,86,39,45.35,47,54.65,10036
