ward,precinct,total,JOHN K. KOZLAR,JOHN K. KOZLAR Percent,PATRICK DALEY THOMPSON,PATRICK DALEY THOMPSON Percent,precinct_id
11,1,383,144,37.6,239,62.4,11001
11,2,37,13,35.14,24,64.86,11002
11,3,255,170,66.67,85,33.33,11003
11,4,355,141,39.72,214,60.28,11004
11,5,416,210,50.48,206,49.52,11005
11,6,308,141,45.78,167,54.22,11006
11,7,236,78,33.05,158,66.95,11007
11,8,357,151,42.3,206,57.7,11008
11,9,333,132,39.64,201,60.36,11009
11,10,368,142,38.59,226,61.41,11010
11,11,408,185,45.34,223,54.66,11011
11,12,625,422,67.52,203,32.48,11012
11,13,556,348,62.59,208,37.41,11013
11,14,255,82,32.16,173,67.84,11014
11,15,169,53,31.36,116,68.64,11015
11,16,295,130,44.07,165,55.93,11016
11,17,387,186,48.06,201,51.94,11017
11,18,355,140,39.44,215,60.56,11018
11,19,432,207,47.92,225,52.08,11019
11,20,307,108,35.18,199,64.82,11020
11,21,584,168,28.77,416,71.23,11021
11,22,488,243,49.8,245,50.2,11022
11,23,277,90,32.49,187,67.51,11023
11,24,508,110,21.65,398,78.35,11024
11,25,405,161,39.75,244,60.25,11025
11,26,510,191,37.45,319,62.55,11026
11,27,158,56,35.44,102,64.56,11027
11,28,211,114,54.03,97,45.97,11028
11,29,500,180,36.0,320,64.0,11029
11,30,228,50,21.93,178,78.07,11030
11,31,439,241,54.9,198,45.1,11031
11,32,240,60,25.0,180,75.0,11032
11,33,282,114,40.43,168,59.57,11033
11,34,161,50,31.06,111,68.94,11034
11,35,154,37,24.03,117,75.97,11035
11,36,181,50,27.62,131,72.38,11036
11,37,136,32,23.53,104,76.47,11037
11,38,146,86,58.9,60,41.1,11038
