ward,precinct,total,JAMES CAPPLEMAN,JAMES CAPPLEMAN Percent,AMY CRAWFORD,AMY CRAWFORD Percent,precinct_id
46,1,307,163,53.09,144,46.91,46001
46,2,322,169,52.48,153,47.52,46002
46,3,440,208,47.27,232,52.73,46003
46,4,364,243,66.76,121,33.24,46004
46,5,287,139,48.43,148,51.57,46005
46,6,313,177,56.55,136,43.45,46006
46,7,477,285,59.75,192,40.25,46007
46,8,277,133,48.01,144,51.99,46008
46,9,320,198,61.88,122,38.13,46009
46,10,316,141,44.62,175,55.38,46010
46,11,319,153,47.96,166,52.04,46011
46,12,314,149,47.45,165,52.55,46012
46,13,310,188,60.65,122,39.35,46013
46,14,409,225,55.01,184,44.99,46014
46,15,337,205,60.83,132,39.17,46015
46,16,350,214,61.14,136,38.86,46016
46,17,418,235,56.22,183,43.78,46017
46,18,288,139,48.26,149,51.74,46018
46,19,253,134,52.96,119,47.04,46019
46,20,341,137,40.18,204,59.82,46020
46,21,222,126,56.76,96,43.24,46021
46,22,285,61,21.4,224,78.6,46022
46,23,278,150,53.96,128,46.04,46023
46,24,363,192,52.89,171,47.11,46024
46,25,339,162,47.79,177,52.21,46025
46,26,274,172,62.77,102,37.23,46026
46,27,321,182,56.7,139,43.3,46027
46,28,406,252,62.07,154,37.93,46028
46,29,296,190,64.19,106,35.81,46029
46,30,324,155,47.84,169,52.16,46030
46,31,279,124,44.44,155,55.56,46031
46,32,396,213,53.79,183,46.21,46032
46,33,349,192,55.01,157,44.99,46033
46,34,341,205,60.12,136,39.88,46034
46,35,404,221,54.7,183,45.3,46035
46,36,347,174,50.14,173,49.86,46036
46,37,243,143,58.85,100,41.15,46037
46,38,283,154,54.42,129,45.58,46038
46,39,298,153,51.34,145,48.66,46039
46,40,290,179,61.72,111,38.28,46040
