ward,precinct,total,MARVIN MCNEIL,MARVIN MCNEIL Percent,"HOWARD B. BROOKINS, JR.","HOWARD B. BROOKINS, JR. Percent",precinct_id
21,1,325,136,41.85,189,58.15,21001
21,2,200,121,60.5,79,39.5,21002
21,3,303,151,49.83,152,50.17,21003
21,4,280,159,56.79,121,43.21,21004
21,5,333,165,49.55,168,50.45,21005
21,6,252,151,59.92,101,40.08,21006
21,7,318,145,45.6,173,54.4,21007
21,8,264,122,46.21,142,53.79,21008
21,9,330,157,47.58,173,52.42,21009
21,10,278,149,53.6,129,46.4,21010
21,11,286,190,66.43,96,33.57,21011
21,12,262,134,51.15,128,48.85,21012
21,13,246,93,37.8,153,62.2,21013
21,14,347,148,42.65,199,57.35,21014
21,15,256,103,40.23,153,59.77,21015
21,16,263,139,52.85,124,47.15,21016
21,17,246,147,59.76,99,40.24,21017
21,18,321,146,45.48,175,54.52,21018
21,19,297,108,36.36,189,63.64,21019
21,20,274,135,49.27,139,50.73,21020
21,21,232,114,49.14,118,50.86,21021
21,22,279,139,49.82,140,50.18,21022
21,23,261,141,54.02,120,45.98,21023
21,24,286,105,36.71,181,63.29,21024
21,25,278,107,38.49,171,61.51,21025
21,26,250,117,46.8,133,53.2,21026
21,27,291,168,57.73,123,42.27,21027
21,28,324,158,48.77,166,51.23,21028
21,29,283,125,44.17,158,55.83,21029
21,30,188,83,44.15,105,55.85,21030
21,31,218,106,48.62,112,51.38,21031
21,32,266,116,43.61,150,56.39,21032
21,33,286,112,39.16,174,60.84,21033
21,34,268,164,61.19,104,38.81,21034
21,35,304,201,66.12,103,33.88,21035
21,36,280,139,49.64,141,50.36,21036
21,37,239,120,50.21,119,49.79,21037
21,38,240,111,46.25,129,53.75,21038
21,39,207,130,62.8,77,37.2,21039
21,40,241,112,46.47,129,53.53,21040
21,41,307,132,43.0,175,57.0,21041
21,42,310,150,48.39,160,51.61,21042
21,43,284,157,55.28,127,44.72,21043
21,44,295,163,55.25,132,44.75,21044
21,45,281,140,49.82,141,50.18,21045
21,46,322,160,49.69,162,50.31,21046
21,47,241,114,47.3,127,52.7,21047
21,48,257,112,43.58,145,56.42,21048
21,49,327,149,45.57,178,54.43,21049
21,50,238,120,50.42,118,49.58,21050
21,51,321,169,52.65,152,47.35,21051
21,52,296,122,41.22,174,58.78,21052
21,53,226,97,42.92,129,57.08,21053
21,54,228,109,47.81,119,52.19,21054
