ward,precinct,total,MARY O'CONNOR,MARY O'CONNOR Percent,ANTHONY V. NAPOLITANO,ANTHONY V. NAPOLITANO Percent,precinct_id
41,1,385,136,35.32,249,64.68,41001
41,2,448,212,47.32,236,52.68,41002
41,3,340,173,50.88,167,49.12,41003
41,4,480,280,58.33,200,41.67,41004
41,5,429,207,48.25,222,51.75,41005
41,6,502,338,67.33,164,32.67,41006
41,7,473,222,46.93,251,53.07,41007
41,8,431,202,46.87,229,53.13,41008
41,9,388,174,44.85,214,55.15,41009
41,10,472,245,51.91,227,48.09,41010
41,11,446,190,42.6,256,57.4,41011
41,12,387,219,56.59,168,43.41,41012
41,13,449,142,31.63,307,68.37,41013
41,14,479,304,63.47,175,36.53,41014
41,15,472,236,50.0,236,50.0,41015
41,16,372,175,47.04,197,52.96,41016
41,17,412,219,53.16,193,46.84,41017
41,18,378,176,46.56,202,53.44,41018
41,19,439,229,52.16,210,47.84,41019
41,20,320,165,51.56,155,48.44,41020
41,21,393,214,54.45,179,45.55,41021
41,22,426,198,46.48,228,53.52,41022
41,23,425,158,37.18,267,62.82,41023
41,24,371,176,47.44,195,52.56,41024
41,25,193,114,59.07,79,40.93,41025
41,26,431,216,50.12,215,49.88,41026
41,27,273,107,39.19,166,60.81,41027
41,28,247,135,54.66,112,45.34,41028
41,29,204,122,59.8,82,40.2,41029
41,30,405,167,41.23,238,58.77,41030
41,31,457,303,66.3,154,33.7,41031
41,32,310,151,48.71,159,51.29,41032
41,33,355,146,41.13,209,58.87,41033
41,34,354,151,42.66,203,57.34,41034
41,35,460,190,41.3,270,58.7,41035
41,36,399,173,43.36,226,56.64,41036
41,37,433,196,45.27,237,54.73,41037
41,38,350,142,40.57,208,59.43,41038
41,39,417,218,52.28,199,47.72,41039
41,40,473,223,47.15,250,52.85,41040
41,41,434,181,41.71,253,58.29,41041
41,42,420,201,47.86,219,52.14,41042
41,43,412,162,39.32,250,60.68,41043
41,44,460,197,42.83,263,57.17,41044
41,45,338,152,44.97,186,55.03,41045
41,46,447,240,53.69,207,46.31,41046
41,47,400,210,52.5,190,47.5,41047
