ward,precinct,total,Maureen Patricia O'Leary,Maureen Patricia O'Leary Percent,Carolyn J. Gallagher,Carolyn J. Gallagher Percent,Sandra Gisela Ramos,Sandra Gisela Ramos Percent,Michael B. Hyman,Michael B. Hyman Percent,precinct_id
1,1,288,36,12.5,37,12.85,77,26.74,138,47.92,01001
1,2,257,30,11.67,26,10.12,127,49.42,74,28.79,01002
1,3,283,40,14.13,31,10.95,70,24.73,142,50.18,01003
1,4,242,32,13.22,35,14.46,66,27.27,109,45.04,01004
1,5,253,39,15.42,36,14.23,43,17.0,135,53.36,01005
1,6,225,40,17.78,30,13.33,71,31.56,84,37.33,01006
1,7,209,24,11.48,33,15.79,60,28.71,92,44.02,01007
1,8,206,46,22.33,22,10.68,58,28.16,80,38.83,01008
1,9,198,29,14.65,19,9.6,67,33.84,83,41.92,01009
1,10,254,33,12.99,40,15.75,52,20.47,129,50.79,01010
1,11,267,37,13.86,30,11.24,64,23.97,136,50.94,01011
1,12,329,54,16.41,33,10.03,97,29.48,145,44.07,01012
1,13,132,11,8.33,14,10.61,43,32.58,64,48.48,01013
1,14,257,44,17.12,35,13.62,83,32.3,95,36.96,01014
1,15,216,37,17.13,31,14.35,69,31.94,79,36.57,01015
1,16,357,38,10.64,51,14.29,112,31.37,156,43.7,01016
1,17,269,26,9.67,30,11.15,90,33.46,123,45.72,01017
1,18,258,21,8.14,31,12.02,86,33.33,120,46.51,01018
1,19,277,42,15.16,24,8.66,66,23.83,145,52.35,01019
1,20,252,33,13.1,26,10.32,86,34.13,107,42.46,01020
1,21,312,48,15.38,47,15.06,91,29.17,126,40.38,01021
1,22,168,21,12.5,9,5.36,65,38.69,73,43.45,01022
1,23,436,46,10.55,50,11.47,119,27.29,221,50.69,01023
1,24,268,31,11.57,37,13.81,103,38.43,97,36.19,01024
1,25,257,33,12.84,25,9.73,104,40.47,95,36.96,01025
1,26,190,23,12.11,15,7.89,93,48.95,59,31.05,01026
1,27,292,30,10.27,54,18.49,72,24.66,136,46.58,01027
1,28,73,15,20.55,6,8.22,40,54.79,12,16.44,01028
