ward,precinct,total,Greg Harris,Greg Harris Percent,precinct_id
33,18,107,107,100.0,33018
39,13,10,10,100.0,39013
39,22,151,151,100.0,39022
39,30,29,29,100.0,39030
40,1,195,195,100.0,40001
40,2,210,210,100.0,40002
40,3,359,359,100.0,40003
40,4,15,15,100.0,40004
40,5,265,265,100.0,40005
40,6,396,396,100.0,40006
40,7,290,290,100.0,40007
40,8,392,392,100.0,40008
40,9,163,163,100.0,40009
40,10,52,52,100.0,40010
40,11,307,307,100.0,40011
40,12,240,240,100.0,40012
40,13,498,498,100.0,40013
40,14,189,189,100.0,40014
40,15,222,222,100.0,40015
40,16,410,410,100.0,40016
40,17,238,238,100.0,40017
40,18,174,174,100.0,40018
40,19,302,302,100.0,40019
40,20,203,203,100.0,40020
40,21,356,356,100.0,40021
40,22,342,342,100.0,40022
40,23,415,415,100.0,40023
40,24,197,197,100.0,40024
40,25,378,378,100.0,40025
40,26,368,368,100.0,40026
40,27,362,362,100.0,40027
40,29,251,251,100.0,40029
40,30,217,217,100.0,40030
40,31,362,362,100.0,40031
40,32,356,356,100.0,40032
40,33,330,330,100.0,40033
40,34,211,211,100.0,40034
40,35,115,115,100.0,40035
40,36,268,268,100.0,40036
40,37,269,269,100.0,40037
40,38,407,407,100.0,40038
40,39,11,11,100.0,40039
46,1,239,239,100.0,46001
46,2,291,291,100.0,46002
46,4,304,304,100.0,46004
46,6,255,255,100.0,46006
46,8,186,186,100.0,46008
46,12,395,395,100.0,46012
46,14,200,200,100.0,46014
46,16,398,398,100.0,46016
46,20,228,228,100.0,46020
46,21,177,177,100.0,46021
46,22,237,237,100.0,46022
46,23,258,258,100.0,46023
46,25,280,280,100.0,46025
46,26,250,250,100.0,46026
46,29,28,28,100.0,46029
46,32,279,279,100.0,46032
46,37,207,207,100.0,46037
46,40,291,291,100.0,46040
47,5,144,144,100.0,47005
47,10,453,453,100.0,47010
47,15,452,452,100.0,47015
47,19,501,501,100.0,47019
47,20,318,318,100.0,47020
47,22,382,382,100.0,47022
47,23,443,443,100.0,47023
47,26,435,435,100.0,47026
47,28,298,298,100.0,47028
47,30,392,392,100.0,47030
47,31,341,341,100.0,47031
47,32,413,413,100.0,47032
47,34,382,382,100.0,47034
47,36,395,395,100.0,47036
47,37,337,337,100.0,47037
47,38,332,332,100.0,47038
47,39,10,10,100.0,47039
47,41,325,325,100.0,47041
47,42,327,327,100.0,47042
47,45,333,333,100.0,47045
48,4,302,302,100.0,48004
48,7,4,4,100.0,48007
48,14,0,0,0.0,48014
48,17,274,274,100.0,48017
48,20,259,259,100.0,48020
48,21,380,380,100.0,48021
48,23,300,300,100.0,48023
48,24,304,304,100.0,48024
48,35,185,185,100.0,48035
48,38,73,73,100.0,48038
