ward,precinct,total,Thomas Peter Kougias,Thomas Peter Kougias Percent,Julie Bess Aimen,Julie Bess Aimen Percent,Michael Alan Strom,Michael Alan Strom Percent,Basileios ''Bill'' Foutris,Basileios ''Bill'' Foutris Percent,precinct_id
39,13,7,2,28.57,3,42.86,2,28.57,0,0.0,39013
39,18,16,2,12.5,9,56.25,4,25.0,1,6.25,39018
39,32,88,18,20.45,40,45.45,22,25.0,8,9.09,39032
39,36,7,0,0.0,3,42.86,4,57.14,0,0.0,39036
40,9,165,27,16.36,83,50.3,42,25.45,13,7.88,40009
40,10,59,8,13.56,27,45.76,16,27.12,8,13.56,40010
40,18,116,27,23.28,56,48.28,26,22.41,7,6.03,40018
40,27,343,36,10.5,183,53.35,98,28.57,26,7.58,40027
40,28,217,20,9.22,112,51.61,56,25.81,29,13.36,40028
40,35,103,15,14.56,51,49.51,27,26.21,10,9.71,40035
40,37,253,27,10.67,112,44.27,86,33.99,28,11.07,40037
41,6,121,20,16.53,56,46.28,32,26.45,13,10.74,41006
41,9,169,38,22.49,68,40.24,36,21.3,27,15.98,41009
41,14,94,16,17.02,43,45.74,28,29.79,7,7.45,41014
41,19,225,40,17.78,99,44.0,66,29.33,20,8.89,41019
41,47,113,23,20.35,50,44.25,31,27.43,9,7.96,41047
48,13,345,29,8.41,182,52.75,94,27.25,40,11.59,48013
48,15,169,16,9.47,93,55.03,45,26.63,15,8.88,48015
48,22,256,29,11.33,147,57.42,56,21.88,24,9.38,48022
48,27,150,12,8.0,81,54.0,34,22.67,23,15.33,48027
48,31,110,12,10.91,54,49.09,33,30.0,11,10.0,48031
48,32,172,17,9.88,97,56.4,41,23.84,17,9.88,48032
48,33,162,19,11.73,95,58.64,41,25.31,7,4.32,48033
48,46,178,22,12.36,85,47.75,53,29.78,18,10.11,48046
49,1,168,19,11.31,73,43.45,56,33.33,20,11.9,49001
49,3,314,24,7.64,166,52.87,104,33.12,20,6.37,49003
49,4,396,24,6.06,215,54.29,118,29.8,39,9.85,49004
49,5,265,35,13.21,109,41.13,93,35.09,28,10.57,49005
49,6,252,22,8.73,126,50.0,74,29.37,30,11.9,49006
49,7,234,22,9.4,126,53.85,60,25.64,26,11.11,49007
49,8,199,29,14.57,83,41.71,63,31.66,24,12.06,49008
49,9,284,23,8.1,153,53.87,87,30.63,21,7.39,49009
49,10,312,23,7.37,150,48.08,102,32.69,37,11.86,49010
49,11,349,21,6.02,149,42.69,147,42.12,32,9.17,49011
49,12,373,33,8.85,191,51.21,104,27.88,45,12.06,49012
49,13,323,34,10.53,164,50.77,95,29.41,30,9.29,49013
49,14,186,14,7.53,101,54.3,44,23.66,27,14.52,49014
49,15,169,18,10.65,83,49.11,48,28.4,20,11.83,49015
49,16,264,31,11.74,118,44.7,90,34.09,25,9.47,49016
49,18,398,33,8.29,221,55.53,107,26.88,37,9.3,49018
49,19,235,25,10.64,110,46.81,65,27.66,35,14.89,49019
49,20,442,27,6.11,232,52.49,143,32.35,40,9.05,49020
49,21,148,17,11.49,64,43.24,50,33.78,17,11.49,49021
49,22,269,27,10.04,101,37.55,108,40.15,33,12.27,49022
49,23,393,30,7.63,235,59.8,92,23.41,36,9.16,49023
49,24,157,21,13.38,77,49.04,44,28.03,15,9.55,49024
49,25,280,21,7.5,145,51.79,83,29.64,31,11.07,49025
49,26,351,29,8.26,188,53.56,100,28.49,34,9.69,49026
49,27,294,33,11.22,143,48.64,88,29.93,30,10.2,49027
49,28,398,31,7.79,206,51.76,115,28.89,46,11.56,49028
49,29,341,22,6.45,187,54.84,90,26.39,42,12.32,49029
49,30,263,22,8.37,118,44.87,100,38.02,23,8.75,49030
49,31,212,35,16.51,91,42.92,66,31.13,20,9.43,49031
49,32,267,31,11.61,121,45.32,87,32.58,28,10.49,49032
49,33,194,21,10.82,91,46.91,60,30.93,22,11.34,49033
50,1,205,26,12.68,76,37.07,84,40.98,19,9.27,50001
50,2,122,19,15.57,56,45.9,34,27.87,13,10.66,50002
50,3,185,16,8.65,79,42.7,65,35.14,25,13.51,50003
50,4,203,24,11.82,90,44.33,72,35.47,17,8.37,50004
50,5,112,15,13.39,43,38.39,41,36.61,13,11.61,50005
50,6,204,26,12.75,93,45.59,61,29.9,24,11.76,50006
50,7,287,34,11.85,122,42.51,106,36.93,25,8.71,50007
50,8,171,22,12.87,79,46.2,48,28.07,22,12.87,50008
50,9,169,18,10.65,89,52.66,48,28.4,14,8.28,50009
50,10,160,19,11.88,64,40.0,66,41.25,11,6.88,50010
50,11,114,13,11.4,42,36.84,52,45.61,7,6.14,50011
50,12,74,9,12.16,34,45.95,26,35.14,5,6.76,50012
50,13,179,25,13.97,76,42.46,59,32.96,19,10.61,50013
50,14,65,10,15.38,31,47.69,14,21.54,10,15.38,50014
50,15,290,27,9.31,115,39.66,119,41.03,29,10.0,50015
50,16,51,6,11.76,25,49.02,14,27.45,6,11.76,50016
50,17,147,24,16.33,65,44.22,35,23.81,23,15.65,50017
50,18,22,6,27.27,4,18.18,10,45.45,2,9.09,50018
50,19,118,23,19.49,42,35.59,36,30.51,17,14.41,50019
50,20,210,23,10.95,105,50.0,62,29.52,20,9.52,50020
50,21,189,26,13.76,91,48.15,56,29.63,16,8.47,50021
50,22,141,22,15.6,60,42.55,48,34.04,11,7.8,50022
50,24,90,25,27.78,27,30.0,28,31.11,10,11.11,50024
50,25,152,25,16.45,62,40.79,48,31.58,17,11.18,50025
50,26,126,21,16.67,57,45.24,36,28.57,12,9.52,50026
50,27,53,9,16.98,20,37.74,17,32.08,7,13.21,50027
50,28,180,31,17.22,81,45.0,46,25.56,22,12.22,50028
50,29,129,25,19.38,48,37.21,43,33.33,13,10.08,50029
50,30,89,13,14.61,42,47.19,22,24.72,12,13.48,50030
50,31,169,31,18.34,71,42.01,39,23.08,28,16.57,50031
50,32,177,17,9.6,86,48.59,55,31.07,19,10.73,50032
50,33,151,18,11.92,58,38.41,62,41.06,13,8.61,50033
50,34,290,28,9.66,139,47.93,102,35.17,21,7.24,50034
50,35,274,31,11.31,121,44.16,94,34.31,28,10.22,50035
50,36,225,23,10.22,102,45.33,76,33.78,24,10.67,50036
50,37,220,22,10.0,123,55.91,51,23.18,24,10.91,50037
50,38,84,9,10.71,36,42.86,37,44.05,2,2.38,50038
50,39,91,13,14.29,30,32.97,33,36.26,15,16.48,50039
50,40,163,16,9.82,48,29.45,76,46.63,23,14.11,50040
