ward,precinct,total,Brian Burns,Brian Burns Percent,Mike Quigley,Mike Quigley Percent,precinct_id
1,3,329,99,30.09,230,69.91,01003
1,4,285,70,24.56,215,75.44,01004
1,5,303,87,28.71,216,71.29,01005
1,6,245,80,32.65,165,67.35,01006
1,8,226,68,30.09,158,69.91,01008
1,10,317,105,33.12,212,66.88,01010
1,11,321,100,31.15,221,68.85,01011
1,14,227,73,32.16,154,67.84,01014
1,21,379,130,34.3,249,65.7,01021
1,28,81,30,37.04,51,62.96,01028
1,32,145,44,30.34,101,69.66,01032
1,33,324,94,29.01,230,70.99,01033
1,35,332,109,32.83,223,67.17,01035
1,36,311,91,29.26,220,70.74,01036
1,37,246,77,31.3,169,68.7,01037
1,38,55,21,38.18,34,61.82,01038
1,39,216,59,27.31,157,72.69,01039
1,40,278,93,33.45,185,66.55,01040
2,1,289,104,35.99,185,64.01,02001
2,3,320,116,36.25,204,63.75,02003
2,4,261,88,33.72,173,66.28,02004
2,5,323,112,34.67,211,65.33,02005
2,6,258,107,41.47,151,58.53,02006
2,7,215,76,35.35,139,64.65,02007
2,8,298,111,37.25,187,62.75,02008
2,12,117,27,23.08,90,76.92,02012
2,14,57,19,33.33,38,66.67,02014
2,15,270,75,27.78,195,72.22,02015
2,16,271,77,28.41,194,71.59,02016
2,17,10,1,10.0,9,90.0,02017
2,20,185,41,22.16,144,77.84,02020
2,21,279,75,26.88,204,73.12,02021
2,22,290,56,19.31,234,80.69,02022
2,24,216,43,19.91,173,80.09,02024
2,25,308,97,31.49,211,68.51,02025
2,26,215,61,28.37,154,71.63,02026
2,28,171,33,19.3,138,80.7,02028
2,30,216,42,19.44,174,80.56,02030
2,31,343,48,13.99,295,86.01,02031
2,33,417,82,19.66,335,80.34,02033
2,37,265,38,14.34,227,85.66,02037
2,38,53,6,11.32,47,88.68,02038
2,44,175,36,20.57,139,79.43,02044
26,28,152,44,28.95,108,71.05,26028
26,32,210,60,28.57,150,71.43,26032
27,7,330,100,30.3,230,69.7,27007
27,12,158,37,23.42,121,76.58,27012
27,13,74,21,28.38,53,71.62,27013
27,27,10,5,50.0,5,50.0,27027
27,35,10,4,40.0,6,60.0,27035
27,37,21,9,42.86,12,57.14,27037
27,40,11,2,18.18,9,81.82,27040
27,42,98,27,27.55,71,72.45,27042
27,43,7,1,14.29,6,85.71,27043
27,46,169,33,19.53,136,80.47,27046
29,23,71,25,35.21,46,64.79,29023
29,29,188,54,28.72,134,71.28,29029
29,31,137,43,31.39,94,68.61,29031
29,32,162,49,30.25,113,69.75,29032
29,38,1,1,100.0,0,0.0,29038
29,39,82,26,31.71,56,68.29,29039
30,15,210,41,19.52,169,80.48,30015
30,17,101,30,29.7,71,70.3,30017
30,21,152,60,39.47,92,60.53,30021
32,1,306,105,34.31,201,65.69,32001
32,2,307,70,22.8,237,77.2,32002
32,4,276,60,21.74,216,78.26,32004
32,5,304,75,24.67,229,75.33,32005
32,6,344,83,24.13,261,75.87,32006
32,7,313,101,32.27,212,67.73,32007
32,8,321,97,30.22,224,69.78,32008
32,9,275,69,25.09,206,74.91,32009
32,10,292,73,25.0,219,75.0,32010
32,13,263,68,25.86,195,74.14,32013
32,15,277,78,28.16,199,71.84,32015
32,16,275,88,32.0,187,68.0,32016
32,18,252,49,19.44,203,80.56,32018
32,19,257,61,23.74,196,76.26,32019
32,21,348,72,20.69,276,79.31,32021
32,23,305,80,26.23,225,73.77,32023
32,24,187,47,25.13,140,74.87,32024
32,25,270,59,21.85,211,78.15,32025
32,27,235,35,14.89,200,85.11,32027
32,29,335,84,25.07,251,74.93,32029
32,30,238,44,18.49,194,81.51,32030
32,31,287,77,26.83,210,73.17,32031
32,32,342,83,24.27,259,75.73,32032
32,33,287,82,28.57,205,71.43,32033
32,34,297,94,31.65,203,68.35,32034
32,35,251,64,25.5,187,74.5,32035
32,36,293,68,23.21,225,76.79,32036
32,37,294,111,37.76,183,62.24,32037
32,38,255,79,30.98,176,69.02,32038
32,39,283,46,16.25,237,83.75,32039
32,40,308,60,19.48,248,80.52,32040
32,41,294,64,21.77,230,78.23,32041
32,42,251,56,22.31,195,77.69,32042
33,2,451,131,29.05,320,70.95,33002
33,3,31,9,29.03,22,70.97,33003
33,5,267,81,30.34,186,69.66,33005
33,7,216,70,32.41,146,67.59,33007
33,8,333,52,15.62,281,84.38,33008
33,10,40,8,20.0,32,80.0,33010
33,18,404,145,35.89,259,64.11,33018
33,19,177,62,35.03,115,64.97,33019
