ward,precinct,total,John Griffin,John Griffin Percent,Sharon O. Johnson,Sharon O. Johnson Percent,precinct_id
1,1,273,110,40.29,163,59.71,01001
1,2,259,88,33.98,171,66.02,01002
1,3,277,139,50.18,138,49.82,01003
1,4,235,115,48.94,120,51.06,01004
1,5,244,119,48.77,125,51.23,01005
1,6,215,87,40.47,128,59.53,01006
1,7,197,84,42.64,113,57.36,01007
1,8,187,74,39.57,113,60.43,01008
1,9,189,70,37.04,119,62.96,01009
1,10,250,134,53.6,116,46.4,01010
1,11,260,103,39.62,157,60.38,01011
1,12,316,98,31.01,218,68.99,01012
1,13,124,58,46.77,66,53.23,01013
1,14,243,90,37.04,153,62.96,01014
1,15,201,70,34.83,131,65.17,01015
1,16,341,150,43.99,191,56.01,01016
1,17,262,99,37.79,163,62.21,01017
1,18,250,75,30.0,175,70.0,01018
1,19,268,110,41.04,158,58.96,01019
1,20,237,82,34.6,155,65.4,01020
1,21,308,117,37.99,191,62.01,01021
1,22,162,55,33.95,107,66.05,01022
1,23,419,182,43.44,237,56.56,01023
1,24,253,102,40.32,151,59.68,01024
1,25,245,88,35.92,157,64.08,01025
1,26,178,60,33.71,118,66.29,01026
1,27,278,143,51.44,135,48.56,01027
1,28,66,27,40.91,39,59.09,01028
1,29,306,138,45.1,168,54.9,01029
1,30,305,108,35.41,197,64.59,01030
1,31,176,61,34.66,115,65.34,01031
1,32,235,93,39.57,142,60.43,01032
1,33,282,138,48.94,144,51.06,01033
1,34,238,108,45.38,130,54.62,01034
1,35,291,127,43.64,164,56.36,01035
1,36,254,127,50.0,127,50.0,01036
1,37,204,110,53.92,94,46.08,01037
1,38,189,68,35.98,121,64.02,01038
1,39,178,79,44.38,99,55.62,01039
1,40,251,117,46.61,134,53.39,01040
1,41,169,57,33.73,112,66.27,01041
1,42,74,19,25.68,55,74.32,01042
1,43,150,66,44.0,84,56.0,01043
1,44,230,84,36.52,146,63.48,01044
2,1,246,90,36.59,156,63.41,02001
2,2,164,91,55.49,73,44.51,02002
2,3,263,130,49.43,133,50.57,02003
2,4,225,83,36.89,142,63.11,02004
2,5,281,129,45.91,152,54.09,02005
2,6,244,85,34.84,159,65.16,02006
2,7,164,76,46.34,88,53.66,02007
2,8,237,104,43.88,133,56.12,02008
2,9,145,71,48.97,74,51.03,02009
2,10,146,101,69.18,45,30.82,02010
2,11,204,131,64.22,73,35.78,02011
2,12,241,117,48.55,124,51.45,02012
2,13,227,138,60.79,89,39.21,02013
2,14,294,117,39.8,177,60.2,02014
2,15,224,116,51.79,108,48.21,02015
2,16,223,119,53.36,104,46.64,02016
2,17,313,151,48.24,162,51.76,02017
2,18,223,112,50.22,111,49.78,02018
2,19,114,75,65.79,39,34.21,02019
2,20,218,111,50.92,107,49.08,02020
2,21,272,124,45.59,148,54.41,02021
2,22,240,150,62.5,90,37.5,02022
2,23,160,111,69.38,49,30.63,02023
2,24,163,104,63.8,59,36.2,02024
2,25,255,122,47.84,133,52.16,02025
2,26,172,93,54.07,79,45.93,02026
2,27,167,85,50.9,82,49.1,02027
2,28,211,132,62.56,79,37.44,02028
2,29,226,113,50.0,113,50.0,02029
2,30,177,99,55.93,78,44.07,02030
2,31,280,168,60.0,112,40.0,02031
2,32,149,75,50.34,74,49.66,02032
2,33,336,200,59.52,136,40.48,02033
2,34,206,134,65.05,72,34.95,02034
2,35,227,121,53.3,106,46.7,02035
2,36,200,98,49.0,102,51.0,02036
2,37,230,130,56.52,100,43.48,02037
2,38,172,110,63.95,62,36.05,02038
2,39,114,52,45.61,62,54.39,02039
2,40,169,74,43.79,95,56.21,02040
2,41,187,86,45.99,101,54.01,02041
2,42,197,91,46.19,106,53.81,02042
2,43,211,118,55.92,93,44.08,02043
2,44,139,80,57.55,59,42.45,02044
2,45,225,107,47.56,118,52.44,02045
2,46,137,63,45.99,74,54.01,02046
3,1,325,117,36.0,208,64.0,03001
3,2,378,160,42.33,218,57.67,03002
3,3,159,66,41.51,93,58.49,03003
3,4,328,123,37.5,205,62.5,03004
3,5,159,70,44.03,89,55.97,03005
3,6,314,163,51.91,151,48.09,03006
3,7,196,84,42.86,112,57.14,03007
3,8,181,55,30.39,126,69.61,03008
3,9,326,115,35.28,211,64.72,03009
3,10,113,59,52.21,54,47.79,03010
3,11,263,94,35.74,169,64.26,03011
3,12,294,112,38.1,182,61.9,03012
3,13,319,175,54.86,144,45.14,03013
3,14,298,140,46.98,158,53.02,03014
3,15,219,73,33.33,146,66.67,03015
3,16,229,78,34.06,151,65.94,03016
3,17,368,126,34.24,242,65.76,03017
3,18,347,123,35.45,224,64.55,03018
3,19,272,149,54.78,123,45.22,03019
3,20,305,93,30.49,212,69.51,03020
3,21,284,158,55.63,126,44.37,03021
3,22,316,153,48.42,163,51.58,03022
3,23,188,71,37.77,117,62.23,03023
3,24,228,91,39.91,137,60.09,03024
3,25,409,227,55.5,182,44.5,03025
3,26,306,174,56.86,132,43.14,03026
3,27,308,147,47.73,161,52.27,03027
