ward,precinct,total,Deval Patrick,Deval Patrick Percent,Bernie Sanders,Bernie Sanders Percent,Michael R. Bloomberg,Michael R. Bloomberg Percent,Elizabeth Warren,Elizabeth Warren Percent,Pete Buttigieg,Pete Buttigieg Percent,Tom Steyer,Tom Steyer Percent,Andrew Yang,Andrew Yang Percent,Michael Bennet,Michael Bennet Percent,John K. Delaney,John K. Delaney Percent,Tulsi Gabbard,Tulsi Gabbard Percent,Cory Booker,Cory Booker Percent,precinct_id
1,1,383,1,0.26,243,63.45,5,1.31,5,1.31,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,01001
1,2,310,1,0.32,233,75.16,3,0.97,2,0.65,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,01002
1,3,379,0,0.0,190,50.13,0,0.0,8,2.11,0,0.0,0,0.0,1,0.26,0,0.0,0,0.0,0,0.0,0,0.0,01003
1,4,345,1,0.29,179,51.88,2,0.58,5,1.45,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.29,0,0.0,01004
1,5,358,0,0.0,188,52.51,3,0.84,4,1.12,0,0.0,0,0.0,0,0.0,1,0.28,0,0.0,0,0.0,0,0.0,01005
1,6,305,0,0.0,159,52.13,3,0.98,4,1.31,0,0.0,0,0.0,4,1.31,0,0.0,1,0.33,1,0.33,0,0.0,01006
1,7,266,0,0.0,183,68.8,1,0.38,1,0.38,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,01007
1,8,277,0,0.0,141,50.9,5,1.81,2,0.72,0,0.0,0,0.0,1,0.36,1,0.36,1,0.36,1,0.36,2,0.72,01008
1,9,257,0,0.0,170,66.15,0,0.0,3,1.17,0,0.0,0,0.0,1,0.39,0,0.0,0,0.0,1,0.39,1,0.39,01009
1,10,394,0,0.0,184,46.7,1,0.25,2,0.51,0,0.0,0,0.0,1,0.25,0,0.0,0,0.0,1,0.25,0,0.0,01010
1,11,391,0,0.0,211,53.96,0,0.0,7,1.79,2,0.51,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.26,01011
1,12,439,0,0.0,308,70.16,1,0.23,3,0.68,1,0.23,0,0.0,1,0.23,0,0.0,0,0.0,0,0.0,0,0.0,01012
1,13,166,1,0.6,107,64.46,2,1.2,2,1.2,0,0.0,0,0.0,1,0.6,0,0.0,0,0.0,1,0.6,0,0.0,01013
1,14,343,0,0.0,168,48.98,1,0.29,5,1.46,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.58,0,0.0,01014
1,15,261,0,0.0,167,63.98,2,0.77,6,2.3,0,0.0,0,0.0,1,0.38,0,0.0,1,0.38,0,0.0,0,0.0,01015
1,16,432,1,0.23,282,65.28,3,0.69,8,1.85,3,0.69,0,0.0,1,0.23,0,0.0,0,0.0,1,0.23,0,0.0,01016
1,17,340,1,0.29,251,73.82,2,0.59,6,1.76,1,0.29,0,0.0,1,0.29,0,0.0,0,0.0,0,0.0,0,0.0,01017
1,18,333,0,0.0,249,74.77,0,0.0,5,1.5,1,0.3,1,0.3,0,0.0,0,0.0,0,0.0,1,0.3,0,0.0,01018
1,19,367,0,0.0,253,68.94,0,0.0,7,1.91,0,0.0,0,0.0,1,0.27,2,0.54,0,0.0,4,1.09,0,0.0,01019
1,20,331,1,0.3,242,73.11,2,0.6,6,1.81,0,0.0,0,0.0,0,0.0,1,0.3,0,0.0,0,0.0,0,0.0,01020
1,21,459,0,0.0,227,49.46,2,0.44,6,1.31,0,0.0,0,0.0,2,0.44,1,0.22,0,0.0,2,0.44,0,0.0,01021
1,22,222,0,0.0,145,65.32,0,0.0,2,0.9,1,0.45,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,01022
1,23,541,0,0.0,386,71.35,1,0.18,7,1.29,0,0.0,0,0.0,1,0.18,0,0.0,0,0.0,2,0.37,0,0.0,01023
1,24,340,0,0.0,254,74.71,1,0.29,3,0.88,0,0.0,1,0.29,0,0.0,0,0.0,1,0.29,2,0.59,0,0.0,01024
1,25,321,0,0.0,231,71.96,2,0.62,4,1.25,1,0.31,0,0.0,0,0.0,0,0.0,1,0.31,0,0.0,0,0.0,01025
1,26,246,0,0.0,187,76.02,0,0.0,4,1.63,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.41,0,0.0,01026
1,27,378,1,0.26,189,50.0,2,0.53,5,1.32,2,0.53,0,0.0,3,0.79,0,0.0,0,0.0,1,0.26,0,0.0,01027
1,28,111,0,0.0,69,62.16,0,0.0,1,0.9,0,0.0,0,0.0,0,0.0,0,0.0,2,1.8,0,0.0,0,0.0,01028
1,29,452,1,0.22,238,52.65,1,0.22,9,1.99,0,0.0,0,0.0,3,0.66,0,0.0,0,0.0,0,0.0,0,0.0,01029
1,30,411,0,0.0,283,68.86,2,0.49,12,2.92,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.49,0,0.0,01030
1,31,240,1,0.42,153,63.75,2,0.83,3,1.25,0,0.0,1,0.42,1,0.42,0,0.0,0,0.0,0,0.0,0,0.0,01031
1,32,313,0,0.0,183,58.47,0,0.0,9,2.88,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,1.28,0,0.0,01032
1,33,375,1,0.27,185,49.33,3,0.8,5,1.33,1,0.27,0,0.0,1,0.27,0,0.0,0,0.0,0,0.0,0,0.0,01033
1,34,305,0,0.0,212,69.51,0,0.0,5,1.64,1,0.33,0,0.0,1,0.33,0,0.0,0,0.0,2,0.66,0,0.0,01034
1,35,381,0,0.0,196,51.44,2,0.52,12,3.15,1,0.26,0,0.0,2,0.52,0,0.0,0,0.0,2,0.52,1,0.26,01035
1,36,351,0,0.0,177,50.43,3,0.85,7,1.99,0,0.0,0,0.0,2,0.57,0,0.0,0,0.0,1,0.28,0,0.0,01036
1,37,285,0,0.0,149,52.28,2,0.7,4,1.4,0,0.0,0,0.0,1,0.35,0,0.0,0,0.0,2,0.7,0,0.0,01037
1,38,257,0,0.0,163,63.42,6,2.33,4,1.56,3,1.17,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,01038
1,39,245,0,0.0,136,55.51,2,0.82,2,0.82,2,0.82,0,0.0,2,0.82,0,0.0,0,0.0,0,0.0,0,0.0,01039
1,40,339,0,0.0,183,53.98,8,2.36,5,1.47,1,0.29,1,0.29,3,0.88,1,0.29,0,0.0,1,0.29,0,0.0,01040
1,41,234,0,0.0,157,67.09,0,0.0,3,1.28,0,0.0,0,0.0,1,0.43,0,0.0,0,0.0,0,0.0,0,0.0,01041
1,42,97,0,0.0,67,69.07,1,1.03,1,1.03,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,01042
1,43,215,0,0.0,129,60.0,1,0.47,2,0.93,1,0.47,0,0.0,1,0.47,0,0.0,0,0.0,1,0.47,0,0.0,01043
1,44,311,0,0.0,203,65.27,2,0.64,3,0.96,2,0.64,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,01044
2,1,359,0,0.0,212,59.05,1,0.28,8,2.23,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,1.11,0,0.0,02001
2,2,223,0,0.0,33,14.8,3,1.35,2,0.9,3,1.35,0,0.0,0,0.0,0,0.0,1,0.45,2,0.9,0,0.0,02002
2,3,386,0,0.0,190,49.22,0,0.0,8,2.07,1,0.26,1,0.26,2,0.52,0,0.0,0,0.0,1,0.26,1,0.26,02003
2,4,318,0,0.0,191,60.06,0,0.0,5,1.57,1,0.31,0,0.0,1,0.31,0,0.0,0,0.0,1,0.31,0,0.0,02004
2,5,391,0,0.0,232,59.34,1,0.26,9,2.3,0,0.0,0,0.0,1,0.26,0,0.0,0,0.0,2,0.51,0,0.0,02005
