ward,precinct,total,Owens ''Joe'' Shelby,Owens ''Joe'' Shelby Percent,Marcia O'Brien Conway,Marcia O'Brien Conway Percent,Pamela Reaves-Harris,Pamela Reaves-Harris Percent,Mable Taylor,Mable Taylor Percent,Kristen Marie Lyons,Kristen Marie Lyons Percent,precinct_id
11,6,256,40,15.63,89,34.77,73,28.52,31,12.11,23,8.98,11006
11,7,69,10,14.49,19,27.54,27,39.13,9,13.04,4,5.8,11007
22,19,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,22019
22,21,183,30,16.39,25,13.66,85,46.45,34,18.58,9,4.92,22021
24,1,154,33,21.43,16,10.39,82,53.25,16,10.39,7,4.55,24001
24,2,135,27,20.0,23,17.04,62,45.93,17,12.59,6,4.44,24002
24,3,167,25,14.97,24,14.37,77,46.11,28,16.77,13,7.78,24003
24,4,119,26,21.85,18,15.13,51,42.86,17,14.29,7,5.88,24004
24,5,90,19,21.11,13,14.44,45,50.0,10,11.11,3,3.33,24005
24,6,188,39,20.74,24,12.77,79,42.02,38,20.21,8,4.26,24006
24,8,73,19,26.03,14,19.18,28,38.36,9,12.33,3,4.11,24008
24,9,130,25,19.23,23,17.69,54,41.54,16,12.31,12,9.23,24009
24,10,77,12,15.58,14,18.18,35,45.45,14,18.18,2,2.6,24010
24,11,162,23,14.2,23,14.2,84,51.85,21,12.96,11,6.79,24011
24,12,77,13,16.88,11,14.29,37,48.05,13,16.88,3,3.9,24012
24,13,75,12,16.0,9,12.0,39,52.0,13,17.33,2,2.67,24013
24,14,130,21,16.15,23,17.69,63,48.46,15,11.54,8,6.15,24014
24,15,62,15,24.19,7,11.29,24,38.71,10,16.13,6,9.68,24015
24,17,116,24,20.69,10,8.62,67,57.76,11,9.48,4,3.45,24017
24,18,183,45,24.59,28,15.3,82,44.81,20,10.93,8,4.37,24018
24,19,191,25,13.09,19,9.95,105,54.97,35,18.32,7,3.66,24019
24,20,128,14,10.94,16,12.5,63,49.22,25,19.53,10,7.81,24020
24,21,83,16,19.28,9,10.84,36,43.37,16,19.28,6,7.23,24021
24,22,209,37,17.7,29,13.88,98,46.89,31,14.83,14,6.7,24022
24,23,120,26,21.67,19,15.83,51,42.5,18,15.0,6,5.0,24023
24,24,174,24,13.79,24,13.79,98,56.32,18,10.34,10,5.75,24024
24,25,110,17,15.45,18,16.36,50,45.45,16,14.55,9,8.18,24025
24,26,243,38,15.64,49,20.16,110,45.27,36,14.81,10,4.12,24026
24,27,170,31,18.24,20,11.76,92,54.12,22,12.94,5,2.94,24027
24,28,123,21,17.07,23,18.7,56,45.53,15,12.2,8,6.5,24028
24,29,127,28,22.05,16,12.6,55,43.31,22,17.32,6,4.72,24029
